episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates,wiring_actor_updated,wiring_actor_updated_n
1,2000,5.0,-0.132809,-0.246007,-0.132809,,,,0,False,,0.03,0.044340260326862335,247,247,247,12,1.8461,1.8523,2028,2027,ok,,1.3231,8.1,1.966,0.064,0.5889,48.9582,0.34,0.6478,16.0463,0.038745,0.8757,0.4342,2077,133,0,0.284595,298623,1049291,0.9438,1944,0,39427,84,0.001166,0.00784,247,0.4979757085020243,247
2,4000,10.0,-0.088222,-0.706157,-0.088222,,,,0,False,,1.1075,0.0523872897028923,236,483,236,24,8.9869,8.0043,1302,1301,ok,,5.8669,45.2,8.4659,0.1053,8.3708,239.6306,10.536,7.6222,12.357,0.00988,0.822,0.3648,1244,131,0,0.279292,618618,2214947,13.8369,1113,0,105117,189,0.000697,0.0056,236,0.5,236
3,6000,15.0,-0.57159,-0.328101,-0.57159,,,,0,False,,0.0223,0.07651209086179733,2037,2520,2037,126,0.5542,0.574,17069,17067,ok,,1.971,27.2,0.638,0.1674,1.1879,185.9698,2.101,0.9634,13.1916,0.237708,0.7102,0.1291,20217,3385,14,0.265014,868431,3276931,0.2705,16832,0,114656,223,0.011341,0.0448,2037,0.5002454590083456,2037
4,8000,20.0,-0.43955,-0.350461,-0.43955,,,,0,False,,0.0178,0.04543309286236763,2737,5257,2737,262,0.7754,0.7973,22143,22109,ok,,5.4273,45.2,0.8249,0.3325,11.9031,424.37,12.2909,11.7177,10.2579,0.155572,0.596,0.2399,32557,10825,66,0.252254,1076752,4268518,1.3178,21732,0,197863,345,0.01825,0.09968,2737,0.4998173182316405,2737
5,10000,25.0,-0.395749,-0.293911,-0.395749,,,,0,False,,0.0633,0.006978814955800772,4016,9273,4016,463,0.7233,0.7427,33619,33615,ok,,2.0273,31.5,0.793,0.3015,0.9019,205.2477,0.0753,1.6417,10.248,0.226115,0.6731,0.094,47477,14315,130,0.256937,1385448,5392164,0.2261,33162,0,282749,327,0.026593,0.09296,4016,0.5,4016
6,12000,30.0,-0.118175,-0.26428,-0.118175,,,,0,False,,0.1565,0.045572929084300995,1427,10700,1427,535,2.328,2.2363,12521,12510,ok,,2.6701,32.8,2.2532,0.2466,1.5185,154.5645,0.5291,2.5275,10.2599,0.076678,0.7554,0.2494,16053,3958,58,0.278104,1674013,6019369,1.1619,12095,0,291726,368,0.008992,0.02576,1427,0.5003503854239664,1427
7,14000,35.0,-0.073346,-0.247384,-0.073346,,,,0,False,,0.1326,0.028940510004758835,1144,11844,1144,592,3.6161,3.3728,9458,9452,ok,,3.2204,45.7,3.3581,0.2822,1.3431,191.6742,0.9528,1.6333,10.2558,0.059732,0.8562,0.1972,12520,3533,70,0.296466,1862642,6282808,1.8445,8987,0,327633,401,0.007012,0.02128,1144,0.5,1144
8,16000,5.0,-0.084405,-0.171258,-0.084405,,,,0,False,,0.1056,0.05096622183918953,301,12145,301,607,2.3794,2.029,2155,2154,ok,,2.6804,20.4,1.9599,0.1528,0.9145,75.0558,0.2821,1.0611,10.251,0.011572,0.8201,0.413,2428,371,4,0.286063,294748,1030360,1.0531,2057,0,45696,94,0.00136,0.00784,301,0.4983388704318937,301
9,18000,10.0,-0.070834,-0.198221,-0.070834,,,,0,False,,0.1219,0.05979254096746445,463,12608,463,630,3.2869,2.7984,3510,3508,ok,,3.4704,28.5,2.6369,0.1409,1.3967,108.6031,0.368,1.6952,10.2699,0.018523,0.812,0.285,3868,545,5,0.27077,571862,2111981,1.4417,3323,0,101360,182,0.002167,0.00896,463,0.5010799136069114,463
10,20000,15.0,-0.085618,-0.209272,-0.085618,-0.076395,-0.231113,20.0,6742,True,-0.076395,0.1221,0.05161373130977154,718,13326,718,666,2.8161,2.4442,5941,5937,ok,,2.8467,28.8,2.3471,0.1397,1.3349,109.527,0.2261,1.786,10.2612,0.031568,0.8476,0.2649,6606,923,2,0.261891,840404,3208978,1.2987,5683,0,150632,256,0.0037,0.01232,718,0.5,718
11,22000,20.0,-0.073207,-0.247925,-0.073207,,,,0,False,-0.076395,0.3349,0.06450780481100082,732,14058,732,702,3.8905,3.3866,5923,5916,ok,,3.7666,30.9,3.2254,0.1401,1.7978,134.8424,0.5729,2.3893,10.9925,0.040588,0.8009,0.3457,6531,915,6,0.258783,1081816,4180396,2.0404,5616,0,205779,300,0.00366,0.01344,732,0.5,732
12,24000,25.0,-0.066195,-0.21909,-0.066195,,,,0,False,-0.076395,0.0688,0.056038178503513336,983,15041,983,752,3.5816,3.3098,8170,8169,ok,,2.8504,28.0,3.2644,0.2147,0.9044,119.2216,0.3931,1.3843,10.4254,0.049952,0.9058,0.2978,9936,2133,22,0.255483,1353951,5299567,1.4484,7803,0,278019,345,0.005565,0.01792,983,0.49949135300101727,983
13,26000,30.0,-0.058461,-0.267426,-0.058461,,,,0,False,-0.076395,0.201,0.057719871401786804,739,15780,739,789,5.1666,4.5744,5674,5671,ok,,3.7121,32.9,4.4638,0.217,1.9992,140.8834,0.8726,2.8567,10.3828,0.03381,0.8894,0.3999,6765,1468,21,0.272626,1621556,5947921,3.227,5297,0,264531,355,0.003789,0.01456,739,0.5006765899864682,739
