episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates,wiring_n_step_active,wiring_n_step_active_n,wiring_target_synced,wiring_target_synced_n
1,2000,5.0,-0.179163,-0.416544,-0.179163,,,,0,False,,0.9939,0.2455096230842173,147,147,147,7,2.8766,2.3249,1632,1632,ok,,6.6303,38.8,2.0384,0.1363,14.0741,441.9325,10.5706,14.9024,11.6773,0.013858,0.6238,0.2203,1790,244,2,0.284595,298623,1049291,3.2397,1546,0,39427,84,0.001005,0.0168,147,0.0,147,0.0,147
2,4000,10.0,-0.223879,-0.273816,-0.223879,,,,0,False,,0.6857,0.4221903341822326,726,873,726,43,1.3005,1.2231,7973,7969,ok,,2.7547,31.1,1.2337,0.1574,1.447,118.7617,0.7923,1.6733,11.4882,0.116728,0.6684,0.156,9220,1451,15,0.279292,618618,2214947,0.6403,7769,0,105117,189,0.005172,0.02912,726,0.0,726,0.005509641873278237,726
3,6000,15.0,-0.071264,-0.224312,-0.071264,,,,0,False,,0.5631,0.442488893866539,333,1206,333,60,3.9933,3.1476,3547,3542,ok,,4.1468,45.1,2.9054,0.1187,1.8427,147.8596,1.8729,1.8352,10.261,0.018002,0.77,0.1834,3767,447,4,0.265014,868431,3276931,1.8017,3320,0,114656,223,0.002111,0.01232,333,0.0,333,0.006006006006006006,333
4,8000,20.0,-0.072133,-0.229788,-0.072133,,,,0,False,,0.6395,0.4878746150061488,527,1733,527,86,3.8638,3.1856,6042,6039,ok,,3.1347,31.4,3.0547,0.1208,1.3409,227.7884,0.8416,1.5795,10.2528,0.030863,0.8178,0.2536,6475,782,4,0.252254,1076752,4268518,1.8724,5693,0,197863,345,0.003626,0.01456,527,0.0,527,0.003795066413662239,527
5,10000,25.0,-0.06548,-0.277491,-0.06548,,,,0,False,,0.7131,0.5936225457116961,568,2301,568,115,4.8065,4.2378,6538,6530,ok,,3.7256,41.1,4.1876,0.2189,1.6501,199.7824,1.1814,2.0696,10.256,0.037816,0.9028,0.4885,7927,1735,19,0.256937,1385448,5392164,2.6536,6192,0,282749,327,0.004439,0.02016,568,0.0,568,0.00528169014084507,568
6,12000,30.0,-0.068278,-0.263768,-0.068278,,,,0,False,,0.8707,0.7407260751351714,628,2929,628,146,4.3495,3.8631,7383,7375,ok,,3.0594,33.0,3.8269,0.2524,1.5027,120.3261,0.7223,2.2986,10.2701,0.044662,0.8435,0.3337,9329,2355,41,0.278104,1674013,6019369,2.2752,6974,0,291726,368,0.005224,0.02016,628,0.0,628,0.004777070063694267,628
7,14000,35.0,-0.051082,-0.239894,-0.051082,,,,0,False,,0.8595,0.7887364365160465,589,3518,589,175,5.3298,4.6962,6848,6844,ok,,3.7216,31.8,4.5668,0.2632,1.356,170.5543,0.6928,1.8491,10.3109,0.042271,0.858,0.4806,8706,2291,32,0.296466,1862642,6282808,2.7878,6415,0,327633,401,0.004876,0.01568,589,0.0,589,0.0050933786078098476,589
8,16000,5.0,-0.045578,-0.16565,-0.045578,,,,0,False,,0.8541,0.7893090946599841,132,3650,132,182,4.7497,3.6344,1229,1228,ok,,3.0574,22.3,3.4683,0.18,0.8888,72.6781,0.4063,1.0006,10.2702,0.006626,0.8434,0.4805,1383,249,1,0.286063,294748,1030360,2.0693,1134,0,45696,94,0.000775,0.0056,132,0.0,132,0.007575757575757576,132
9,18000,10.0,-0.041553,-0.218563,-0.041553,,,,0,False,,0.8751,0.799311950802803,193,3843,193,192,6.7273,5.2599,1897,1897,ok,,4.1587,28.2,5.0657,0.155,1.6554,169.7807,1.005,1.8441,10.2714,0.00972,0.9078,0.3361,2026,314,3,0.27077,571862,2111981,3.6992,1712,0,101360,182,0.001136,0.00672,193,0.0,193,0.0051813471502590676,193
10,20000,15.0,-0.045726,-0.240016,-0.045726,-0.043031,-0.242075,20.0,3680,True,-0.043031,0.9417,0.8327149571850896,270,4113,270,205,6.2328,5.249,2824,2824,ok,,4.0602,38.0,5.0376,0.1347,1.8553,212.7022,1.4117,2.0357,10.2572,0.014156,0.8734,0.3266,2963,399,4,0.261891,840404,3208978,4.1811,2564,0,150632,256,0.001661,0.00896,270,0.0,270,0.003703703703703704,270
