episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.171305,-0.997149,-0.171305,4.2824,40,40,2,7.8739,5.8209,656,656,14.4233,45.4,4.7396,0.1341,42.3356,466.7225,96.1693,30.1299,14.8762,0.017077,0.7552,0.4136,671,90,0,0.284556,300340,1055468,18.0531,581,0,38707,75,0.000376,0.00672
2,4000,10.0,-0.234383,-1.076291,-0.234383,2.825,164,124,8,6.7904,4.592,1881,1879,16.6212,45.4,3.2348,0.0523,46.3827,469.4143,72.2315,39.6153,17.5347,0.074915,0.8119,0.4892,1796,94,0,0.27452,606858,2210611,13.5554,1702,0,87856,179,0.001006,0.01008
3,6000,15.0,-0.237329,-4.512345,-0.237329,3.3754,250,86,12,26.364,19.0131,1017,1017,19.456,45.6,16.7393,0.2097,59.1116,499.4328,69.1729,53.6853,13.7781,0.018749,0.9026,0.5939,906,190,0,0.258095,844855,3273429,81.0094,716,0,193882,301,0.000507,0.02576
4,8000,20.0,-0.259346,-8.223237,-0.259346,7.9212,323,73,16,44.0723,31.7075,664,663,19.9705,45.5,43.3583,0.1022,67.5219,483.3626,78.8764,60.8455,11.498,0.003642,0.9092,0.6555,372,38,0,0.253073,1079899,4267141,206.9259,334,0,210349,330,0.000209,0.03584
5,10000,25.0,-0.273816,-9.007587,-0.273816,10.0975,412,89,20,44.6968,32.8965,833,832,20.4903,45.5,44.6313,0.153,69.3442,485.6692,73.8403,66.0332,14.0175,0.01175,0.8987,0.6552,536,82,0,0.248733,1331759,5354165,203.1033,454,0,273925,378,0.000302,0.06384
6,12000,30.0,-0.249638,-8.624952,-0.249638,14.356,502,90,25,44.9571,34.5498,821,819,20.6011,45.4,45.0233,0.0641,51.3451,437.7496,53.3237,49.4714,17.9077,0.023051,0.9227,0.6171,515,33,0,0.287349,1744107,6069646,159.7651,482,0,283260,337,0.000288,0.07952
7,14000,35.0,-0.247835,-8.620632,-0.247835,15.414,593,91,29,44.8932,34.7837,823,822,20.7538,45.9,44.9929,0.2504,48.7589,473.3392,43.9664,53.3355,12.6003,0.009885,0.9167,0.6119,659,165,0,0.300652,1913418,6364224,142.37,494,0,286222,329,0.000369,0.09296
8,16000,5.0,-0.183235,-2.942804,-0.183235,14.3791,632,39,31,24.9194,16.0603,267,267,17.9219,45.5,16.7344,0.1557,45.2248,394.8354,61.9061,41.7689,15.1822,0.006575,0.8217,0.4899,212,33,0,0.288268,298852,1036717,64.7468,179,0,42996,88,0.000119,0.00784
9,18000,10.0,-0.192164,-4.853081,-0.192164,15.7991,682,50,34,37.4404,25.2549,375,375,18.9366,45.3,30.5123,0.1491,46.5923,425.8639,69.9468,40.4237,11.0851,0.002228,0.8867,0.5586,228,34,0,0.275959,585137,2120375,126.5757,194,0,94763,181,0.000128,0.02688
10,20000,15.0,-0.224628,-3.986913,-0.224628,13.8376,756,74,37,25.2727,17.749,845,845,18.7814,45.5,15.5337,0.2304,54.9712,426.3742,78.528,45.5406,11.84,0.009715,0.8464,0.539,777,179,0,0.265247,851753,3211165,72.126,598,0,150410,247,0.000435,0.02688
