episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.133421,-0.415282,-0.133421,0.7733,196,196,9,3.5392,3.1126,1210,1209,7.2343,42.5,2.914,0.0795,13.2089,355.5009,13.4941,13.1443,15.9416,0.032363,0.7239,0.2647,1232,98,1,0.284556,300340,1055468,5.8015,1134,0,38707,75,0.00069,0.0056
2,4000,10.0,-0.233973,-0.160258,-0.233973,0.0186,2086,1890,104,0.6566,0.6849,11239,11231,1.7299,23.3,0.7478,0.1247,1.3847,177.5793,2.112,1.1942,13.0718,0.169123,0.5368,0.1038,12635,1576,1,0.27452,606858,2210611,0.3702,11059,0,87856,179,0.00709,0.0224
3,6000,15.0,-0.091146,-0.113265,-0.091146,0.0063,4419,2333,220,1.2432,1.2427,14478,14477,1.6214,17.2,1.3329,0.1328,0.5791,134.2237,0.156,0.8072,10.4084,0.081614,0.667,0.0569,16348,2171,0,0.258095,844855,3273429,0.4723,14177,0,193882,301,0.009164,0.03584
4,8000,20.0,-0.037456,-0.123901,-0.037456,0.0158,5462,1043,273,3.5186,3.3079,6190,6188,2.9315,21.4,3.3554,0.1409,1.0354,106.2645,0.6579,1.2574,10.457,0.034339,0.9066,0.5532,6820,961,1,0.253073,1079899,4267141,1.8732,5859,0,210349,330,0.00382,0.01792
5,10000,25.0,-0.032658,-0.149809,-0.032658,0.0155,7261,1799,363,4.893,4.5872,5862,5857,3.238,20.6,4.6274,0.1658,1.4497,116.906,0.7279,1.9813,10.4135,0.032646,0.9344,0.638,6570,1089,2,0.248733,1331759,5354165,3.334,5481,0,273925,378,0.00368,0.01232
6,12000,30.0,-0.027695,-0.129011,-0.027695,0.0331,8181,920,409,4.9737,4.6582,5966,5964,3.0852,19.5,4.8529,0.1559,1.0265,76.2258,0.519,1.5071,10.5775,0.034641,0.9413,0.6198,6666,1039,0,0.287349,1744107,6069646,2.5572,5627,0,283260,337,0.003733,0.01232
7,14000,35.0,-0.024567,-0.123382,-0.024567,0.0115,9054,873,452,5.3292,5.0222,5601,5598,3.2684,20.8,5.1492,0.179,0.9523,46.9973,0.5372,1.3486,10.6224,0.034089,0.9485,0.7617,6419,1149,2,0.300652,1913418,6364224,2.6407,5270,0,286222,329,0.003596,0.01232
8,16000,5.0,-0.029494,-0.109667,-0.029494,0.0136,9270,216,463,4.4104,3.7183,1131,1130,2.8871,18.8,3.7402,0.1154,0.6577,60.9141,0.2888,0.7341,10.9229,0.007029,0.8906,0.4813,1179,136,0,0.288268,298852,1036717,1.69,1043,0,42996,88,0.000661,0.0056
9,18000,10.0,-0.027333,-0.123423,-0.027333,0.0166,9658,388,482,5.1042,4.5155,2061,2060,3.2959,21.9,4.6092,0.0953,0.9445,47.8258,0.5063,1.0602,10.8471,0.011931,0.9237,0.5717,2078,198,0,0.275959,585137,2120375,2.5821,1880,0,94763,181,0.001164,0.0056
10,20000,15.0,-0.027207,-0.149087,-0.027207,0.0289,10113,455,505,6.3346,5.4798,2705,2703,3.8308,21.0,5.5591,0.0835,1.2794,70.9732,0.8366,1.4566,10.7657,0.014925,0.9298,0.6365,2682,224,0,0.265247,851753,3211165,3.4407,2458,0,150410,247,0.001502,0.00896
11,22000,20.0,-0.028974,-0.14887,-0.028974,0.0235,10691,578,534,5.7937,5.138,3602,3601,3.5123,18.6,5.2424,0.1083,1.3899,65.5263,0.7152,1.7118,10.7715,0.021118,0.94,0.6707,3692,400,0,0.255925,1069483,4178887,3.8182,3292,0,188099,310,0.002068,0.01008
12,24000,25.0,-0.027732,-0.127327,-0.027732,0.0263,11560,869,578,5.0369,4.5914,5691,5684,3.2994,22.8,4.578,0.1469,1.0231,54.2492,0.5399,1.3957,10.5885,0.033955,0.8491,0.5385,6268,921,2,0.251857,1334865,5300085,2.6398,5347,0,266125,342,0.003513,0.01344
13,26000,30.0,-0.024387,-0.128535,-0.024387,0.0166,12415,855,620,5.9608,5.2707,5681,5678,3.5428,22.4,5.3346,0.1816,1.064,46.0146,0.5925,1.4546,10.5483,0.034186,0.9461,0.7236,6450,1171,3,0.292157,1749001,5986517,3.0805,5279,0,304334,399,0.003613,0.0112
14,28000,35.0,-0.023347,-0.139942,-0.023347,0.0264,13254,839,662,6.7965,5.9941,5648,5648,4.2919,47.1,6.1254,0.1742,1.1134,80.3534,0.5969,1.762,10.5775,0.033605,0.9231,0.6928,6361,1108,6,0.291508,1839035,6308693,3.1701,5253,0,343605,388,0.003562,0.0112
15,30000,5.0,-0.026923,-0.132401,-0.026923,0.0201,13409,155,670,6.3451,4.9178,815,815,3.9693,22.7,4.6827,0.0939,0.9308,45.7442,0.2925,1.0595,11.0646,0.005369,0.8779,0.5388,809,76,0,0.288108,305625,1060801,2.3788,733,0,40752,82,0.000454,0.00448
16,32000,10.0,-0.025542,-0.124984,-0.025542,0.032,13691,282,684,5.9044,4.8933,1592,1589,3.8648,29.4,4.6787,0.0879,0.8906,55.8845,0.4689,1.0105,10.8522,0.009399,0.8594,0.54,1570,138,0,0.279222,583733,2090573,2.291,1432,0,79080,158,0.000879,0.00672
17,34000,15.0,-0.027437,-0.16923,-0.027437,0.1363,14166,475,708,7.4444,6.1679,3084,3080,4.7627,31.5,6.0647,0.1025,1.4751,114.2311,0.7148,1.8232,10.9666,0.019928,0.9029,0.4049,3131,321,0,0.26183,893414,3412196,3.848,2810,0,192600,274,0.001753,0.00784
18,36000,20.0,-0.027187,-0.134796,-0.027187,0.0504,14753,587,737,5.7669,4.9581,3942,3939,3.9665,25.6,4.9817,0.1252,1.1684,72.1571,0.9508,1.2857,10.4486,0.020912,0.9062,0.6609,4138,518,0,0.244333,1086540,4446960,3.0446,3620,0,198726,321,0.002319,0.01008
19,38000,25.0,-0.024269,-0.1333,-0.024269,0.0309,15474,721,773,6.3315,5.4926,5118,5111,4.2216,27.4,5.4911,0.1423,1.1953,82.0008,0.6858,1.5898,10.4964,0.029234,0.9254,0.6257,5553,790,2,0.250556,1324500,5286233,3.2267,4763,0,285288,353,0.00311,0.01344
