episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.018026,-0.171928,-0.018026,0.1386,74,74,3,11.7405,9.538,403,403,10.6098,44.3,9.1215,0.0734,20.3129,382.9756,27.465,18.6913,15.1904,0.007242,0.7602,0.3436,354,26,0,0.284556,300340,1055468,21.601,328,0,38707,75,0.000198,0.00448
2,4000,10.0,-0.005007,-0.138743,-0.005007,-0.0007,190,116,9,42.2081,27.7123,317,317,18.3033,45.4,42.5589,0.1266,45.3345,404.9027,68.1898,39.3507,11.2634,0.001042,0.8596,0.4779,158,20,0,0.27452,606858,2210611,196.8627,138,0,87856,179,8.8e-05,0.00224
3,6000,15.0,-0.00578,-0.185419,-0.00578,-0.0011,354,164,17,44.7192,32.0821,604,604,20.1165,45.4,44.8629,0.1217,60.9386,498.2584,74.8096,53.4575,10.2307,0.001641,0.9053,0.6014,345,42,0,0.258095,844855,3273429,209.3095,303,0,193882,301,0.000194,0.00784
4,8000,20.0,-0.006412,-0.207718,-0.006412,0.0102,537,183,26,44.9425,32.3937,650,649,20.1262,45.5,45.0813,0.1667,68.5093,489.5511,80.3172,61.5663,10.1736,0.001796,0.9125,0.6646,384,64,0,0.253073,1079899,4267141,219.977,320,0,210349,330,0.000215,0.01792
5,10000,25.0,-0.006683,-0.220914,-0.006683,0.0237,775,238,38,44.9703,33.0559,829,828,20.609,91.1,45.2013,0.2428,69.7516,485.6692,74.44,66.299,10.2766,0.002859,0.8965,0.6588,593,144,1,0.248733,1331759,5354165,207.2805,449,0,273925,378,0.000334,0.056
6,12000,30.0,-0.011424,-0.244081,-0.011424,1.0165,1091,316,54,26.8202,21.3658,1328,1322,19.5792,45.5,22.5716,0.1001,45.0874,435.7743,43.6647,46.4346,16.9513,0.045097,0.8988,0.5785,1099,110,0,0.287349,1744107,6069646,72.275,989,0,283260,337,0.000616,0.03248
7,14000,35.0,-0.266666,-0.335539,-0.266666,21.9171,5481,4390,274,1.5199,1.2583,21111,21111,14.7752,45.6,1.0495,0.1937,34.119,465.4488,26.2128,41.669,22.7596,2.256648,0.8727,0.5413,25776,4994,0,0.300652,1913418,6364224,2.1941,20782,0,286222,329,0.014435,0.06496
8,16000,5.0,-0.004332,-0.124186,-0.004332,37.9163,5550,69,277,44.9994,28.6653,150,150,19.5637,45.5,45.1096,0.1507,44.3363,429.5061,57.6089,41.5865,10.0,0.000327,0.8592,0.4638,73,11,0,0.288268,298852,1036717,188.6331,62,0,42996,88,4.1e-05,0.00784
9,18000,10.0,-0.004608,-0.139514,-0.004608,10.322,5666,116,283,45.0,30.2773,313,313,19.3436,45.7,45.1078,0.2096,44.9894,415.0059,61.9299,40.515,10.0,0.000748,0.894,0.5532,167,35,0,0.275959,585137,2120375,181.8652,132,0,94763,181,9.4e-05,0.028
10,20000,15.0,-0.005244,-0.163223,-0.005244,5.1239,5820,154,291,45.0,31.1265,483,483,19.7814,45.6,45.1117,0.1862,51.9159,423.5529,71.5916,44.0389,10.0,0.001299,0.8869,0.5409,290,54,0,0.265247,851753,3211165,191.4186,236,0,150410,247,0.000162,0.03584
11,22000,20.0,-0.00624,-0.196856,-0.00624,2.9366,5988,168,299,45.0,31.5482,596,596,19.8053,45.8,45.1073,0.1637,67.263,506.1518,81.9029,60.2784,10.0,0.001532,0.9096,0.6028,342,56,0,0.255925,1069483,4178887,230.241,286,0,188099,310,0.000192,0.04928
12,24000,25.0,-0.006443,-0.223346,-0.006443,516.0425,6201,213,310,45.0,34.6673,768,767,20.4825,45.7,45.1044,0.1564,68.9399,543.0618,71.3949,67.0474,10.0,0.002267,0.9269,0.6036,505,79,0,0.251857,1334865,5300085,204.6415,426,0,266125,342,0.000283,0.06832
13,26000,30.0,-0.006546,-0.223374,-0.006546,0.7008,6453,252,322,45.0,34.1258,891,891,20.5726,91.2,45.1899,0.2256,56.3461,410.6845,56.558,56.1706,10.0,0.002845,0.9045,0.6031,634,143,1,0.292157,1749001,5986517,162.4134,491,0,304334,399,0.000356,0.09184
14,28000,35.0,-0.006036,-0.213564,-0.006036,1.5927,6731,278,336,45.0,35.3841,970,970,20.7141,45.8,45.1096,0.2159,50.6252,516.1122,50.6134,50.64,10.0,0.00332,0.9216,0.6534,741,160,0,0.291508,1839035,6308693,149.4464,581,0,343605,388,0.000415,0.10976
15,30000,5.0,-0.004415,-0.129437,-0.004415,33.2971,6798,67,339,45.0,29.3209,139,139,19.26,45.3,45.0896,0.1493,46.6533,454.147,63.364,43.2846,10.0,0.0003,0.8674,0.4559,67,10,0,0.288108,305625,1060801,193.3759,57,0,40752,82,3.8e-05,0.01344
16,32000,10.0,-0.00423,-0.127175,-0.00423,145990.139,6898,100,344,44.9999,30.0684,266,263,19.4105,45.5,45.1104,0.2148,41.9246,432.4259,55.2358,38.1379,10.0,0.000605,0.8903,0.4008,135,29,0,0.279222,583733,2090573,169.6768,106,0,79080,158,7.6e-05,0.02016
17,34000,15.0,-0.006063,-0.204024,-0.006063,4141.0159,7068,170,353,44.9997,33.6509,572,572,20.299,45.5,45.102,0.1437,59.7447,438.2955,67.4665,56.2088,10.0,0.001559,0.9241,0.6125,348,50,0,0.26183,893414,3412196,191.2389,298,0,192600,274,0.000195,0.0448
18,36000,20.0,-0.005466,-0.174244,-0.005466,0.791,7252,184,362,44.9993,31.8806,625,623,19.8866,45.6,45.1052,0.1744,52.3919,475.1116,68.2197,43.856,10.0,0.001644,0.8948,0.5166,367,64,0,0.244333,1086540,4446960,190.4008,303,0,198726,321,0.000206,0.04928
19,38000,25.0,-0.006355,-0.216918,-0.006355,25.1288,7474,222,373,44.9984,34.1327,835,835,20.5892,45.6,45.1151,0.1993,66.8668,535.1089,75.113,60.4823,10.0,0.002701,0.9253,0.6263,602,120,0,0.250556,1324500,5286233,206.587,482,0,285288,353,0.000338,0.05936
20,40000,30.0,-0.006803,-0.236146,-0.006803,2.1867,7739,265,386,44.9927,34.7136,887,887,20.4741,45.7,45.1117,0.2409,57.7296,433.1003,59.479,56.3584,10.0,0.002957,0.9313,0.629,660,159,0,0.280871,1712675,6097722,162.2171,501,0,308196,386,0.00037,0.09856
21,42000,35.0,-0.006577,-0.227301,-0.006577,8.9188,7996,257,399,44.982,34.5613,890,890,20.4658,45.7,45.1091,0.2156,59.2458,543.7987,67.2165,53.1685,10.0,0.002867,0.9154,0.6251,640,138,0,0.298926,1889257,6320160,182.7405,502,0,307880,388,0.000358,0.0896
22,44000,5.0,-0.004304,-0.134466,-0.004304,89.5329,8072,76,403,44.9686,31.2401,172,172,19.675,45.5,45.1069,0.2059,40.4067,340.4263,52.971,36.9477,10.0,0.000457,0.9217,0.5489,102,21,0,0.288355,296233,1027321,174.0694,81,0,53749,91,5.7e-05,0.01344
23,46000,10.0,-0.004423,-0.13484,-0.004423,14.2696,8181,109,409,44.9634,30.4848,310,309,19.4735,45.4,45.0883,0.135,42.9432,413.212,57.1295,38.5923,10.0,0.00073,0.8892,0.5599,163,22,0,0.275622,613383,2225447,194.2436,141,0,94221,169,9.1e-05,0.02464
24,48000,15.0,-0.005255,-0.164526,-0.005255,2.7416,8307,126,415,44.9659,31.3071,396,396,19.6084,45.5,45.1,0.2143,55.5667,455.4259,84.2238,49.0193,10.0,0.001004,0.908,0.5266,224,48,0,0.268667,836330,3112883,208.9271,176,0,123985,220,0.000125,0.03696
25,50000,20.0,-0.006445,-0.20863,-0.006445,0.1856,8500,193,425,44.9625,32.371,659,658,19.9887,45.6,45.0948,0.1771,64.0744,445.9113,74.8559,58.232,10.0,0.001801,0.9076,0.6,401,71,0,0.259545,1105101,4257836,211.1423,330,0,213128,328,0.000225,0.056
26,52000,25.0,-0.006244,-0.211429,-0.006244,3.5692,8724,224,436,44.8906,33.8623,840,840,20.4335,45.7,45.0363,0.1799,58.3056,456.4106,61.5458,55.6373,10.0,0.00254,0.9346,0.6288,567,102,0,0.258908,1400077,5407614,183.0165,465,0,284693,375,0.000318,0.04368
27,54000,30.0,-0.006671,-0.225041,-0.006671,0.4759,8973,249,448,44.8108,33.7345,886,885,20.4054,45.6,44.9827,0.2428,62.2092,486.0102,72.8501,53.3834,10.0,0.002952,0.9324,0.669,659,160,0,0.291878,1787131,6122872,191.7519,499,0,298832,386,0.000369,0.06048
28,56000,35.0,-0.006167,-0.211476,-0.006167,0.2567,9204,231,460,44.39,34.289,821,820,20.2768,45.7,44.5267,0.1933,47.942,481.056,48.0216,47.8745,10.0,0.002666,0.9039,0.6079,595,115,0,0.299522,1869816,6242668,138.3992,480,0,281453,340,0.000333,0.02576
29,58000,5.0,-0.004931,-0.147734,-0.004931,0.7381,9272,68,463,44.2924,29.9632,133,133,19.0461,45.3,44.4429,0.1857,48.8473,440.4164,85.4281,39.1022,10.0,0.000314,0.8746,0.4677,70,13,0,0.28947,286033,988127,198.5035,57,0,39851,76,3.9e-05,0.00336
30,60000,10.0,-0.004703,-0.141635,-0.004703,0.2918,9383,111,469,44.2946,30.1146,315,315,19.6823,45.0,44.2624,0.1824,49.7435,449.3353,62.7618,45.6627,10.0,0.000771,0.8956,0.5321,170,31,0,0.277396,626591,2258833,191.1784,139,0,94868,176,9.6e-05,0.00448
31,62000,15.0,-0.005284,-0.162827,-0.005284,0.3209,9530,147,476,43.8465,30.8158,520,520,19.1859,45.0,43.8347,0.1263,50.2759,518.9307,70.1157,40.7576,10.0,0.001277,0.8995,0.5131,285,36,0,0.26359,875334,3320821,178.0609,249,0,160324,271,0.00016,0.00672
32,64000,20.0,-0.006407,-0.208933,-0.006407,0.6681,9718,188,485,43.2829,32.6089,745,745,19.4753,45.2,43.4132,0.0977,60.8113,487.5194,66.6835,57.1449,10.0,0.001971,0.9174,0.6285,440,43,0,0.246425,1030372,4181281,189.8428,397,0,243126,348,0.000246,0.00672
33,66000,25.0,-0.006305,-0.206779,-0.006305,0.7095,9939,221,496,42.5085,32.7966,812,812,19.4097,45.4,42.6166,0.1658,55.9574,493.8002,56.4933,55.524,10.0,0.00246,0.9217,0.5685,549,91,0,0.254496,1352072,5312747,168.1662,458,0,266532,354,0.000307,0.01008
34,68000,30.0,-0.00663,-0.203081,-0.00663,462900.3607,10194,255,509,38.1815,30.6303,929,928,17.9019,72.8,37.0858,0.2011,40.8931,418.4742,38.6493,42.8816,10.0,0.003257,0.9086,0.6203,726,146,1,0.276424,1654110,5983964,114.3652,580,0,284628,348,0.000407,0.0056
35,70000,35.0,-0.178197,-0.328763,-0.178197,272409.9332,13336,3142,666,2.1848,1.8449,16022,16020,11.6329,41.4,1.4444,0.1494,22.9546,345.1089,19.1661,26.4951,22.8164,1.620584,0.8259,0.4562,18386,2746,1,0.294028,1884431,6409020,3.3341,15640,0,310985,380,0.010298,0.06608
36,72000,5.0,-0.10232,-0.291745,-0.10232,5.7783,13721,385,686,4.0918,2.8513,1745,1745,12.6597,44.9,1.9861,0.015,25.9878,390.056,27.2986,25.6424,22.8907,0.147654,0.8262,0.3578,1667,25,0,0.285455,332371,1164357,4.9927,1642,0,51322,103,0.000934,0.01344
37,74000,10.0,-0.007694,-0.203111,-0.007694,16.4881,13823,102,691,38.3812,26.3988,328,328,16.4419,45.2,34.5711,0.0667,23.4803,350.7718,28.2827,22.5261,21.9167,0.014816,0.9075,0.4217,180,12,0,0.270145,585000,2165503,104.7186,168,0,86636,160,0.000101,0.00448
