episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.094114,-0.200062,-0.094114,0.2804,150,150,7,2.1741,2.1257,1747,1745,1.6581,11.9,2.2159,0.0462,0.668,50.219,0.6085,0.6814,17.1206,0.043903,0.8522,0.4527,1753,81,0,0.284556,300340,1055468,1.0154,1672,0,38707,75,0.000983,0.00672
2,4000,10.0,-0.022004,-0.229298,-0.022004,0.363,280,130,14,12.042,10.4208,839,838,7.87,42.1,10.6359,0.0251,14.9395,344.5384,26.9046,11.807,19.9042,0.032409,0.8066,0.351,677,17,0,0.27452,606858,2210611,25.7337,660,0,87856,179,0.00038,0.00448
3,6000,15.0,-0.013594,-0.221996,-0.013594,0.3935,448,168,22,21.0786,16.331,1184,1183,13.9745,45.3,15.4411,0.0859,34.4539,436.556,35.1421,34.0828,16.8824,0.029131,0.865,0.5239,966,83,0,0.258095,844855,3273429,48.5381,883,0,193882,301,0.000541,0.0056
4,8000,20.0,-0.008968,-0.257816,-0.008968,0.3795,588,140,29,39.0075,28.7488,731,731,17.8361,45.2,36.834,0.0123,52.382,483.3626,60.0504,47.873,18.7435,0.016588,0.8995,0.6069,406,5,0,0.253073,1079899,4267141,156.9651,401,0,210349,330,0.000227,0.0056
5,10000,25.0,-0.0092,-0.281902,-0.0092,0.384,754,166,37,40.029,30.6424,895,893,18.7078,45.3,39.5706,0.0264,56.6238,485.5813,59.2144,54.7161,18.6352,0.021024,0.8974,0.6233,530,14,0,0.248733,1331759,5354165,164.4836,516,0,273925,378,0.000298,0.0336
6,12000,30.0,-0.008215,-0.261125,-0.008215,0.3699,927,173,46,40.2433,31.7856,892,890,18.9213,45.4,39.7338,0.0611,43.3173,424.5086,43.9299,42.7372,17.0951,0.016947,0.922,0.6153,589,36,0,0.287349,1744107,6069646,128.8395,553,0,283260,337,0.00033,0.03024
7,14000,35.0,-0.007151,-0.231772,-0.007151,0.346,1104,177,55,40.4033,32.4107,883,882,19.1459,45.5,40.1487,0.1317,42.8061,407.8725,38.7679,46.6624,13.1423,0.007392,0.9148,0.6047,638,84,0,0.300652,1913418,6364224,119.3584,554,0,286222,329,0.000357,0.04704
8,16000,5.0,-0.005144,-0.134827,-0.005144,0.3407,1165,61,58,39.5135,26.2098,164,164,17.7114,45.3,38.0346,0.0617,37.8646,455.2826,34.4358,38.5749,12.7042,0.000836,0.8531,0.4148,81,5,0,0.288268,298852,1036717,142.4448,76,0,42996,88,4.5e-05,0.00336
9,18000,10.0,-0.005158,-0.142886,-0.005158,0.3158,1253,88,62,40.1239,27.7015,342,342,17.7368,45.4,39.4689,0.1202,41.1744,415.0059,54.3362,37.6979,10.8123,0.001052,0.8906,0.52,183,22,0,0.275959,585137,2120375,153.3997,161,0,94763,181,0.000102,0.0168
10,20000,15.0,-0.005628,-0.165864,-0.005628,0.2889,1356,103,67,40.5638,29.4733,510,510,18.3698,45.4,40.4573,0.1291,48.1244,419.1986,61.1376,42.9147,10.4676,0.001525,0.8859,0.5235,302,39,0,0.265247,851753,3211165,162.7013,263,0,150410,247,0.000169,0.01792
