number,value,datetime_start,datetime_complete,duration,params_clip_ratio,params_entropy_coef,params_gamma,params_hidden_dim,params_lr,params_value_coef,user_attrs_avg_power_dbm,user_attrs_avg_power_norm,user_attrs_composite_score,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_outage_rate,state
0,4.83251,2026-08-26 22:17:04.106155,2026-08-26 22:17:06.114596,0 days 00:00:02.008441,0.13119890406724052,0.0001434715951720141,0.9576449133816793,32,0.0003574712922600243,0.7197056874649612,24.8645,0.4865,4.83251,3.3644,2.4092,0.3219,COMPLETE
1,6.029406666666667,2026-08-26 22:17:06.114665,2026-08-26 22:17:07.058235,0 days 00:00:00.943570,0.14246782213565523,0.00030955664602423704,0.9907896893992206,128,0.0007725378389307352,0.3100427059120603,25.0806,0.508,6.029406666666667,3.6254,2.8014,0.6569,COMPLETE
2,5.61665,2026-08-26 22:17:07.058286,2026-08-26 22:17:07.729367,0 days 00:00:00.671081,0.12789877213040837,0.0006144543785587475,0.9799807918413965,32,0.0002814509271606064,0.4198171059762151,25.0767,0.5077,5.61665,3.4698,3.1068,0.3367,COMPLETE
3,7.545206666666668,2026-08-26 22:17:07.729412,2026-08-26 22:17:08.392813,0 days 00:00:00.663401,0.10929008254399955,0.004362599362560562,0.97902831387424,32,0.000471705203762518,0.30231447421237495,25.1201,0.512,7.545206666666668,3.9663,4.7744,0.3426,COMPLETE
4,6.491716666666668,2026-08-26 22:17:08.392858,2026-08-26 22:17:09.064563,0 days 00:00:00.671705,0.11953442280127678,0.007026263205443053,0.9649260746894951,64,0.00012476394272569445,0.46409149624376084,25.1933,0.5193,6.491716666666668,3.5384,3.9837,0.3175,COMPLETE
5,5.141719999999999,2026-08-26 22:17:09.064607,2026-08-26 22:17:09.919042,0 days 00:00:00.854435,0.23250445687079638,0.0006939031266619748,0.9626802190984008,128,0.00015144860262751404,0.5120408127066866,24.7912,0.4791,5.141719999999999,3.4022,2.684,0.3304,COMPLETE
6,4.863896666666666,2026-08-26 22:17:09.919085,2026-08-26 22:17:10.666627,0 days 00:00:00.747542,0.27896547008552974,0.004108791545324082,0.9960354481366452,64,0.000642033033629786,0.7531245410138703,26.1427,0.6142,4.863896666666666,3.1866,2.3291,0.4093,COMPLETE
7,5.2053400000000005,2026-08-26 22:17:10.666671,2026-08-26 22:17:11.445899,0 days 00:00:00.779228,0.1542698063547792,0.017247957710046027,0.9690451871947846,128,0.00013511829476450826,0.4140519960161536,25.094,0.5094,5.2053400000000005,3.5771,2.7194,0.2977,COMPLETE
8,5.122733333333334,2026-08-26 22:17:11.445944,2026-08-26 22:17:12.396418,0 days 00:00:00.950474,0.29737738732010344,0.012141307774357374,0.9536529815403088,128,0.00026000059117302663,0.31922940892050344,24.8417,0.4842,5.122733333333334,3.3908,2.6998,0.3154,COMPLETE
9,5.601573333333332,2026-08-26 22:17:12.396479,2026-08-26 22:17:13.075263,0 days 00:00:00.678784,0.11480893034681808,0.0009278723835524701,0.9877922469876114,32,0.0001018959297939515,0.26952143571507786,25.1589,0.5159,5.601573333333332,3.6921,2.9804,0.336,COMPLETE
10,5.906580000000001,2026-08-26 22:17:13.075305,2026-08-26 22:17:13.938803,0 days 00:00:00.863498,0.1858567097549959,0.00010944814957090529,0.9503698186464984,32,0.002100608421976317,0.7445988771695108,25.2404,0.5241,5.906580000000001,3.2946,2.9312,0.6116,COMPLETE
11,5.501123333333332,2026-08-26 22:17:13.938846,2026-08-26 22:17:14.941211,0 days 00:00:01.002365,0.25830998527341237,0.042763886574852375,0.9964011319431173,64,0.001043081067400302,0.7769130781283138,24.8471,0.4847,5.501123333333332,3.1965,2.7091,0.5484,COMPLETE
12,6.308546666666667,2026-08-26 22:17:14.941256,2026-08-26 22:17:15.669364,0 days 00:00:00.728108,0.20015984149814336,0.0019011017523677507,0.9583986522720848,64,0.000481880126422397,0.6605755986204749,25.2025,0.5202,6.308546666666667,3.4609,3.881,0.2965,COMPLETE
13,7.384216666666664,2026-08-26 22:17:15.669406,2026-08-26 22:17:16.580578,0 days 00:00:00.911172,0.29554423306842015,0.0027715086808539186,0.9725288669494082,64,0.0016401332399717274,0.6453154112739335,25.0431,0.5043,7.384216666666664,4.0086,3.8914,0.6938,COMPLETE
14,4.749896666666667,2026-08-26 22:17:16.580633,2026-08-26 22:17:17.351703,0 days 00:00:00.771070,0.16855985765326326,0.000162842448381214,0.9837964924386016,32,0.00028040403166268814,0.6232935452109489,25.0322,0.5032,4.749896666666667,3.5886,2.2133,0.3208,COMPLETE
