method,scenario,n_vehicles,seed,runtime_sec,n_cam_events,CBR_mean,AoI_mean,PDR_mean,energy_efficiency,ETSI_compliance
ReactDCC,urban_grid,20,42,0.24,2005,0.0075,322.959,100.0,28.0278,100.0
ReactDCC,urban_grid,20,123,0.24,2567,0.0084,98.826,100.0,41.4094,100.0
ReactDCC,urban_grid,20,456,0.27,2924,0.0127,341.238,100.0,30.1085,100.0
AdaptDCC,urban_grid,20,42,0.24,2005,0.0075,322.959,100.0,28.0278,100.0
AdaptDCC,urban_grid,20,123,0.24,2567,0.0084,98.826,100.0,41.4094,100.0
AdaptDCC,urban_grid,20,456,0.25,2924,0.0127,341.238,100.0,30.1085,100.0
Heuristic,urban_grid,20,42,0.23,2005,0.0075,322.959,100.0,28.0278,100.0
Heuristic,urban_grid,20,123,0.24,2567,0.0084,98.826,100.0,41.4094,100.0
Heuristic,urban_grid,20,456,0.27,2924,0.0127,341.238,100.0,30.1085,100.0
Fixed10Hz,urban_grid,20,42,0.23,2005,0.0075,322.959,100.0,28.0278,100.0
Fixed10Hz,urban_grid,20,123,0.24,2567,0.0084,98.826,100.0,41.4094,100.0
Fixed10Hz,urban_grid,20,456,0.27,2924,0.0127,341.238,100.0,30.1085,100.0
Proposed,urban_grid,20,42,0.29,2005,0.0075,322.959,100.0,14.0472,100.0
Proposed,urban_grid,20,123,0.33,2567,0.0084,98.826,100.0,20.7539,100.0
Proposed,urban_grid,20,456,0.35,2924,0.0127,340.61,100.0,15.09,100.0
ReactDCC,urban_grid,40,42,0.25,2005,0.0075,322.959,100.0,28.0278,100.0
ReactDCC,urban_grid,40,123,0.24,2761,0.0091,95.344,100.0,38.6453,100.0
ReactDCC,urban_grid,40,456,0.25,2924,0.0127,341.238,100.0,30.1085,100.0
AdaptDCC,urban_grid,40,42,0.23,2005,0.0075,322.959,100.0,28.0278,100.0
AdaptDCC,urban_grid,40,123,0.25,2761,0.0091,95.344,100.0,38.6453,100.0
AdaptDCC,urban_grid,40,456,0.26,2924,0.0127,341.238,100.0,30.1085,100.0
Heuristic,urban_grid,40,42,0.24,2005,0.0075,322.959,100.0,28.0278,100.0
Heuristic,urban_grid,40,123,0.25,2761,0.0091,95.344,100.0,38.6453,100.0
Heuristic,urban_grid,40,456,0.26,2924,0.0127,341.238,100.0,30.1085,100.0
Fixed10Hz,urban_grid,40,42,0.24,2005,0.0075,322.959,100.0,28.0278,100.0
Fixed10Hz,urban_grid,40,123,0.24,2761,0.0091,95.344,100.0,38.6453,100.0
Fixed10Hz,urban_grid,40,456,0.26,2924,0.0127,341.238,100.0,30.1085,100.0
Proposed,urban_grid,40,42,0.29,2005,0.0075,322.959,100.0,14.0472,100.0
Proposed,urban_grid,40,123,0.31,2761,0.0091,95.344,100.0,19.3685,100.0
Proposed,urban_grid,40,456,0.35,2924,0.0127,340.61,100.0,15.09,100.0
ReactDCC,urban_grid,60,42,0.23,2005,0.0075,322.959,100.0,28.0278,100.0
ReactDCC,urban_grid,60,123,0.25,2761,0.0091,95.344,100.0,38.6453,100.0
ReactDCC,urban_grid,60,456,0.29,3535,0.0154,293.296,100.0,30.4157,100.0
AdaptDCC,urban_grid,60,42,0.23,2005,0.0075,322.959,100.0,28.0278,100.0
AdaptDCC,urban_grid,60,123,0.25,2761,0.0091,95.344,100.0,38.6453,100.0
AdaptDCC,urban_grid,60,456,0.27,3535,0.0154,293.296,100.0,30.4157,100.0
Heuristic,urban_grid,60,42,0.24,2005,0.0075,322.959,100.0,28.0278,100.0
Heuristic,urban_grid,60,123,0.24,2761,0.0091,95.344,100.0,38.6453,100.0
Heuristic,urban_grid,60,456,0.27,3535,0.0154,293.296,100.0,30.4157,100.0
Fixed10Hz,urban_grid,60,42,0.22,2005,0.0075,322.959,100.0,28.0278,100.0
Fixed10Hz,urban_grid,60,123,0.26,2761,0.0091,95.344,100.0,38.6453,100.0
Fixed10Hz,urban_grid,60,456,0.27,3535,0.0154,293.296,100.0,30.4157,100.0
Proposed,urban_grid,60,42,0.29,2005,0.0075,322.959,100.0,14.0472,100.0
Proposed,urban_grid,60,123,0.33,2761,0.0091,95.344,100.0,19.3685,100.0
Proposed,urban_grid,60,456,0.38,3535,0.0154,293.296,100.0,15.2439,100.0
ReactDCC,urban_grid,80,42,0.23,2005,0.0075,322.959,100.0,28.0278,100.0
ReactDCC,urban_grid,80,123,0.27,3367,0.0103,86.513,100.0,38.1028,100.0
ReactDCC,urban_grid,80,456,0.28,3741,0.0163,274.855,100.0,29.647,100.0
AdaptDCC,urban_grid,80,42,0.25,2005,0.0075,322.959,100.0,28.0278,100.0
AdaptDCC,urban_grid,80,123,0.26,3367,0.0103,86.513,100.0,38.1028,100.0
AdaptDCC,urban_grid,80,456,0.29,3741,0.0163,274.855,100.0,29.647,100.0
Heuristic,urban_grid,80,42,0.24,2005,0.0075,322.959,100.0,28.0278,100.0
Heuristic,urban_grid,80,123,0.26,3367,0.0103,86.513,100.0,38.1028,100.0
Heuristic,urban_grid,80,456,0.29,3741,0.0163,274.855,100.0,29.647,100.0
Fixed10Hz,urban_grid,80,42,0.23,2005,0.0075,322.959,100.0,28.0278,100.0
Fixed10Hz,urban_grid,80,123,0.26,3367,0.0103,86.513,100.0,38.1028,100.0
Fixed10Hz,urban_grid,80,456,0.28,3741,0.0163,274.855,100.0,29.647,100.0
Proposed,urban_grid,80,42,0.3,2005,0.0075,322.959,100.0,14.0472,100.0
Proposed,urban_grid,80,123,0.36,3367,0.0103,86.513,100.0,19.0966,100.0
Proposed,urban_grid,80,456,0.38,3741,0.0163,274.855,100.0,14.8587,100.0
ReactDCC,urban_grid,100,42,0.24,2005,0.0075,322.959,100.0,28.0278,100.0
ReactDCC,urban_grid,100,123,0.27,3367,0.0103,86.513,100.0,38.1028,100.0
ReactDCC,urban_grid,100,456,0.28,3741,0.0163,274.855,100.0,29.647,100.0
AdaptDCC,urban_grid,100,42,0.23,2005,0.0075,322.959,100.0,28.0278,100.0
AdaptDCC,urban_grid,100,123,0.27,3367,0.0103,86.513,100.0,38.1028,100.0
AdaptDCC,urban_grid,100,456,0.29,3741,0.0163,274.855,100.0,29.647,100.0
Heuristic,urban_grid,100,42,0.23,2005,0.0075,322.959,100.0,28.0278,100.0
Heuristic,urban_grid,100,123,0.26,3367,0.0103,86.513,100.0,38.1028,100.0
Heuristic,urban_grid,100,456,0.29,3741,0.0163,274.855,100.0,29.647,100.0
Fixed10Hz,urban_grid,100,42,0.23,2005,0.0075,322.959,100.0,28.0278,100.0
Fixed10Hz,urban_grid,100,123,0.27,3367,0.0103,86.513,100.0,38.1028,100.0
Fixed10Hz,urban_grid,100,456,0.29,3741,0.0163,274.855,100.0,29.647,100.0
Proposed,urban_grid,100,42,0.29,2005,0.0075,322.959,100.0,14.0472,100.0
Proposed,urban_grid,100,123,0.38,3367,0.0103,86.513,100.0,19.0966,100.0
Proposed,urban_grid,100,456,0.39,3741,0.0163,274.855,100.0,14.8587,100.0
ReactDCC,urban_grid,120,42,0.24,2210,0.0083,304.799,100.0,27.1175,100.0
ReactDCC,urban_grid,120,123,0.27,3367,0.0103,86.513,100.0,38.1028,100.0
ReactDCC,urban_grid,120,456,0.3,4241,0.0185,275.338,100.0,30.4882,100.0
AdaptDCC,urban_grid,120,42,0.23,2210,0.0083,304.799,100.0,27.1175,100.0
AdaptDCC,urban_grid,120,123,0.26,3367,0.0103,86.513,100.0,38.1028,100.0
AdaptDCC,urban_grid,120,456,0.31,4241,0.0185,275.338,100.0,30.4882,100.0
Heuristic,urban_grid,120,42,0.24,2210,0.0083,304.799,100.0,27.1175,100.0
Heuristic,urban_grid,120,123,0.26,3367,0.0103,86.513,100.0,38.1028,100.0
Heuristic,urban_grid,120,456,0.31,4241,0.0185,275.338,100.0,30.4882,100.0
Fixed10Hz,urban_grid,120,42,0.24,2210,0.0083,304.799,100.0,27.1175,100.0
Fixed10Hz,urban_grid,120,123,0.26,3367,0.0103,86.513,100.0,38.1028,100.0
Fixed10Hz,urban_grid,120,456,0.32,4241,0.0185,275.338,100.0,30.4882,100.0
Proposed,urban_grid,120,42,0.3,2210,0.0083,304.799,100.0,13.5909,100.0
Proposed,urban_grid,120,123,0.36,3367,0.0103,86.513,100.0,19.0966,100.0
Proposed,urban_grid,120,456,0.41,4241,0.0185,275.338,100.0,15.2803,100.0
ReactDCC,urban_grid,140,42,0.24,2210,0.0083,304.799,100.0,27.1175,100.0
ReactDCC,urban_grid,140,123,0.26,3367,0.0103,86.513,100.0,38.1028,100.0
ReactDCC,urban_grid,140,456,0.32,4241,0.0185,275.338,100.0,30.4882,100.0
AdaptDCC,urban_grid,140,42,0.24,2210,0.0083,304.799,100.0,27.1175,100.0
AdaptDCC,urban_grid,140,123,0.27,3367,0.0103,86.513,100.0,38.1028,100.0
AdaptDCC,urban_grid,140,456,0.31,4241,0.0185,275.338,100.0,30.4882,100.0
Heuristic,urban_grid,140,42,0.24,2210,0.0083,304.799,100.0,27.1175,100.0
Heuristic,urban_grid,140,123,0.27,3367,0.0103,86.513,100.0,38.1028,100.0
Heuristic,urban_grid,140,456,0.31,4241,0.0185,275.338,100.0,30.4882,100.0
Fixed10Hz,urban_grid,140,42,0.23,2210,0.0083,304.799,100.0,27.1175,100.0
Fixed10Hz,urban_grid,140,123,0.27,3367,0.0103,86.513,100.0,38.1028,100.0
Fixed10Hz,urban_grid,140,456,0.3,4241,0.0185,275.338,100.0,30.4882,100.0
Proposed,urban_grid,140,42,0.31,2210,0.0083,304.799,100.0,13.5909,100.0
Proposed,urban_grid,140,123,0.36,3367,0.0103,86.513,100.0,19.0966,100.0
Proposed,urban_grid,140,456,0.42,4241,0.0185,275.338,100.0,15.2803,100.0
ReactDCC,urban_grid,160,42,0.24,2210,0.0083,304.799,100.0,27.1175,100.0
ReactDCC,urban_grid,160,123,0.28,3367,0.0103,86.513,100.0,38.1028,100.0
ReactDCC,urban_grid,160,456,0.31,4241,0.0185,275.338,100.0,30.4882,100.0
AdaptDCC,urban_grid,160,42,0.24,2210,0.0083,304.799,100.0,27.1175,100.0
AdaptDCC,urban_grid,160,123,0.27,3367,0.0103,86.513,100.0,38.1028,100.0
AdaptDCC,urban_grid,160,456,0.31,4241,0.0185,275.338,100.0,30.4882,100.0
Heuristic,urban_grid,160,42,0.25,2210,0.0083,304.799,100.0,27.1175,100.0
Heuristic,urban_grid,160,123,0.28,3367,0.0103,86.513,100.0,38.1028,100.0
Heuristic,urban_grid,160,456,0.31,4241,0.0185,275.338,100.0,30.4882,100.0
Fixed10Hz,urban_grid,160,42,0.24,2210,0.0083,304.799,100.0,27.1175,100.0
Fixed10Hz,urban_grid,160,123,0.27,3367,0.0103,86.513,100.0,38.1028,100.0
Fixed10Hz,urban_grid,160,456,0.31,4241,0.0185,275.338,100.0,30.4882,100.0
Proposed,urban_grid,160,42,0.3,2210,0.0083,304.799,100.0,13.5909,100.0
Proposed,urban_grid,160,123,0.37,3367,0.0103,86.513,100.0,19.0966,100.0
Proposed,urban_grid,160,456,0.42,4241,0.0185,275.338,100.0,15.2803,100.0
