number,value,datetime_start,datetime_complete,duration,params_clip_ratio,params_embed_dim,params_entropy_coef,params_gamma,params_hidden_dim,params_lr,params_value_coef,user_attrs_avg_power_dbm,user_attrs_avg_power_norm,user_attrs_composite_score,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_outage_rate,state
0,6.210073333333334,2026-08-26 22:17:56.621978,2026-08-26 22:17:57.425038,0 days 00:00:00.803060,0.22022300234864176,4,0.008148293210105292,0.9924426311429718,32,0.0003574712922600243,0.21235069657748148,25.1337,0.5134,6.210073333333334,3.3759,3.8681,0.2757,COMPLETE
1,7.794553333333333,2026-08-26 22:17:57.425084,2026-08-26 22:17:58.453074,0 days 00:00:01.027990,0.15824582803960838,16,0.0044809759182149545,0.9711653059134636,32,0.002708160864249967,0.2836963163912251,23.9891,0.3989,7.794553333333333,3.6781,4.5822,0.6468,COMPLETE
2,4.727526666666667,2026-08-26 22:17:58.453120,2026-08-26 22:17:59.636318,0 days 00:00:01.183198,0.22150897038028766,16,0.00028856223618597374,0.9522760702232799,128,0.00027010527749605503,0.23903095579116773,24.0979,0.4098,4.727526666666667,3.0568,2.2248,0.4462,COMPLETE
3,6.918223333333334,2026-08-26 22:17:59.636367,2026-08-26 22:18:00.679372,0 days 00:00:01.043005,0.19903538202225401,8,0.0001238264969702355,0.9559798735073941,32,0.00252126790477792,0.7455922412472693,26.5352,0.6535,6.918223333333334,3.7356,3.5669,0.6764,COMPLETE
4,5.324506666666667,2026-08-26 22:18:00.679419,2026-08-26 22:18:01.429440,0 days 00:00:00.750021,0.2878997883128378,16,0.026008312687264896,0.9879815083446946,32,0.00024112898115291975,0.5587399872866512,24.692,0.4692,5.324506666666667,3.5975,2.7801,0.3259,COMPLETE
5,9.44801,2026-08-26 22:18:01.429483,2026-08-26 22:18:02.453495,0 days 00:00:01.024012,0.17135066533871784,8,0.0005731044951044767,0.9906081379484445,64,0.002299958642814372,0.5256176498949492,23.8012,0.3801,9.44801,4.5451,5.5503,0.7746,COMPLETE
6,7.411713333333334,2026-08-26 22:18:02.453544,2026-08-26 22:18:03.374532,0 days 00:00:00.920988,0.24137146876952342,4,0.00928043812399718,0.9899576099942868,128,0.00016149614799999194,0.6627622080115676,24.5554,0.4556,7.411713333333334,3.6476,4.7813,0.3577,COMPLETE
7,4.286983333333333,2026-08-26 22:18:03.374580,2026-08-26 22:18:04.279278,0 days 00:00:00.904698,0.16503666440534942,4,0.009315049998499168,0.9652381337640674,128,0.00012863908101989929,0.5825344828131279,24.8219,0.4822,4.286983333333333,3.3114,1.8698,0.3325,COMPLETE
8,12.404966666666667,2026-08-26 22:18:04.279330,2026-08-26 22:18:05.570660,0 days 00:00:01.291330,0.2045465658763988,16,0.00142534627201215,0.9741959842218552,128,0.002044187835249379,0.2152514760464571,20.6298,0.063,12.404966666666667,6.0975,7.686,0.8288,COMPLETE
9,6.43912,2026-08-26 22:18:05.570714,2026-08-26 22:18:06.332252,0 days 00:00:00.761538,0.2511102277086097,8,0.0004144950855435083,0.9701087632287458,64,0.00014433402406338895,0.24618794589727583,24.7973,0.4798,6.43912,3.6917,3.8795,0.3089,COMPLETE
10,7.3462,2026-08-26 22:18:06.332298,2026-08-26 22:18:07.469862,0 days 00:00:01.137564,0.10513037604029407,4,0.028168262317655395,0.9622316412112183,128,0.0005737769036013499,0.3935610632089411,25.3117,0.5312,7.3462,3.6041,4.2048,0.6166,COMPLETE
11,6.4588399999999995,2026-08-26 22:18:07.469916,2026-08-26 22:18:08.403459,0 days 00:00:00.933543,0.12823088583185616,4,0.000116950981107942,0.9514063152281212,128,0.00010666195403967525,0.42301112857134304,25.1087,0.5109,6.4588399999999995,3.6807,3.8197,0.3483,COMPLETE
12,5.22942,2026-08-26 22:18:08.403503,2026-08-26 22:18:09.504663,0 days 00:00:01.101160,0.1751751638977926,16,0.001779957005590383,0.9606748256079805,128,0.0005510754018579466,0.6010116438037398,23.9677,0.3968,5.22942,3.3527,2.1721,0.6508,COMPLETE
13,4.542840000000001,2026-08-26 22:18:09.504707,2026-08-26 22:18:10.460425,0 days 00:00:00.955718,0.13933289583924885,4,0.0005666282794571372,0.9624587048607377,128,0.00029873708373370886,0.40567957295978985,25.3187,0.5319,4.542840000000001,3.3254,1.8816,0.4461,COMPLETE
14,8.956190000000001,2026-08-26 22:18:10.460469,2026-08-26 22:18:11.569448,0 days 00:00:01.108979,0.14209863474872342,4,0.0008978073752279944,0.9813867199757759,128,0.000915438724927121,0.4365432835692215,24.8252,0.4825,8.956190000000001,4.1968,5.2815,0.7399,COMPLETE
