number,value,datetime_start,datetime_complete,duration,params_gamma,params_hidden_dim,params_lr,params_tau,user_attrs_avg_power_dbm,user_attrs_avg_power_norm,user_attrs_composite_score,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_outage_rate,state
0,7.060876666666666,2026-08-26 22:17:17.359058,2026-08-26 22:17:18.646208,0 days 00:00:01.287150,0.9576449133816793,32,0.0003574712922600243,0.001595708469414836,24.8164,0.4816,7.060876666666666,3.6536,4.5145,0.3116,COMPLETE
1,5.919556666666666,2026-08-26 22:17:18.646265,2026-08-26 22:17:19.825526,0 days 00:00:01.179261,0.9510086402204943,32,0.00012184186502221769,0.018276027831785738,24.6321,0.4632,5.919556666666666,3.6673,3.3102,0.3415,COMPLETE
2,5.760133333333333,2026-08-26 22:17:19.825568,2026-08-26 22:17:21.034596,0 days 00:00:01.209028,0.9649078699050173,32,0.0016967533607196547,0.004816414530907085,24.6186,0.4618,5.760133333333333,3.7861,3.0887,0.343,COMPLETE
3,4.933726666666667,2026-08-26 22:17:21.034639,2026-08-26 22:17:22.195354,0 days 00:00:01.160715,0.9643150877782256,64,0.0004345454109729479,0.0029967309097101583,25.0382,0.5038,4.933726666666667,3.6324,2.3684,0.3242,COMPLETE
4,6.879293333333333,2026-08-26 22:17:22.195399,2026-08-26 22:17:23.349697,0 days 00:00:01.154298,0.97902831387424,32,0.000471705203762518,0.001149299930022141,25.2895,0.529,6.879293333333333,4.12,3.981,0.3662,COMPLETE
5,5.953126666666667,2026-08-26 22:17:23.349740,2026-08-26 22:17:24.733898,0 days 00:00:01.384158,0.9973159696206534,128,0.0007896186801026692,0.011265466963346026,25.1979,0.5198,5.953126666666667,3.8283,3.3068,0.3141,COMPLETE
6,9.627673333333334,2026-08-26 22:17:24.733940,2026-08-26 22:17:25.824683,0 days 00:00:01.090743,0.9559798735073941,64,0.00028180680291847244,0.004407984038169242,24.8454,0.4845,9.627673333333334,4.0162,6.8186,0.352,COMPLETE
7,4.532426666666667,2026-08-26 22:17:25.824725,2026-08-26 22:17:26.988303,0 days 00:00:01.163578,0.9652738427283811,32,0.00011240768803005555,0.004749239763680406,24.7548,0.4755,4.532426666666667,3.3905,2.129,0.3065,COMPLETE
8,5.6294933333333335,2026-08-26 22:17:26.988343,2026-08-26 22:17:28.119552,0 days 00:00:01.131209,0.9960354481366452,64,0.000642033033629786,0.014594768942966836,24.5213,0.4521,5.6294933333333335,3.6016,3.1183,0.31,COMPLETE
9,7.67721,2026-08-26 22:17:28.119595,2026-08-26 22:17:29.246559,0 days 00:00:01.126964,0.9522161371566163,32,0.0007641361869233315,0.0026501137707458976,24.778,0.4778,7.67721,3.9838,4.9077,0.341,COMPLETE
10,6.000236666666666,2026-08-26 22:17:29.246599,2026-08-26 22:17:30.591023,0 days 00:00:01.344424,0.9811129145825295,128,0.0001072263591388851,0.007470349629741677,25.1791,0.5179,6.000236666666666,3.9016,3.2263,0.3598,COMPLETE
11,6.472273333333334,2026-08-26 22:17:30.591063,2026-08-26 22:17:31.698662,0 days 00:00:01.107599,0.9683791778511027,64,0.00019571866153639207,0.0031212728273810253,25.1388,0.5139,6.472273333333334,3.7794,3.8405,0.3196,COMPLETE
12,5.965236666666667,2026-08-26 22:17:31.698704,2026-08-26 22:17:32.899876,0 days 00:00:01.201172,0.9693303893432242,64,0.002504825725650333,0.002177050845639529,23.8658,0.3866,5.965236666666667,3.832,3.2225,0.3747,COMPLETE
13,5.25939,2026-08-26 22:17:32.899919,2026-08-26 22:17:34.039758,0 days 00:00:01.139839,0.962061925395564,64,0.0001924001519493744,0.005856329817646933,25.1471,0.5147,5.25939,3.9419,2.4885,0.3485,COMPLETE
14,7.083533333333333,2026-08-26 22:17:34.039811,2026-08-26 22:17:35.402174,0 days 00:00:01.362363,0.976381496758792,128,0.0010851274658006812,0.008389822852950259,24.4352,0.4435,7.083533333333333,4.1159,4.1387,0.3991,COMPLETE
