number,value,datetime_start,datetime_complete,duration,params_gamma,params_hidden_dim,params_lr,params_noise_clip,params_policy_freq,params_policy_noise,params_tau,user_attrs_avg_power_dbm,user_attrs_avg_power_norm,user_attrs_composite_score,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_outage_rate,state
0,19.596116666666664,2026-08-26 22:17:35.407396,2026-08-26 22:17:35.772481,0 days 00:00:00.365085,0.9576449133816793,32,0.0003574712922600243,0.45985284373248053,3,0.1116167224336399,0.001595708469414836,24.7916,0.4792,19.596116666666664,7.3298,14.1409,0.8472,COMPLETE
1,18.769213333333337,2026-08-26 22:17:35.772525,2026-08-26 22:17:36.148757,0 days 00:00:00.376232,0.9589868209828182,32,0.002708160864249967,0.3295835055926347,3,0.20495128632644755,0.002487873441981443,24.8941,0.4894,18.769213333333337,7.5073,13.2575,0.8301,COMPLETE
2,19.036073333333334,2026-08-26 22:17:36.148810,2026-08-26 22:17:36.708568,0 days 00:00:00.559758,0.9597840153257596,128,0.00027010527749605503,0.21393512381599933,2,0.21848291377240847,0.004666963767236925,25.0302,0.503,19.036073333333334,7.913,13.2339,0.8725,COMPLETE
3,20.057103333333334,2026-08-26 22:17:36.708611,2026-08-26 22:17:37.069593,0 days 00:00:00.360982,0.9547859335863128,32,0.00252126790477792,0.23661147045343367,4,0.18803049874792027,0.007766184280392887,24.9677,0.4968,20.057103333333334,7.6689,14.4168,0.8533,COMPLETE
4,19.081746666666664,2026-08-26 22:17:37.069635,2026-08-26 22:17:37.475170,0 days 00:00:00.405535,0.9767888036878207,32,0.00024112898115291975,0.43253984700833437,2,0.2939169255529117,0.0017398074711291722,25.044,0.5044,19.081746666666664,7.7724,13.3574,0.8686,COMPLETE
5,18.972403333333336,2026-08-26 22:17:37.475214,2026-08-26 22:17:37.881431,0 days 00:00:00.406217,0.9659411862073999,64,0.002299958642814372,0.4486212527455788,4,0.1542698063547792,0.003203913722293046,24.9343,0.4934,18.972403333333336,7.8314,13.2071,0.8755,COMPLETE
6,19.301869999999997,2026-08-26 22:17:37.881474,2026-08-26 22:17:38.352259,0 days 00:00:00.470785,0.9878399936955362,128,0.00016149614799999194,0.44463842853645025,4,0.10110442342472048,0.0018135730867783408,24.9497,0.4949,19.301869999999997,7.8102,13.5425,0.8777,COMPLETE
7,19.212096666666667,2026-08-26 22:17:38.352301,2026-08-26 22:17:38.855711,0 days 00:00:00.503410,0.9805416082145503,128,0.00012863908101989929,0.29329469651469864,3,0.11271167005720473,0.002694686557241768,24.8991,0.4899,19.212096666666667,7.7235,13.5084,0.872,COMPLETE
8,17.9654,2026-08-26 22:17:38.855756,2026-08-26 22:17:39.418287,0 days 00:00:00.562531,0.9872784673822279,128,0.002044187835249379,0.34813867890931727,2,0.25419343599091215,0.005373267600451111,24.9413,0.4942,17.9654,7.2692,12.5828,0.8246,COMPLETE
9,19.34858666666667,2026-08-26 22:17:39.418329,2026-08-26 22:17:39.868510,0 days 00:00:00.450181,0.9749199638670704,64,0.00014433402406338895,0.3231148769106889,2,0.14985844582977498,0.015162513677579235,24.9829,0.4983,19.34858666666667,7.9137,13.5368,0.8777,COMPLETE
10,20.504543333333334,2026-08-26 22:17:39.868555,2026-08-26 22:17:40.484537,0 days 00:00:00.615982,0.9975073184286054,128,0.0009721653170599882,0.381941068166363,2,0.2713259869687919,0.007689964534617606,24.7829,0.4783,20.504543333333334,7.5318,14.9587,0.8422,COMPLETE
11,17.987319999999997,2026-08-26 22:17:40.484578,2026-08-26 22:17:40.869856,0 days 00:00:00.385278,0.9889121967089721,32,0.0009771311535979508,0.3679327647754569,3,0.23943117966801888,0.005076950019227846,25.1362,0.5136,17.987319999999997,7.3537,12.5342,0.8368,COMPLETE
12,18.974976666666667,2026-08-26 22:17:40.869899,2026-08-26 22:17:41.235528,0 days 00:00:00.365629,0.9898848100731095,32,0.0010381678266986377,0.3791192672205832,3,0.25126590330896886,0.005885700493084508,24.8465,0.4846,18.974976666666667,7.639,13.3663,0.8461,COMPLETE
13,19.200393333333334,2026-08-26 22:17:41.235571,2026-08-26 22:17:41.791220,0 days 00:00:00.555649,0.9861544036331213,128,0.0010435882230584717,0.27676707166860576,2,0.2494019962527111,0.013328641201659629,24.8696,0.487,19.200393333333334,7.3308,13.7549,0.8414,COMPLETE
14,18.709106666666667,2026-08-26 22:17:41.791261,2026-08-26 22:17:42.201994,0 days 00:00:00.410733,0.998968759493436,64,0.0015334812434316103,0.3837806855037135,3,0.2346759879151739,0.009030083068201121,24.7918,0.4792,18.709106666666667,7.7908,12.985,0.8664,COMPLETE
