number,value,datetime_start,datetime_complete,duration,params_epsilon_decay,params_epsilon_initial,params_gamma,params_hidden_dim,params_lr_actor,params_lr_critic,params_tau,user_attrs_avg_power_dbm,user_attrs_avg_power_norm,user_attrs_composite_score,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_outage_rate,state
0,13.33204,2026-08-26 22:18:11.574425,2026-08-26 22:18:12.065175,0 days 00:00:00.490750,0.9954100351056889,0.3598528437324806,0.9576437314964739,32,0.0003574712922600243,0.0025369990766817706,0.0011900590783184247,24.9323,0.4932,13.33204,6.2467,8.7665,0.6718,COMPLETE
1,16.20550666666667,2026-08-26 22:18:12.065220,2026-08-26 22:18:12.554578,0 days 00:00:00.489358,0.9947228078846901,0.19127267288786132,0.9589094233931479,32,0.0011114989443094978,0.00010725209743172001,0.0017322667470546255,25.2505,0.525,16.20550666666667,6.4549,11.4888,0.6921,COMPLETE
2,13.220146666666666,2026-08-26 22:18:12.554621,2026-08-26 22:18:13.035792,0 days 00:00:00.481171,0.9917970640394252,0.33555278841790415,0.9679517303213908,32,0.0004345454109729479,0.0002692655251486473,0.003920673972242136,25.1372,0.5137,13.220146666666666,6.0838,8.776,0.6498,COMPLETE
3,14.671113333333333,2026-08-26 22:18:13.035837,2026-08-26 22:18:13.538050,0 days 00:00:00.502213,0.9972755761330482,0.3896896099223679,0.9531875280562787,64,0.0005748924681991981,0.000750011895041699,0.017160445029754806,24.8808,0.4881,14.671113333333333,6.0631,10.2308,0.6556,COMPLETE
4,16.851343333333336,2026-08-26 22:18:13.538095,2026-08-26 22:18:14.021747,0 days 00:00:00.483652,0.9923290198344001,0.37279612062363465,0.9742636685954522,32,0.00028180680291847244,0.00013940346079873228,0.0011085122517311705,25.0145,0.5015,16.851343333333336,7.1378,11.6377,0.7722,COMPLETE
5,15.89741,2026-08-26 22:18:14.021798,2026-08-26 22:18:14.494290,0 days 00:00:00.472492,0.9980534461538488,0.38184968246925677,0.9975096467604634,64,0.0009519754482692679,0.00028869220380495745,0.010196967939171487,25.1664,0.5166,15.89741,7.0968,10.7869,0.7294,COMPLETE
6,18.026913333333336,2026-08-26 22:18:14.494335,2026-08-26 22:18:14.983314,0 days 00:00:00.488979,0.9974586375823674,0.1814047095321688,0.9659411862073999,64,0.0007641361869233315,0.002299958642814372,0.003203913722293046,25.0573,0.5057,18.026913333333336,7.3463,12.6637,0.7944,COMPLETE
7,14.13991,2026-08-26 22:18:14.983356,2026-08-26 22:18:15.581951,0 days 00:00:00.598595,0.9917884411338076,0.33167343078899725,0.9536529815403088,128,0.0003364867144187955,0.00026000059117302663,0.01922956707454338,24.9298,0.493,14.13991,6.739,9.2718,0.7,COMPLETE
8,13.804183333333333,2026-08-26 22:18:15.581992,2026-08-26 22:18:16.175461,0 days 00:00:00.593469,0.9977679308328803,0.13476071785753893,0.9536281879349704,128,0.0001018959297939515,0.0016015312171361203,0.002926676128549072,25.0067,0.5007,13.804183333333333,7.226,8.4861,0.8025,COMPLETE
9,15.558019999999999,2026-08-26 22:18:16.175503,2026-08-26 22:18:16.796727,0 days 00:00:00.621224,0.9942499343264576,0.36616382277289805,0.9857507027385651,128,0.0008330803890301997,0.0003081601704446808,0.006752761235642017,25.1162,0.5116,15.558019999999999,6.9155,10.6075,0.6952,COMPLETE
10,15.178186666666667,2026-08-26 22:18:16.796774,2026-08-26 22:18:17.261490,0 days 00:00:00.464716,0.9901403531969261,0.2748988571645951,0.9733522552507284,32,0.002489323150846179,0.00068190748097716,0.005443517167518555,25.376,0.5376,15.178186666666667,6.5495,10.3822,0.7069,COMPLETE
11,12.736509999999997,2026-08-26 22:18:17.261534,2026-08-26 22:18:17.735929,0 days 00:00:00.474395,0.9948206183763194,0.2813263269554531,0.9646437267119911,32,0.00023010386139275647,0.0012587933563680417,0.0010243796165030018,24.9165,0.4916,12.736509999999997,7.0892,7.6032,0.7452,COMPLETE
12,16.37830333333333,2026-08-26 22:18:17.735973,2026-08-26 22:18:18.218007,0 days 00:00:00.482034,0.9928806167749076,0.29019866049315307,0.9664514154073877,32,0.0001618475654623516,0.0011366520772411832,0.0022251710164119176,25.1629,0.5163,16.37830333333333,6.8552,11.3398,0.7538,COMPLETE
13,17.323690000000003,2026-08-26 22:18:18.218051,2026-08-26 22:18:18.709114,0 days 00:00:00.491063,0.9958763677503688,0.3132661306435353,0.9843569671742942,32,0.00020966425326210942,0.00041137942676334967,0.009549211889362927,25.0085,0.5009,17.323690000000003,6.752,12.3288,0.7593,COMPLETE
14,15.235689999999998,2026-08-26 22:18:18.709158,2026-08-26 22:18:19.185603,0 days 00:00:00.476445,0.9904812784951905,0.22944976851603022,0.9660058395197552,32,0.000441952945772296,0.0010476637438495678,0.00354383409030979,25.1069,0.5107,15.235689999999998,6.4686,10.4383,0.7305,COMPLETE
