Episode,Vanilla DQN,DQN+MoE,REMO-DQN
1,-82.40446494325242,-91.82127360707787,-53.384974198252905
11,-109.70884420030649,-68.40263524901286,-47.54674831789578
21,-118.25246211415907,-71.1355405913968,-32.55463058675008
31,-93.53962998414113,-64.54742504038373,-29.006711611279616
41,-98.80201159476368,-77.97250182800241,-19.88103277570191
51,-84.17999592619643,-64.13384873639268,-11.643503460423737
61,-85.57098214836527,-80.07585281609059,-7.804763104013135
71,-89.3187644160101,-83.25323199562098,-6.803133445602251
81,-88.28724255085336,-56.5940936464958,0.38808136520150616
91,-96.96534252933364,-44.576714512085914,2.9884862122950135
101,-83.25700363829948,-50.69337739806681,7.349298298138931
111,-69.89115666372105,-51.555528391798376,14.917606307742478
121,-96.33843495273457,-50.55155979162204,15.591954354689069
131,-80.46670509755732,-55.91244886749556,15.456235754676667
141,-63.48125362685438,-46.57003741523925,23.219270174396613
151,-70.1690248850859,-38.05193950747075,28.57776434435719
161,-56.82319198800448,-44.58978299914542,37.50100650959231
171,-83.72356037945328,-30.75061970117894,34.734708988044794
181,-101.41998192492927,-34.364578321902776,40.854489507635
191,-69.72625239763238,-31.27008009380734,41.77325361516699
201,-66.09524640985872,-23.715319691667588,48.77252021100885
211,-49.82512945882246,-36.07695308977374,51.24242506046224
221,-51.366465420213586,-22.467302616669446,53.846892979422606
231,-59.99390927527184,-31.22075080730272,47.53941887623594
241,-55.43952443164053,-22.297813635233588,55.66637221474804
251,-68.6916029651297,-30.528707055959806,59.51543856669782
261,-83.01318587759172,-31.59611331306984,60.46873543092801
271,-61.89081405314634,-20.027566864884438,63.21769480969163
281,-47.86587877268338,-38.293447448445846,63.36999454491748
291,-51.72430662900028,-20.93650680950218,62.755592794647725
301,-48.04495163417612,-32.60622340912622,61.60611377024882
311,-65.9675594789067,-7.3540748624780115,66.38488431790888
321,-62.550131584755725,-3.2837394017762396,77.90089638438036
331,-50.34752050201846,-21.096405013521768,69.8792381159083
341,-64.84448761622252,-6.878597876643374,66.85597139542264
351,-63.44634223021243,-0.9071828117119107,76.2618617384298
361,-50.3200376392346,0.3581516174193702,77.8952115394747
371,-42.4706047744102,-5.320451099003732,80.3940317692132
381,-55.986478931697974,1.0500013410084437,79.08953911779928
391,-69.56548442853936,-11.643379170047433,81.30213303928076
401,-62.293272377397074,-3.2040822915547866,85.3216070502001
411,-47.353941684086074,-7.61910541362085,78.54965418718388
421,-46.70302063573318,-9.225559423827617,78.89159674336679
431,-45.13784654921397,-0.4928352749019833,79.3307617894094
441,-40.13111653855307,3.6305103202214726,82.66511244484528
451,-47.07083470720735,12.77406569347066,88.56923569903248
461,-42.40269934634848,4.750015338414871,86.62038500519591
471,-46.287372520996925,9.4535577702878,87.23204987793417
481,-27.627068379238942,10.479771712839717,81.00225187253817
491,-22.631501463149604,31.71243686084703,85.04096020211571
501,-61.22261737899961,-12.395055566712553,82.24168740361988
511,-46.4990958346342,-0.32733026381968067,91.85990255786928
521,-41.47417102991638,22.118402784400086,93.67146889902382
531,-45.27513800811977,4.6631554554226256,91.79387438193689
541,-13.695421930790303,17.82687504256822,87.00909328579229
551,-36.559050157915706,12.035100883914804,94.9047145305316
561,-51.339163958907,31.534275031421753,90.16421959403732
571,-29.663064098999975,0.08050256776256148,87.72324898960849
581,-33.90691891368194,24.13985414975994,88.89446864594139
591,-32.78102890036476,30.11091370483792,90.89773100682964
601,-9.608539560954032,3.147047454427504,92.71792241218753
611,-30.857865648147065,21.779380389112852,92.44755924949544
621,-40.0775609506051,4.9388581479441775,89.03831696159689
631,-64.26464692305689,15.522734106234475,97.24418907865898
641,-36.8390527668094,13.26703184607702,93.46434699600867
651,-14.200629829563479,-7.597940651320645,92.07161533168195
661,-34.59921285562224,21.2538965764771,97.82602531049031
671,-66.28315324769154,19.01253241000199,91.21337591198704
681,-39.61764801632583,32.92350345567669,90.13230643697784
691,-16.720620012224344,24.78405549002936,99.07936668638261
701,-22.90120746214019,42.10803309881099,101.16714754702505
711,-43.1728313975322,20.783191412337498,94.32650570660363
721,-38.548535611186566,19.158360624393573,95.78397325429057
731,-35.7328926337378,18.858621084227256,92.68078123396243
741,-39.024182814729116,16.782765167109595,96.32644504558444
751,-59.047876672871304,-0.434156155382702,95.06281661742477
761,-16.676139964906582,19.894633967449792,96.35473510498642
771,-8.809159012860952,1.8600699820985334,98.05173466627424
781,-49.98452932798469,27.490073768608028,93.68442039221415
791,-8.100295880864127,10.989616007656146,96.04076569985577
801,-27.861165566561105,14.856989657227912,91.85501234586387
811,-7.503870117560368,17.50618556562231,96.33471612014021
821,-24.88382588309726,22.54103342702306,97.2461949614947
831,-22.999211096790155,25.039531134006236,98.33407860574007
841,-19.032111425995893,36.1867154859319,98.48061171072943
851,-36.06271582626544,19.92852801333451,100.5828046403739
861,-5.891424236548378,30.8582640315555,93.35586761090968
871,-40.23867589360056,53.709733770268,93.61480297252236
881,-29.06190255246396,30.510327455080905,99.75445784695104
891,-14.786263902999345,25.25939160856258,92.1400681877891
901,-29.913787235190547,19.59215680886934,98.89186210828608
911,-10.244702457689927,25.75185608935624,94.88194614641337
921,-0.9075765192148637,19.136775404531257,103.21818862204573
931,-6.001262167077213,30.98189937563784,99.3242702368888
941,-49.88095104916465,29.619716935541067,97.9850448081754
951,-18.607074767389378,7.243938580921061,102.39188092742606
961,-4.725791244964995,28.95544694269581,95.58148882813104
971,-39.57411322841301,40.170599125399775,96.21137109473986
981,-8.641078321485127,25.679506840852817,95.10421903659747
991,-9.1610974781682,23.396690807247477,96.34767027900824
