Distance,Fixed 10Hz,ReactDCC,AdaptDCC,TinyMLP,Q-Learning,SARSA,Actor-Critic,Vanilla DQN,PPO,DDPG,Double DQN,TD3,Decision Transformer,SAC,MAPPO,REMO-DQN
50,78.24596019026266,80.00166592030713,74.5682425447106,68.91709593317772,85.959657750274,66.7681815977706,85.27453983743594,71.3142930773801,80.79931753227488,66.14619762767221,87.00255064699071,88.00359843231904,69.7719849090359,66.39550668519061,61.80029101902008,90.19306559762776
100,66.28747441421973,79.82976606187891,62.85009568239185,70.88822360162771,81.59130148499064,54.1255859777026,71.30231747149479,67.2626784726795,70.47841520176966,58.68512788839469,72.75989296639891,80.24412905628867,57.32144022565894,59.15827676174955,57.68930718503227,93.13510444020986
150,56.8908702804822,67.41233556342391,56.29386581637916,53.513886957587495,76.74755378501797,46.678254495339175,65.46900270678466,56.55619096530068,62.49471108253934,48.9970472633552,64.6419166627753,73.67537982784059,46.79504323349804,50.056524633909824,44.414133861440476,86.53844687699079
200,52.75865654879223,63.64759880637711,45.43495713602209,47.927604718982636,71.29130153316035,42.31508115448087,60.78935751921776,51.50222116358034,53.59017497501327,39.04464966463114,54.57956247062078,67.6805960543372,39.446490024259454,42.32492090546766,37.702075931027764,87.39996043589589
250,39.35054287580256,57.538301498054224,35.09559267263182,34.0766316201565,65.9744339752889,36.717814049256134,49.225720483347324,41.83122537870906,46.645051840192956,31.364253794317065,44.471489183263586,59.372386521918905,28.60109674213404,35.26288260687033,28.984690751378263,81.29729036585805
300,33.23746353246778,53.56380329666393,27.582710899592893,28.670559770028856,59.48300654809367,24.29790810560167,42.890784889186584,37.03223113320337,35.802612343004064,24.572079283072213,34.205327424228265,50.28459081215149,22.90316377646844,25.930936427738583,18.099397199448365,82.33716923039083
350,26.24965639587951,48.331907316380644,16.789067585803185,17.686054267795413,57.41353270568495,18.51552487116013,40.23282431238186,32.564123364917016,28.747592427205714,16.132669081428183,19.615658058571555,42.33246566804922,10.12127652570042,20.38810349238503,10.312625799829506,79.1132862334455
400,15.23087247678065,41.801652258458226,10.792388042658937,4.724886428295082,50.612974732068835,7.5423246447904235,28.67525227950557,26.875570217083943,15.212698064391716,9.903470169631829,13.659321563264545,35.54175848994719,2.362790228805169,13.468320958148215,4.340522883759945,74.54313615786728
450,9.097442223536364,39.331466843358875,2.812492294877022,0.8995468155450406,45.4056459045646,0.3062507647818178,23.558475719135714,20.00581460649112,4.477355789216947,0.0,7.006477051267569,27.472263800739466,0.0,0.9915121781750396,0.0,71.03144805742116
500,0.0,32.81544360117203,0.0,0.0,42.11221390566075,0.0,14.461036550755274,8.336593015370703,0.921784398516051,0.0,0.0,22.969198931827243,0.0,0.0,0.0,68.69393884908389
