method,n_vehicles,seed,runtime_sec,n_cam_events,CBR_mean,AoI_mean,PDR_mean,energy_efficiency,ETSI_compliance,timestamp
Fixed10Hz,42,42,0.39,2005,0.0075,332.872,93.96,28.0278,100.0,1785735355.736547
Fixed10Hz,10,42,0.4,2005,0.0075,332.872,100.0,28.0278,100.0,1785735355.7455745
Fixed10Hz,34,42,0.4,2005,0.0075,332.872,97.78,28.0278,100.0,1785735355.746655
Fixed10Hz,22,42,0.4,2005,0.0075,332.872,99.63,28.0278,100.0,1785735355.7504778
Fixed10Hz,46,42,0.4,2005,0.0075,332.872,92.91,28.0278,100.0,1785735355.7532437
Fixed10Hz,36,42,0.4,2005,0.0075,332.872,97.17,28.0278,100.0,1785735355.7542748
Fixed10Hz,26,42,0.41,2005,0.0075,332.872,100.0,28.0278,100.0,1785735355.7574675
Fixed10Hz,48,42,0.41,2005,0.0075,332.872,91.52,28.0278,100.0,1785735355.7647288
Fixed10Hz,12,42,0.42,2005,0.0075,332.872,99.35,28.0278,100.0,1785735355.766541
Fixed10Hz,20,42,0.42,2005,0.0075,332.872,99.49,28.0278,100.0,1785735355.7702153
Fixed10Hz,14,42,0.42,2005,0.0075,332.872,100.0,28.0278,100.0,1785735355.7714205
Fixed10Hz,40,42,0.42,2005,0.0075,332.872,94.83,28.0278,100.0,1785735355.7719886
Fixed10Hz,18,42,0.42,2005,0.0075,332.872,99.91,28.0278,100.0,1785735355.7728724
Fixed10Hz,44,42,0.43,2005,0.0075,332.872,93.78,28.0278,100.0,1785735355.7767556
Fixed10Hz,32,42,0.43,2005,0.0075,332.872,98.05,28.0278,100.0,1785735355.7840242
Fixed10Hz,28,42,0.44,2005,0.0075,332.872,100.0,28.0278,100.0,1785735355.7866085
Fixed10Hz,30,42,0.45,2005,0.0075,332.872,100.0,28.0278,100.0,1785735355.7994745
Fixed10Hz,16,42,0.46,2005,0.0075,332.872,99.66,28.0278,100.0,1785735355.804222
Fixed10Hz,38,42,0.46,2005,0.0075,332.872,94.92,28.0278,100.0,1785735355.8053112
Fixed10Hz,24,42,0.47,2005,0.0075,332.872,100.0,28.0278,100.0,1785735355.8185017
Fixed10Hz,37,42,0.38,2005,0.0075,332.872,96.88,28.0278,100.0,1785735356.1334603
Fixed10Hz,43,42,0.41,2005,0.0075,332.872,93.74,28.0278,100.0,1785735356.14463
Fixed10Hz,21,42,0.38,2005,0.0075,332.872,100.0,28.0278,100.0,1785735356.155467
Fixed10Hz,35,42,0.41,2005,0.0075,332.872,97.35,28.0278,100.0,1785735356.1587193
Fixed10Hz,11,42,0.41,2005,0.0075,332.872,99.68,28.0278,100.0,1785735356.1590352
Fixed10Hz,49,42,0.41,2005,0.0075,332.872,90.9,28.0278,100.0,1785735356.1780229
Fixed10Hz,23,42,0.43,2005,0.0075,332.872,100.0,28.0278,100.0,1785735356.1840534
Fixed10Hz,13,42,0.42,2005,0.0075,332.872,100.0,28.0278,100.0,1785735356.1840534
Fixed10Hz,41,42,0.42,2005,0.0075,332.872,94.43,28.0278,100.0,1785735356.1931715
