model,neighbour_cap,accepts_neighbour_cap,device,state_dim,n_calls,mean_ms,p50_ms,p99_ms,max_ms,p99_over_step_budget
HOORL,16,1,cuda:0,21,600,0.5946,0.5922,0.6464,0.7974,0.00646
HOORL,32,1,cuda:0,21,600,0.5966,0.5851,0.7142,1.9503,0.00714
HOORL,64,1,cuda:0,21,600,0.5998,0.5811,1.3332,1.8538,0.01333
I-HAMAPPO,16,1,cuda:0,21,600,1.2457,1.2266,1.5617,2.9137,0.01562
I-HAMAPPO,32,1,cuda:0,21,600,1.2488,1.2377,1.326,1.4818,0.01326
I-HAMAPPO,64,1,cuda:0,21,600,1.2504,1.2368,1.3302,1.9887,0.0133
MA2HDQN,16,1,cuda:0,21,600,0.6063,0.5968,0.6628,2.3765,0.00663
MA2HDQN,32,1,cuda:0,21,600,0.6046,0.5897,0.7492,1.9714,0.00749
MA2HDQN,64,1,cuda:0,21,600,0.5999,0.5971,0.6394,0.7429,0.00639
MADDPG-MT,16,1,cuda:0,21,600,0.349,0.3454,0.3985,0.4931,0.00399
MADDPG-MT,32,1,cuda:0,21,600,0.3483,0.3479,0.3739,0.3977,0.00374
MADDPG-MT,64,1,cuda:0,21,600,0.3451,0.3436,0.391,0.424,0.00391
PPO,16,1,cuda:0,21,600,0.7532,0.7457,0.7934,2.1788,0.00793
PPO,32,1,cuda:0,21,600,0.7513,0.7464,0.7933,0.9994,0.00793
PPO,64,1,cuda:0,21,600,0.7621,0.753,0.8511,1.0464,0.00851
RES-MAPDDPG,16,1,cuda:0,21,600,0.8998,0.8927,0.9424,0.9716,0.00942
RES-MAPDDPG,32,1,cuda:0,21,600,0.8992,0.8915,0.9407,1.2104,0.00941
RES-MAPDDPG,64,1,cuda:0,21,600,0.8994,0.8913,0.9451,0.9693,0.00945
SAC,16,1,cuda:0,21,600,0.9308,0.9215,0.9686,1.0692,0.00969
SAC,32,1,cuda:0,21,600,0.9278,0.9193,0.9684,1.2262,0.00968
SAC,64,1,cuda:0,21,600,0.9284,0.9183,0.9722,1.0038,0.00972
SPAM-D3QN,16,1,cuda:0,21,600,0.4186,0.4179,0.4483,0.4758,0.00448
SPAM-D3QN,32,1,cuda:0,21,600,0.4224,0.422,0.4531,0.4857,0.00453
SPAM-D3QN,64,1,cuda:0,21,600,0.42,0.4197,0.4498,0.476,0.0045
TD3,16,1,cuda:0,21,600,0.621,0.6162,0.6662,0.6856,0.00666
TD3,32,1,cuda:0,21,600,0.6189,0.6154,0.6513,0.6924,0.00651
TD3,64,1,cuda:0,21,600,0.618,0.6145,0.6514,0.6742,0.00651
