model,cap,placement,repeat,seed,state_dim,steps,training_steps,throughput_steps_per_sec,mean_ms,p50_ms,p95_ms,p99_ms
I-HAMAPPO,16,isolated,0,42,21,600,195,22.15,2.5763,2.1841,3.3936,5.9878
I-HAMAPPO,16,isolated,1,43,21,600,228,21.65,2.312,2.1886,3.4031,4.9589
I-HAMAPPO,16,isolated,2,44,21,600,206,21.63,2.3647,2.2578,3.4983,5.1314
I-HAMAPPO,16,shared,0,42,21,600,221,22.04,2.5359,2.4439,3.5007,4.9306
I-HAMAPPO,16,shared,1,43,21,600,228,21.65,2.5038,2.4364,3.5046,4.831
I-HAMAPPO,16,shared,2,44,21,600,204,22.0,2.5209,2.4458,3.5732,4.8406
I-HAMAPPO,192,isolated,0,42,21,600,193,22.19,2.3057,2.2183,3.2617,5.2375
I-HAMAPPO,192,isolated,1,43,21,600,216,21.52,2.2983,2.2211,3.2712,4.3178
I-HAMAPPO,192,isolated,2,44,21,600,191,21.97,2.2999,2.2159,3.2866,4.6694
I-HAMAPPO,192,shared,0,42,21,600,204,22.11,2.4976,2.4627,3.4334,4.3343
I-HAMAPPO,192,shared,1,43,21,600,213,21.52,2.5238,2.4494,3.566,4.906
I-HAMAPPO,192,shared,2,44,21,600,197,21.86,2.532,2.4968,3.4576,4.7821
