model,neighbour_cap,accepts_neighbour_cap,device,batch_size,n_updates,mean_ms,p99_ms,error
HOORL,16,1,cuda:0,256,30,6.1678,8.6816,
HOORL,32,1,cuda:0,256,30,6.5721,9.6525,
HOORL,64,1,cuda:0,256,30,6.0979,8.0135,
I-HAMAPPO,16,1,cuda:0,256,30,5.1084,6.417,
I-HAMAPPO,32,1,cuda:0,256,30,5.1831,8.0539,
I-HAMAPPO,64,1,cuda:0,256,30,5.1769,6.9289,
MA2HDQN,16,1,cuda:0,256,30,5.6152,7.8701,
MA2HDQN,32,1,cuda:0,256,30,5.4768,6.974,
MA2HDQN,64,1,cuda:0,256,30,5.6508,8.3118,
MADDPG-MT,16,1,cuda:0,256,30,6.5139,8.6846,
MADDPG-MT,32,1,cuda:0,256,30,6.4937,7.2666,
MADDPG-MT,64,1,cuda:0,256,30,6.549,9.3694,
PPO,16,1,cuda:0,256,30,27.8224,31.3345,
PPO,32,1,cuda:0,256,30,27.8481,32.3351,
PPO,64,1,cuda:0,256,30,27.5795,31.1715,
RES-MAPDDPG,16,1,cuda:0,256,30,7.1695,9.6955,
RES-MAPDDPG,32,1,cuda:0,256,30,6.8573,7.3056,
RES-MAPDDPG,64,1,cuda:0,256,30,6.9673,9.2029,
SAC,16,1,cuda:0,256,30,6.3756,8.635,
SAC,32,1,cuda:0,256,30,6.4247,8.7043,
SAC,64,1,cuda:0,256,30,6.2693,8.0084,
SPAM-D3QN,16,1,cuda:0,256,30,2.7533,3.3695,
SPAM-D3QN,32,1,cuda:0,256,30,2.7226,3.128,
SPAM-D3QN,64,1,cuda:0,256,30,2.7177,3.0567,
TD3,16,1,cuda:0,256,30,3.0948,4.4246,
TD3,32,1,cuda:0,256,30,3.1454,5.5929,
TD3,64,1,cuda:0,256,30,3.0598,4.1791,
