constant,feature,candidate,is_current,frac_clipped,frac_clipped_positive,frac_clipped_negative,frac_at_zero,mean,std,used_span,std_over_used,n_distinct
N_ACTIVE_MAX_OBS,13,168.0,0,0.09314,0.09314,0.0,0.01437,0.71857,0.25276,1.0,0.2528,158
N_ACTIVE_MAX_OBS,13,200.0,0,0.0,0.0,0.0,0.01437,0.60856,0.21861,0.97,0.2254,184
N_ACTIVE_MAX_OBS,13,220.0,0,0.0,0.0,0.0,0.01437,0.55324,0.19874,0.88182,0.2254,184
N_ACTIVE_MAX_OBS,13,250.0,1,0.0,0.0,0.0,0.01437,0.48685,0.17489,0.776,0.2254,184
N_ACTIVE_MAX_OBS,13,300.0,0,0.0,0.0,0.0,0.01437,0.40571,0.14574,0.64667,0.2254,184
N_ACTIVE_MAX_OBS,13,400.0,0,0.0,0.0,0.0,0.01437,0.30428,0.10931,0.485,0.2254,184
DIST_TO_STOPLINE_REF_M,12,300.0,0,0.23147,0.23147,0.0,0.03051,0.55219,0.3647,1.0,0.3647,66801
DIST_TO_STOPLINE_REF_M,12,600.0,0,0.22396,0.22396,0.0,0.03051,0.39177,0.35983,1.0,0.3598,63624
DIST_TO_STOPLINE_REF_M,12,900.0,1,0.0,0.0,0.0,0.03051,0.29841,0.30766,0.99997,0.3077,87877
DIST_TO_STOPLINE_REF_M,12,1200.0,0,0.0,0.0,0.0,0.03051,0.22381,0.23074,0.74998,0.3077,84901
QUEUE_MAX,15,10.0,0,0.14363,0.14363,0.0,0.26161,0.35074,0.35633,1.0,0.3563,11
QUEUE_MAX,15,20.0,0,0.03459,0.03459,0.0,0.26161,0.21128,0.26033,1.0,0.2603,21
QUEUE_MAX,15,30.0,0,0.00105,0.00105,0.0,0.26161,0.14478,0.18702,1.0,0.187,31
QUEUE_MAX,15,40.0,0,0.0,0.0,0.0,0.26161,0.1086,0.14036,0.85,0.1651,35
QUEUE_MAX,15,50.0,0,0.0,0.0,0.0,0.26161,0.08688,0.11229,0.68,0.1651,35
A_MAX,4,3.0,0,0.00625,0.0,0.00625,0.61012,0.00197,0.24667,1.86667,0.1321,95190
A_MAX,4,5.0,1,2e-05,0.0,2e-05,0.61012,2e-05,0.15363,1.52,0.1011,91098
A_MAX,4,8.0,0,2e-05,0.0,2e-05,0.61012,1e-05,0.09607,1.325,0.0725,85368
A_MAX,4,10.0,0,0.0,0.0,0.0,0.61012,0.0,0.07687,1.16,0.0663,81992
V_MAX_OBS,3,12.0,0,0.06872,0.06872,0.0,0.12304,0.4556,0.38723,1.0,0.3872,85742
V_MAX_OBS,3,15.912,0,0.0,0.0,0.0,0.12304,0.3476,0.29823,0.98921,0.3015,92268
V_MAX_OBS,3,18.0,0,0.0,0.0,0.0,0.12304,0.30728,0.26364,0.87446,0.3015,91109
V_MAX_OBS,3,22.0,0,0.0,0.0,0.0,0.12304,0.25141,0.2157,0.71547,0.3015,89173
E_REF,0,6.0,0,0.0,0.0,0.0,0.14436,0.10067,0.23876,0.99844,0.2391,43438
E_REF,0,13.26,0,0.0,0.0,0.0,0.14436,0.05508,0.16793,0.99244,0.1692,33334
E_REF,0,20.0,0,0.0,0.0,0.0,0.14436,0.03759,0.13214,0.98297,0.1344,28403
E_REF,0,30.0,0,0.0,0.0,0.0,0.14436,0.02438,0.09931,0.96249,0.1032,24007
PHASE_REMAINING_REF_S,11,45.0,0,0.0,0.0,0.0,0.03549,0.40692,0.29407,0.93111,0.3158,420
PHASE_REMAINING_REF_S,11,60.0,1,0.0,0.0,0.0,0.03549,0.30519,0.22055,0.69833,0.3158,420
PHASE_REMAINING_REF_S,11,90.0,0,0.0,0.0,0.0,0.03549,0.20346,0.14703,0.46556,0.3158,420
PHASE_REMAINING_REF_S,11,120.0,0,0.0,0.0,0.0,0.03549,0.1526,0.11028,0.34917,0.3158,420
RSU_RANGE,7,200.0,0,0.30501,0.30501,0.0,0.0,0.62604,0.34553,0.992,0.3483,65714
RSU_RANGE,7,300.0,1,0.0,0.0,0.0,0.0,0.47222,0.30089,0.99467,0.3025,98219
RSU_RANGE,7,400.0,0,0.0,0.0,0.0,0.0,0.35416,0.22567,0.746,0.3025,95720
RSU_RANGE,7,600.0,0,0.0,0.0,0.0,0.0,0.23611,0.15044,0.49733,0.3025,91584
