constant,feature,candidate,is_current,frac_clipped,mean,std,std_over_used,percentile_among_magnitude_features
N_ACTIVE_MAX_OBS,13,168.0,1,0.09314,0.71857,0.25276,0.2528,25.0
N_ACTIVE_MAX_OBS,13,200.0,0,0.0,0.60856,0.21861,0.2254,16.7
N_ACTIVE_MAX_OBS,13,220.0,0,0.0,0.55324,0.19874,0.2254,16.7
N_ACTIVE_MAX_OBS,13,250.0,0,0.0,0.48685,0.17489,0.2254,16.7
N_ACTIVE_MAX_OBS,13,300.0,0,0.0,0.40571,0.14574,0.2254,8.3
N_ACTIVE_MAX_OBS,13,400.0,0,0.0,0.30428,0.10931,0.2254,8.3
DIST_TO_STOPLINE_REF_M,12,300.0,0,0.23147,0.55219,0.3647,0.3647,58.3
DIST_TO_STOPLINE_REF_M,12,600.0,0,0.22396,0.39177,0.35983,0.3598,58.3
DIST_TO_STOPLINE_REF_M,12,900.0,1,0.0,0.29841,0.30766,0.3077,58.3
DIST_TO_STOPLINE_REF_M,12,1200.0,0,0.0,0.22381,0.23074,0.3077,25.0
QUEUE_MAX,15,10.0,0,0.14363,0.35074,0.35633,0.3563,58.3
QUEUE_MAX,15,20.0,1,0.03459,0.21128,0.26033,0.2603,41.7
QUEUE_MAX,15,30.0,0,0.00105,0.14478,0.18702,0.187,16.7
QUEUE_MAX,15,40.0,0,0.0,0.1086,0.14036,0.1651,8.3
QUEUE_MAX,15,50.0,0,0.0,0.08688,0.11229,0.1651,8.3
A_MAX,4,3.0,0,0.0,0.00197,0.24667,0.1321,25.0
A_MAX,4,5.0,1,0.0,2e-05,0.15363,0.1011,8.3
A_MAX,4,8.0,0,0.0,1e-05,0.09607,0.0725,8.3
A_MAX,4,10.0,0,0.0,0.0,0.07687,0.0663,8.3
V_MAX_OBS,3,12.0,0,0.06872,0.4556,0.38723,0.3872,66.7
V_MAX_OBS,3,15.912,0,0.0,0.3476,0.29823,0.3015,50.0
V_MAX_OBS,3,18.0,0,0.0,0.30728,0.26364,0.3015,41.7
V_MAX_OBS,3,22.0,0,0.0,0.25141,0.2157,0.3015,16.7
E_REF,0,6.0,0,0.0,0.10067,0.23876,0.2391,25.0
E_REF,0,13.26,0,0.0,0.05508,0.16793,0.1692,16.7
E_REF,0,20.0,0,0.0,0.03759,0.13214,0.1344,8.3
E_REF,0,30.0,0,0.0,0.02438,0.09931,0.1032,8.3
PHASE_REMAINING_REF_S,11,45.0,0,0.0,0.40692,0.29407,0.3158,41.7
PHASE_REMAINING_REF_S,11,60.0,1,0.0,0.30519,0.22055,0.3158,16.7
PHASE_REMAINING_REF_S,11,90.0,0,0.0,0.20346,0.14703,0.3158,8.3
PHASE_REMAINING_REF_S,11,120.0,0,0.0,0.1526,0.11028,0.3158,8.3
RSU_RANGE,7,200.0,0,0.30501,0.62604,0.34553,0.3483,58.3
RSU_RANGE,7,300.0,1,0.0,0.47222,0.30089,0.3025,58.3
RSU_RANGE,7,400.0,0,0.0,0.35416,0.22567,0.3025,25.0
RSU_RANGE,7,600.0,0,0.0,0.23611,0.15044,0.3025,8.3
