V_MAX_OBS,cell_index,density,mean_aoi,mean_update_error,road_cycle,road_seed,seed,transitions,truncated_by_per_cell_cap
15.899999999999999,0,5.0,2.6931,2.5285,0,970050,2001,1396,False
15.984,1,10.0,2.6962,2.2467,0,970100,2001,2952,False
15.972,2,15.0,2.7008,2.603,0,970150,2001,4243,False
15.947999999999999,3,20.0,2.7046,2.4993,0,970200,2001,6287,False
15.924,4,25.0,2.7259,2.2642,0,970250,2001,8231,False
15.984,5,30.0,2.7232,2.2145,0,970300,2001,9507,False
15.96,6,35.0,2.7248,2.1564,0,970350,2001,9201,False
15.935999999999998,7,5.0,2.595,2.5808,1,971050,2002,1239,False
15.972,8,10.0,2.6532,2.2879,1,971100,2002,2632,False
15.984,9,15.0,2.654,2.6209,1,971150,2002,4691,False
15.972,10,20.0,2.7105,2.3619,1,971200,2002,6270,False
15.972,11,25.0,2.726,2.4528,1,971250,2002,8768,False
15.972,12,30.0,2.7251,2.5467,1,971300,2002,9892,False
15.984,13,35.0,2.7247,2.5593,1,971350,2002,10086,False
15.972,14,5.0,2.7263,2.0658,2,972050,2003,1387,False
15.984,15,10.0,2.7195,2.9862,2,972100,2003,3189,False
15.984,16,15.0,2.7075,3.0309,2,972150,2003,4533,False
15.96,17,20.0,2.7337,2.2886,2,972200,2003,6804,False
15.972,18,25.0,2.7431,2.3108,2,972250,2003,8397,False
15.984,19,30.0,2.7207,2.2531,2,972300,2003,9657,False
15.995999999999999,20,35.0,2.7322,2.1666,2,972350,2003,8969,False
