bin,delta_lo_s,delta_hi_s,n,fraction,inside_requested_band
0,0.10000000149011612,0.1472604476090422,216,0.001683147485798443,0
1,0.1472604476090422,0.21685639106874258,166,0.0012935300122339888,0
2,0.21685639106874258,0.31934368739805363,187,0.0014571693511310595,0
3,0.31934368739805363,0.4702669364660709,170,0.001324699410119145,0
4,0.4702669364660709,0.6925171852779559,7833,0.06103747340860743,0
5,0.6925171852779559,1.019803891613596,22682,0.1767460707077791,1
6,1.019803891613596,1.5017677531465292,17806,0.1387505746857735,1
7,1.5017677531465292,2.2115098823777704,16229,0.12646203956955063,1
8,2.2115098823777704,3.256679303179405,16313,0.1271165969251389,1
9,3.256679303179405,4.7958004475900315,16711,0.13021795201471195,1
10,4.7958004475900315,7.062317100320806,16486,0.1284646733836719,1
11,7.062317100320806,10.399999618530273,13532,0.10544607304548394,0
