bin,delta_lo,delta_hi,delta_geomean,n,feat0_mean,feat0_std,feat0_median,feat0_q1,feat0_q3,feat0_p99,frac_exact_zero,frac_above_0p9,n_unique_feat0,err_m_mean,err_m_median
0,0.1,0.15027295766349497,0.12258587098988813,10,0.09939545593558533,0.2642980087085683,0.005084336311483639,2.9242270329632447e-06,0.029413646552711725,0.8141872489452363,0.1,0.0,10,0.0,0.0
1,0.15027295766349497,0.22581961804934544,0.18421341401406113,711,0.0020552738069717262,0.031834469664167434,6.781434080949111e-07,9.771974784911208e-09,5.35427807335509e-06,0.008944942709058521,0.1111111111111111,0.0,629,0.08318178064019188,0.010609952822164814
2,0.22581961804934544,0.3393458190271589,0.27682294565182874,493,0.002596211177124109,0.03910708775976396,1.8203584204457002e-06,2.864970838345471e-08,2.0813182345591486e-05,0.016053368523716912,0.09127789046653144,0.0,448,0.1410490373940462,0.017826404016545894
3,0.3393458190271589,0.5099449989595227,0.41599002792221224,581,0.007215513840577038,0.07097209201102249,5.252129994914867e-06,1.723905711514817e-07,8.586102194385603e-05,0.07555114030838338,0.09122203098106713,0.0051635111876075735,526,0.1500964518133488,0.029015359052209533
4,0.5099449989595227,0.7663094323935534,0.6251205185439069,347,0.008639480019878916,0.0765400458106597,1.1923724741791375e-05,5.096606514598534e-07,0.00021011766511946917,0.08326750367879894,0.05763688760806916,0.002881844380403458,326,0.21970931449109377,0.042559393756164354
5,0.7663094323935534,1.1515558489121325,0.9393870921773051,482,0.006943490013539523,0.06150561983565748,2.1525293050217442e-05,7.600373379545999e-07,0.0007537457859143615,0.05865526091307399,0.08091286307053942,0.002074688796680498,441,0.2920098755304498,0.055015652135821824
6,1.1515558489121325,1.730477033307229,1.4116447673239378,464,0.017164436990155827,0.09142444625748405,6.262906208576169e-05,3.6311644180386793e-06,0.003702815272845328,0.43863332897424817,0.07974137931034483,0.004310344827586207,428,0.6211208100091541,0.08406964143134132
7,1.730477033307229,2.600439019638276,2.1213203435596433,457,0.03249983558538676,0.13714370436174103,0.00022018884192220867,1.0327931704523508e-05,0.008234221488237381,0.9406838417053223,0.087527352297593,0.01312910284463895,415,0.877010360507935,0.13772103019891802
8,2.600439019638276,3.90775662704603,3.187770821784489,544,0.06265298135090133,0.16853521273874397,0.0005120021523907781,3.0308691293612355e-05,0.028151387814432383,0.9260780709981931,0.09191176470588236,0.012867647058823529,492,2.037561719333637,0.23060684779969165
9,3.90775662704603,5.8723014617533,4.790357497429451,433,0.1308965904795643,0.24815685714359761,0.0048830546438694,4.831425758311525e-05,0.12643450498580933,0.9860063076019288,0.06004618937644342,0.03695150115473441,406,4.043117696576309,0.5214299408760326
10,5.8723014617533,8.824481089493329,7.198611894042213,514,0.22105531158188102,0.31252658112913206,0.018117518164217472,0.0001934146748681087,0.4047931507229805,0.9713486033678055,0.06420233463035019,0.04669260700389105,480,7.534341781232863,1.0374582254201528
11,8.824481089493329,13.260808731637422,10.817567003893364,450,0.35754028270741073,0.3856129518604055,0.1170208565890789,0.0010978220088873059,0.7912948429584503,0.987460036277771,0.05555555555555555,0.14222222222222222,420,15.514237257327327,3.81460294144697
12,13.260808731637422,19.927409491130547,16.255877883980872,359,0.46397970193151156,0.4192413332719405,0.474674254655838,0.003329796949401498,0.9264823794364929,0.9932013964653015,0.05013927576601671,0.28133704735376047,338,30.04458381996761,10.072643937805363
13,19.927409491130547,29.945507628037884,24.428188490424017,346,0.6390019273117516,0.43135486958239866,0.9287621378898621,0.030371035914868116,0.9880581051111221,0.9981192886829376,0.06069364161849711,0.5260115606936416,324,69.94655309874098,43.22543225452043
14,29.945507628037884,45.0,36.708961348173624,180,0.7955842121975129,0.3597597668355857,0.9901997745037079,0.8509256094694138,0.996235653758049,0.9986760169267654,0.022222222222222223,0.7222222222222222,177,134.7966771589571,131.3472239349848
