bin,delta_lo,delta_hi,delta_geomean,n,feat0_mean,feat0_std,feat0_median,feat0_q1,feat0_q3,feat0_p99,frac_exact_zero,frac_above_0p9,n_unique_feat0,err_m_mean,err_m_median
0,0.1,0.15027295766349497,0.12258587098988813,0,,,,,,,,,,,
1,0.15027295766349497,0.22581961804934544,0.18421341401406113,704,0.00038420341629092703,0.0015850815562869858,6.530424343509367e-07,9.080850071896407e-09,5.079295874566014e-06,0.008765377299860124,0.11079545454545454,0.0,624,0.08400887220905742,0.010715547418499227
2,0.22581961804934544,0.3393458190271589,0.27682294565182874,489,0.0008276992158867574,0.003528971565657931,1.8203584204457002e-06,3.020077699034118e-08,2.067402056127321e-05,0.011211092397570635,0.08997955010224949,0.0,445,0.14220281275105273,0.017890495391611694
3,0.3393458190271589,0.5099449989595227,0.41599002792221224,566,0.0009018930272583068,0.004789139928804203,5.198960707275546e-06,1.743604300941115e-07,8.146712025336456e-05,0.010208417009562262,0.08833922261484099,0.0,516,0.15407427297447995,0.030234441008218482
4,0.5099449989595227,0.7663094323935534,0.6251205185439069,332,0.0017376275824682083,0.008867676628608592,1.194937658510753e-05,5.639370925791809e-07,0.00020732986740767956,0.06094078991562126,0.0572289156626506,0.0,314,0.22963594014581185,0.04583724369877018
5,0.7663094323935534,1.1515558489121325,0.9393870921773051,462,0.0022768652162929743,0.010423279990072882,2.1443594050651882e-05,7.807297635054056e-07,0.0006951131654204801,0.04956459857523429,0.07575757575757576,0.0,428,0.30465099568328313,0.06140397447478563
6,1.1515558489121325,1.730477033307229,1.4116447673239378,435,0.010795174895122954,0.05294665257640866,6.0550049965968356e-05,3.7418684541989933e-06,0.0037179935025051236,0.2404069018363947,0.07816091954022988,0.0,402,0.6625288640097644,0.1031843725823478
7,1.730477033307229,2.600439019638276,2.1213203435596433,420,0.015163555326871914,0.06237726889659484,0.00019139968935633078,1.1848362873934093e-05,0.007890904322266579,0.19032292574644105,0.09047619047619047,0.0,383,0.9542707970288721,0.1834453544655048
8,2.600439019638276,3.90775662704603,3.187770821784489,505,0.05446690840764022,0.1422274631452067,0.0005182255408726633,3.945806383853778e-05,0.027618400752544403,0.7767598390579219,0.0891089108910891,0.0019801980198019802,461,2.194917970925739,0.30193640665595467
9,3.90775662704603,5.8723014617533,4.790357497429451,397,0.11786784867756071,0.22236258912984444,0.004422241821885109,5.781134314020164e-05,0.12078744173049927,0.9128482365608221,0.06297229219143577,0.017632241813602016,373,4.40974801666887,0.8837454305987649
10,5.8723014617533,8.824481089493329,7.198611894042213,442,0.23194303135545175,0.31112152321893805,0.03452639281749725,0.0003107743614236824,0.42535486072301865,0.9675561553239822,0.05429864253393665,0.04072398190045249,419,8.761655374555863,2.5072286888949122
11,8.824481089493329,13.260808731637422,10.817567003893364,384,0.3836356428601153,0.386493638034652,0.24369913339614868,0.0022450436372309923,0.8046458512544632,0.9848235613107682,0.0390625,0.15104166666666666,370,18.180746785930463,7.526962234723385
12,13.260808731637422,19.927409491130547,16.255877883980872,294,0.5437263239413301,0.40747480704777744,0.6974673271179199,0.05720684863626957,0.9486323297023773,0.9934184449911118,0.013605442176870748,0.3401360544217687,291,36.68709384819175,20.13410975253649
13,19.927409491130547,29.945507628037884,24.428188490424017,295,0.7261326506826619,0.3865428819830758,0.9544873833656311,0.5090556442737579,0.9905491471290588,0.9981478452682495,0.03389830508474576,0.6,286,82.03900804123518,60.72431689243167
14,29.945507628037884,45.0,36.708961348173624,154,0.912066557432537,0.2092599851509843,0.9923095107078552,0.973459929227829,0.9966569989919662,0.998719796538353,0.0,0.8376623376623377,154,157.55455771826158,150.6300624870844
