road_cycle,lo_m,hi_m,count,fraction
0,0,50,7857,0.19366
0,50,100,5395,0.13298
0,100,150,4557,0.11232
0,150,200,4523,0.11148
0,200,250,4218,0.10397
0,250,300,4376,0.10786
0,300,350,0,0.0
0,350,400,0,0.0
0,400,500,0,0.0
0,500,600,315,0.00776
0,600,700,3196,0.07878
0,700,800,3098,0.07636
0,800,900,3036,0.07483
0,900,1000000000.0,0,0.0
1,0,50,8575,0.20344
1,50,100,5831,0.13834
1,100,150,4741,0.11248
1,150,200,4608,0.10933
1,200,250,4221,0.10014
1,250,300,4213,0.09995
1,300,350,0,0.0
1,350,400,0,0.0
1,400,500,0,0.0
1,500,600,311,0.00738
1,600,700,3225,0.07651
1,700,800,3156,0.07488
1,800,900,3268,0.07753
1,900,1000000000.0,0,0.0
2,0,50,7958,0.19134
2,50,100,5627,0.13529
2,100,150,4722,0.11353
2,150,200,4587,0.11029
2,200,250,4290,0.10315
2,250,300,4332,0.10416
2,300,350,0,0.0
2,350,400,0,0.0
2,400,500,0,0.0
2,500,600,337,0.0081
2,600,700,3295,0.07922
2,700,800,3209,0.07716
2,800,900,3234,0.07776
2,900,1000000000.0,0,0.0
