density,seed,cycle,road_seed,V_MAX_OBS,n_steps,mean,p50,p95,p99,p999,max
5.0,2001,0,970050,15.9,600,21.09,21.0,28.0,30.0,31.0,31.0
10.0,2001,0,970100,15.984,600,37.87,38.0,47.0,49.0,49.0,49.0
15.0,2001,0,970150,15.972,600,57.59,56.0,68.0,68.0,69.0,69.0
20.0,2001,0,970200,15.948,600,83.46,82.0,93.0,93.0,94.0,94.0
25.0,2001,0,970250,15.924,600,118.25,118.0,123.0,123.00999999999999,124.0,124.0
30.0,2001,0,970300,15.984,600,138.51,140.0,147.0,147.0,147.0,147.0
35.0,2001,0,970350,15.96,600,131.49,129.0,141.0,142.01,143.0,143.0
5.0,2001,1,971050,15.936,600,22.37,22.0,28.0,30.0,30.0,30.0
10.0,2001,1,971100,15.972,600,35.84,35.0,45.0,47.0,47.40100000000007,48.0
15.0,2001,1,971150,15.984,600,54.82,55.0,60.0,61.0,61.0,61.0
20.0,2001,1,971200,15.972,600,84.89,85.0,94.0,95.0,96.0,96.0
25.0,2001,1,971250,15.972,600,109.89,109.0,117.0,118.0,118.40100000000007,119.0
30.0,2001,1,971300,15.972,600,140.91,140.0,151.0,153.0,153.0,153.0
35.0,2001,1,971350,15.984,600,141.57,142.0,144.0,145.0,145.0,145.0
5.0,2001,2,972050,15.972,600,23.96,24.0,29.0,30.00999999999999,31.0,31.0
10.0,2001,2,972100,15.984,600,36.83,35.0,47.0,49.0,49.0,49.0
15.0,2001,2,972150,15.984,600,60.85,62.0,66.0,68.0,68.0,68.0
20.0,2001,2,972200,15.96,600,79.93,80.0,85.0,85.00999999999999,86.0,86.0
25.0,2001,2,972250,15.972,600,115.28,113.0,127.0,129.0,129.0,129.0
30.0,2001,2,972300,15.984,600,133.52,133.0,145.0,147.0,148.0,148.0
35.0,2001,2,972350,15.996,600,146.43,147.0,151.0,153.0,153.0,153.0
5.0,2001,3,973050,15.948,600,23.91,23.0,29.0,31.00999999999999,32.0,32.0
10.0,2001,3,973100,15.996,600,33.86,35.0,44.0,45.0,45.40100000000007,46.0
15.0,2001,3,973150,15.984,600,58.83,59.0,65.0,66.0,66.0,66.0
20.0,2001,3,973200,15.936,600,84.15,85.0,94.0,94.0,95.0,95.0
