density,seed,n,mean,p50,p99,p999,max_observed,frac_censored_at_cap
5.0,2001,1323,20.56,21.0,27.0,28.0,28.0,0.0
5.0,2002,1390,22.34,24.0,30.0,30.0,30.0,0.0
5.0,2003,1598,25.79,26.0,33.0,34.0,34.0,0.0
10.0,2001,2962,47.9,52.0,64.39,66.0,66.0,0.0
10.0,2002,2927,47.73,45.0,71.0,73.0,73.0,0.0
10.0,2003,3429,55.07,57.0,66.0,68.0,68.0,0.0
15.0,2001,4445,70.68,70.0,92.0,93.0,93.0,0.0
15.0,2002,5146,80.9,80.0,100.0,100.0,100.0,0.0
15.0,2003,6231,101.51,103.0,126.0,127.0,127.0,0.0
20.0,2001,6311,100.66,103.0,135.0,137.0,137.0,0.0
20.0,2002,7021,110.94,110.0,134.0,135.0,135.0,0.0
20.0,2003,8427,136.4,140.0,168.0,168.0,168.0,0.171
25.0,2001,8339,133.08,141.0,168.0,168.0,168.0,0.01571
25.0,2002,8370,133.99,136.0,166.0,167.0,168.0,0.00048
25.0,2003,8935,143.2,148.0,166.0,167.0,168.0,0.00078
30.0,2001,9444,149.59,154.0,168.0,168.0,168.0,0.01811
30.0,2002,9455,150.99,157.0,168.0,168.0,168.0,0.10312
30.0,2003,9431,148.62,150.0,160.0,161.0,162.0,0.0
35.0,2001,9299,146.56,148.0,162.0,163.0,164.0,0.0
35.0,2002,9364,148.46,150.0,168.0,168.0,168.0,0.05991
35.0,2003,9558,151.01,152.0,168.0,168.0,168.0,0.0226
