dir,seed,density,force_regenerate,N_ACTIVE_MAX_OBS,DELTA_MIN,RSU_RANGE,A_MAX,QUEUE_MAX,PHASE_REMAINING_REF_S,DELTA_MAX,V_MAX_OBS,E_REF
dir0,42,5.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.984,13.32
dir0,42,5.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.984,13.32
dir0,42,20.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.984,13.32
dir0,42,20.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.984,13.32
dir0,42,35.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.984,13.32
dir0,42,35.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.984,13.32
dir0,101,5.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.876,13.23
dir0,101,5.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.876,13.23
dir0,101,20.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.876,13.23
dir0,101,20.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.876,13.23
dir0,101,35.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.876,13.23
dir0,101,35.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.876,13.23
dir0,2001,5.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.911999999999999,13.26
dir0,2001,5.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.911999999999999,13.26
dir0,2001,20.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.911999999999999,13.26
dir0,2001,20.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.911999999999999,13.26
dir0,2001,35.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.911999999999999,13.26
dir0,2001,35.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.911999999999999,13.26
dir0,2002,5.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.995999999999999,13.33
dir0,2002,5.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.995999999999999,13.33
dir0,2002,20.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.995999999999999,13.33
dir0,2002,20.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.995999999999999,13.33
dir0,2002,35.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.995999999999999,13.33
dir0,2002,35.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.995999999999999,13.33
dir0,2003,5.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.935999999999998,13.28
dir0,2003,5.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.935999999999998,13.28
dir0,2003,20.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.935999999999998,13.28
dir0,2003,20.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.935999999999998,13.28
dir0,2003,35.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.935999999999998,13.28
dir0,2003,35.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.935999999999998,13.28
dir1,42,5.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.984,13.32
dir1,42,5.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.984,13.32
dir1,42,20.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.984,13.32
dir1,42,20.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.984,13.32
dir1,42,35.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.984,13.32
dir1,42,35.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.984,13.32
dir1,101,5.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.876,13.23
dir1,101,5.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.876,13.23
dir1,101,20.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.876,13.23
dir1,101,20.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.876,13.23
dir1,101,35.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.876,13.23
dir1,101,35.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.876,13.23
dir1,2001,5.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.911999999999999,13.26
dir1,2001,5.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.911999999999999,13.26
dir1,2001,20.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.911999999999999,13.26
dir1,2001,20.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.911999999999999,13.26
dir1,2001,35.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.911999999999999,13.26
dir1,2001,35.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.911999999999999,13.26
dir1,2002,5.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.995999999999999,13.33
dir1,2002,5.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.995999999999999,13.33
dir1,2002,20.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.995999999999999,13.33
dir1,2002,20.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.995999999999999,13.33
dir1,2002,35.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.995999999999999,13.33
dir1,2002,35.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.995999999999999,13.33
dir1,2003,5.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.935999999999998,13.28
dir1,2003,5.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.935999999999998,13.28
dir1,2003,20.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.935999999999998,13.28
dir1,2003,20.0,0,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.935999999999998,13.28
dir1,2003,35.0,1,168.0,0.1,300.0,5.0,20.0,59.99999687075631,45.0,15.935999999999998,13.28
