index,feature,meaning,nominal_low,nominal_high,n,min,p01,q1,median,q3,p99,max,mean,std,iqr,iqr_over_range,span_over_range,frac_at_low,frac_at_high,n_unique,delta_critical,sample
0,last_pred_err_norm,normalised squared dead-reckoning error at the last update,0.0,1.0,2698,0.0,0.0,2.824440592519295e-08,8.514156888850266e-06,0.00021477298651007004,0.06046690262854139,0.4260433316230774,0.0032848647117625467,0.0204351364227746,0.00021474474210414485,0.00021474474210414485,0.4260433316230774,0.34210526315789475,0.0,766,False,fixed_d20_s2001
1,vx_norm,velocity x / V_MAX_OBS,-1.0,1.0,2698,-0.727392852306366,-0.6936802804470062,8.360091608616429e-17,0.00012771117326337844,0.5842408984899521,0.8429881572723414,0.8850792050361633,0.2091715968922022,0.340962652577003,0.584240898489952,0.292120449244976,0.8062360286712646,0.0,0.0,1451,False,fixed_d20_s2001
2,vy_norm,velocity y / V_MAX_OBS,-1.0,1.0,2698,-0.8707027435302734,-0.8581598848104477,-0.564069002866745,3.407511362533419e-21,3.4693093918177466e-17,5.2408103104454044e-17,0.12686464190483093,-0.19705237005321635,0.3138178363282383,0.564069002866745,0.2820345014333725,0.4987836927175522,0.0,0.0,807,False,fixed_d20_s2001
3,speed_norm,speed / V_MAX_OBS,0.0,1.0,2698,0.0,0.0,0.0021775240311399102,0.6328991651535034,0.7322344034910202,0.8657483595609666,0.8850792050361633,0.4290873928090422,0.3364014280708902,0.7300568794598803,0.7300568794598803,0.8850792050361633,0.13232023721275019,0.0,2216,True,fixed_d20_s2001
4,accel_norm,acceleration / a_max,-1.0,1.0,2698,-0.8999999761581421,-0.5612181437015533,-0.07915947958827019,-2.4783401386230253e-05,0.042639502324163914,0.4541725179553032,0.5199999809265137,-0.01729366446082978,0.1729152244650779,0.1217989819124341,0.06089949095621705,0.7099999785423279,0.0,0.0,2268,False,fixed_d20_s2001
5,rel_x_norm,(x - x_rsu) / RSU_RANGE,-1.0,1.0,2698,-0.9998026490211487,-0.9570420962572098,-0.3359784185886383,-0.07995253428816795,-0.005333333276212215,0.9308253937959676,0.9971678853034973,-0.12508207379914185,0.3716921109540913,0.3306450853124261,0.16532254265621305,0.998485267162323,0.0,0.0,1481,False,fixed_d20_s2001
6,rel_y_norm,(y - y_rsu) / RSU_RANGE,-1.0,1.0,2698,-0.9948570132255554,-0.8974187564849854,-0.01600000075995922,-0.005333333276212215,-0.005333333276212215,0.9561042362451556,0.9992084503173828,0.03758884851687308,0.301209053661931,0.010666667483747005,0.005333333741873503,0.9970327317714691,0.0,0.0,805,False,fixed_d20_s2001
7,dist_norm,distance to RSU / RSU_RANGE,0.0,1.0,2698,0.005346063990145922,0.020797386839985846,0.17696643993258476,0.36040791869163513,0.6169971227645874,0.9969919288158416,0.99981689453125,0.41070420224702137,0.2778600488563677,0.44003068283200264,0.44003068283200264,0.9944708305411041,0.0,0.0,2286,False,fixed_d20_s2001
8,tls_red,traffic light red indicator,0.0,1.0,2698,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5737583395107487,0.4946214570515624,1.0,1.0,1.0,0.4262416604892513,0.5737583395107487,2,True,fixed_d20_s2001
9,tls_yellow,traffic light yellow indicator,0.0,1.0,2698,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.01704966641957005,0.12948045886081605,0.0,0.0,1.0,0.9829503335804299,0.01704966641957005,2,True,fixed_d20_s2001
10,tls_green,traffic light green indicator,0.0,1.0,2698,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.39140103780578206,0.4881542666917841,1.0,1.0,1.0,0.6085989621942179,0.39140103780578206,2,True,fixed_d20_s2001
11,phase_remaining_norm,time to the next signal switch / 60 s,0.0,1.0,2698,0.0,0.0016666667070239782,0.11666666716337204,0.28833332657814026,0.5483333468437195,1.0,1.0,0.32278786795867953,0.23511095701196727,0.43166667968034744,0.43166667968034744,1.0,0.004818383988139363,0.017790956263899184,304,True,fixed_d20_s2001
12,dist_to_stopline_norm,distance to the stop line / RSU_RANGE,0.0,1.0,2698,0.00047702950541861355,0.0033366666175425053,0.18249596282839775,0.4322061687707901,1.0,1.0,1.0,0.5231003483909454,0.3667883559918464,0.8175040371716022,0.8175040371716022,0.9995229704945814,0.0,0.2687175685693106,1524,True,fixed_d20_s2001
13,n_active_norm,vehicles in coverage / N_ACTIVE_MAX_OBS,0.0,1.0,2698,0.0,0.0,0.4047619104385376,0.4345238208770752,0.4583333432674408,0.4702380895614624,0.4761904776096344,0.4253349048040636,0.07287600697564106,0.0535714328289032,0.0535714328289032,0.4761904776096344,0.025203854707190512,0.0,17,False,fixed_d20_s2001
14,cbr,channel busy ratio,0.0,1.0,2698,0.0,0.0,0.010080000385642052,0.01568000018596649,0.023520000278949738,0.0761599987745285,0.0761599987745285,0.0187730763763054,0.015083126376560483,0.013439999893307686,0.013439999893307686,0.0761599987745285,0.026686434395848776,0.0,34,False,fixed_d20_s2001
15,n_queue_norm,vehicles queued ahead in lane / queue_max,0.0,1.0,2698,0.0,0.0,0.05000000074505806,0.20000000298023224,0.5,1.0,1.0,0.2985174216832648,0.28346083304676417,0.44999999925494194,0.44999999925494194,1.0,0.16048925129725722,0.021868050407709415,21,True,fixed_d20_s2001
16,heading_cos,cosine of the approach angle to the RSU,-1.0,1.0,2698,-0.999995231628418,-0.9999811685085297,-0.8712616264820099,0.9984607696533203,0.9998160600662231,0.9999845027923584,0.9999857544898987,0.36312741555326694,0.8570943859831367,1.871077686548233,0.9355388432741165,0.9999904930591583,0.00037064492216456633,0.0,1294,False,fixed_d20_s2001
