index,feature,meaning,nominal_low,nominal_high,n,min,p01,q1,median,q3,p99,max,mean,std,iqr,iqr_over_range,span_over_range,frac_at_low,frac_at_high,n_unique,delta_critical,sample
0,last_pred_err_norm,normalised squared dead-reckoning error at the last update,0.0,1.0,524,0.0,0.0,4.289050854793452e-15,3.3662656733213225e-06,0.0027777094510383904,0.9938888525962829,0.9984162449836731,0.08424441913221253,0.24558694459998898,0.0027777094510341013,0.0027777094510341013,0.9984162449836731,0.42748091603053434,0.0,228,False,varied_d20_s2001
1,vx_norm,velocity x / V_MAX_OBS,-1.0,1.0,524,-0.7266870737075806,-0.6936082708835601,8.427794356520424e-17,0.0002593915560282767,0.7245385348796844,0.86164653301239,0.8695383667945862,0.25911594598120596,0.38137837544101405,0.7245385348796843,0.36226926743984217,0.7981127202510834,0.0,0.0,299,False,varied_d20_s2001
2,vy_norm,velocity y / V_MAX_OBS,-1.0,1.0,524,-0.8706996440887451,-0.7925398129224778,-0.6784087717533112,2.6238738524646735e-21,4.4365189434945686e-17,5.276063361797699e-17,5.324386902458468e-17,-0.24292239066495966,0.329106963209908,0.6784087717533112,0.3392043858766556,0.43534982204437256,0.0,0.0,193,False,varied_d20_s2001
3,speed_norm,speed / V_MAX_OBS,0.0,1.0,524,0.0,0.0,0.33245667815208435,0.6900031268596649,0.7405066341161728,0.8639486873149872,0.8706996440887451,0.5375953565330178,0.300986816260404,0.40804995596408844,0.40804995596408844,0.8706996440887451,0.07442748091603053,0.0,482,True,varied_d20_s2001
4,accel_norm,acceleration / a_max,-1.0,1.0,524,-0.639724612236023,-0.5082346606254577,-0.08569933287799358,-0.002832690835930407,0.0467643216252327,0.4666994792222969,0.5199999809265137,-0.018040855394706134,0.16106385297365802,0.13246365450322628,0.06623182725161314,0.5798622965812683,0.0,0.0,485,False,varied_d20_s2001
5,rel_x_norm,(x - x_rsu) / RSU_RANGE,-1.0,1.0,524,-0.9998026490211487,-0.9984303319454193,-0.3409431576728821,-0.01600000075995922,-0.005333333276212215,0.9372038656473153,0.9947004318237305,-0.13541276265295754,0.4389267944426951,0.33560982439666986,0.16780491219833493,0.9972515404224396,0.0,0.0,306,False,varied_d20_s2001
6,rel_y_norm,(y - y_rsu) / RSU_RANGE,-1.0,1.0,524,-0.9921838641166687,-0.860436937212944,-0.01600000075995922,-0.005333333276212215,0.01600000075995922,0.9985020625591278,0.9992084503173828,0.07094513015036884,0.3825925041081196,0.03200000151991844,0.01600000075995922,0.9956961572170258,0.0,0.0,195,False,varied_d20_s2001
7,dist_norm,distance to RSU / RSU_RANGE,0.0,1.0,524,0.00856465008109808,0.01713346131145954,0.21373840421438217,0.4887411743402481,0.8183136433362961,0.9990077394247056,0.99981689453125,0.5079394406016973,0.3224166197382991,0.6045752391219139,0.6045752391219139,0.9912522444501519,0.0,0.0,490,False,varied_d20_s2001
8,tls_red,traffic light red indicator,0.0,1.0,524,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5992366412213741,0.4905214275173987,1.0,1.0,1.0,0.40076335877862596,0.5992366412213741,2,True,varied_d20_s2001
9,tls_yellow,traffic light yellow indicator,0.0,1.0,524,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.013358778625954198,0.11491528636096755,0.0,0.0,1.0,0.9866412213740458,0.013358778625954198,2,True,varied_d20_s2001
10,tls_green,traffic light green indicator,0.0,1.0,524,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.35877862595419846,0.48010040839668006,1.0,1.0,1.0,0.6412213740458015,0.35877862595419846,2,True,varied_d20_s2001
11,phase_remaining_norm,time to the next signal switch / 60 s,0.0,1.0,524,0.0,0.002050000049639494,0.12833333015441895,0.3216666579246521,0.44999998807907104,1.0,1.0,0.32506997333901744,0.22588544724885504,0.3216666579246521,0.3216666579246521,1.0,0.009541984732824428,0.02862595419847328,248,True,varied_d20_s2001
12,dist_to_stopline_norm,distance to the stop line / RSU_RANGE,0.0,1.0,524,0.0016249074833467603,0.00333666754886508,0.26375969499349594,0.795436441898346,1.0,1.0,1.0,0.6413303451252238,0.36909815937311524,0.7362403050065041,0.7362403050065041,0.9983750925166532,0.0,0.32251908396946566,320,True,varied_d20_s2001
13,n_active_norm,vehicles in coverage / N_ACTIVE_MAX_OBS,0.0,1.0,524,0.0,0.0,0.3988095223903656,0.4285714328289032,0.4523809552192688,0.4702380895614624,0.4761904776096344,0.37553389870938453,0.14706106258131738,0.0535714328289032,0.0535714328289032,0.4761904776096344,0.1297709923664122,0.0,17,False,varied_d20_s2001
14,cbr,channel busy ratio,0.0,1.0,524,0.0,0.0,0.001120000029914081,0.002240000059828162,0.0033599999733269215,0.00646239991299806,0.006719999946653843,0.0021416794118570975,0.001583890279650718,0.0022399999434128404,0.0022399999434128404,0.006719999946653843,0.16221374045801526,0.0,7,False,varied_d20_s2001
15,n_queue_norm,vehicles queued ahead in lane / queue_max,0.0,1.0,524,0.0,0.0,0.0,0.05000000074505806,0.25,0.6884999853372564,0.699999988079071,0.13921755818180911,0.1750256969417215,0.25,0.25,0.699999988079071,0.3988549618320611,0.0,15,True,varied_d20_s2001
16,heading_cos,cosine of the approach angle to the RSU,-1.0,1.0,524,-0.999995231628418,-0.999981701374054,-0.9987854212522507,0.9985580444335938,0.9998711943626404,0.9999857544898987,0.9999857544898987,0.31352697413784403,0.9029467527074087,1.998656615614891,0.9993283078074455,0.9999904930591583,0.0019083969465648854,0.0,354,False,varied_d20_s2001
