delta_fixed_s,n_densities,n_seeds,steps_per_episode,n_episodes,sim_seconds_per_episode,expected_transitions,expected_wall_clock_min,npz_float32_MB_uncompressed
0.5,7,3,1000,21,100.0,254701,4.6,42.8
0.5,7,3,2000,21,200.0,509401,9.2,85.6
0.5,7,3,4000,21,400.0,1018802,18.5,171.2
0.5,7,5,1000,35,100.0,424501,7.7,71.3
0.5,7,5,2000,35,200.0,849002,15.4,142.6
0.5,7,5,4000,35,400.0,1698004,30.8,285.3
1.0,7,3,1000,21,100.0,127350,4.6,21.4
1.0,7,3,2000,21,200.0,254701,9.2,42.8
1.0,7,3,4000,21,400.0,509401,18.5,85.6
1.0,7,5,1000,35,100.0,212250,7.7,35.7
1.0,7,5,2000,35,200.0,424501,15.4,71.3
1.0,7,5,4000,35,400.0,849002,30.8,142.6
2.0,7,3,1000,21,100.0,63675,4.6,10.7
2.0,7,3,2000,21,200.0,127350,9.2,21.4
2.0,7,3,4000,21,400.0,254701,18.5,42.8
2.0,7,5,1000,35,100.0,106125,7.7,17.8
2.0,7,5,2000,35,200.0,212250,15.4,35.7
2.0,7,5,4000,35,400.0,424501,30.8,71.3
5.0,7,3,1000,21,100.0,24840,4.6,4.2
5.0,7,3,2000,21,200.0,49679,9.2,8.3
5.0,7,3,4000,21,400.0,99359,18.5,16.7
5.0,7,5,1000,35,100.0,41400,7.7,7.0
5.0,7,5,2000,35,200.0,82799,15.4,13.9
5.0,7,5,4000,35,400.0,165598,30.8,27.8
