model,path,steps,n_pushed,frac_with_behaviour_logp,frac_with_action_idx,logp_column_in_batch,action_idx_column_in_batch,n_updates,n_updates_reporting_the_flag,frac_updates_with_stored_logp,batch_keys
PPO,training,300,545,1.0,0.0,True,False,11,11,1.0,action|behaviour_log_prob|delta_t|discount|done|next_state|reward|state
PPO,hpo_rollout,300,442,1.0,0.0,True,False,598,598,1.0,action|behaviour_log_prob|delta_t|discount|done|next_state|reward|state
I-HAMAPPO,training,300,893,1.0,1.0,True,True,146,146,1.0,action|action_idx|behaviour_log_prob|delta_t|discount|done|next_state|reward|state
I-HAMAPPO,hpo_rollout,300,443,1.0,1.0,True,True,584,584,1.0,action|action_idx|behaviour_log_prob|delta_t|discount|done|next_state|reward|state
TD3,training,300,1725,0.0,0.0,False,False,197,0,,action|delta_t|discount|done|next_state|reward|state
TD3,hpo_rollout,300,2052,0.0,0.0,False,False,572,0,,action|delta_t|discount|done|next_state|reward|state
SPAM-D3QN,training,300,661,0.0,1.0,False,True,57,0,,action|action_idx|delta_t|discount|done|next_state|reward|state
SPAM-D3QN,hpo_rollout,300,675,0.0,1.0,False,True,594,0,,action|action_idx|delta_t|discount|done|next_state|reward|state
CARLTON,training,300,234,0.0,1.0,False,True,25,0,,action|action_idx|delta_t|discount|done|next_state|reward|state
CARLTON,hpo_rollout,300,340,0.0,1.0,False,True,594,0,,action|action_idx|delta_t|discount|done|next_state|reward|state
