model,arm,seed,n_steps,wall_s,diverged,divergence_rule,divergence_pseudo_episode,divergence_at_env_step,n_grad_updates,mean_recent_loss,max_consecutive_nonfinite_losses,composite_score,n_update_failures,n_observations,tx_attempts,hparams,divergence_reason,gamma,effective_horizon_s,divergence_threshold,divergence_baseline_loss,divergence_pseudo_episodes_seen,mean_aoi,mean_error,packet_loss_rate,coverage_outage_rate,avg_tx_power_dbm,mean_cbr,shard
I-HAMAPPO,selected,1001,4000,341.4,False,,-1,4000,7992,0.462,0,12.6137,0,674679,8284,"{""hidden_dim"": 64, ""lr_actor"": 0.0008433020501242809, ""lr_critic"": 0.0005608338145080542, ""gamma"": 0.9986278038774985, ""clip_ratio"": 0.24947883746104182, ""entropy_coef"": 0.004483168971211849, ""value_coef"": 0.5771926186506204}",,0.9986278038774985,728.76,2085.9,2.0859,19,7.3505,8.6603,0.1099,0.2628,13.7912,0.002323,iham_s1001.csv
I-HAMAPPO,selected,1002,4000,328.7,False,,-1,4000,7994,0.2517,0,7.9791,0,548703,13056,"{""hidden_dim"": 64, ""lr_actor"": 0.0008433020501242809, ""lr_critic"": 0.0005608338145080542, ""gamma"": 0.9986278038774985, ""clip_ratio"": 0.24947883746104182, ""entropy_coef"": 0.004483168971211849, ""value_coef"": 0.5771926186506204}",,0.9986278038774985,728.76,1000.0,0.601,19,5.374,4.9462,0.1577,0.267483,11.984,0.003657,iham_s1002.csv
I-HAMAPPO,selected,1003,4000,330.5,False,,-1,4000,7994,0.2319,0,8.3348,0,579569,12620,"{""hidden_dim"": 64, ""lr_actor"": 0.0008433020501242809, ""lr_critic"": 0.0005608338145080542, ""gamma"": 0.9986278038774985, ""clip_ratio"": 0.24947883746104182, ""entropy_coef"": 0.004483168971211849, ""value_coef"": 0.5771926186506204}",,0.9986278038774985,728.76,1000.0,0.8208,19,5.3413,5.3255,0.1598,0.26928,11.2414,0.003536,iham_s1003.csv
I-HAMAPPO,gamma099,1001,4000,335.4,False,,-1,4000,7994,0.1457,0,8.8864,0,674679,9778,"{""hidden_dim"": 64, ""lr_actor"": 0.0008433020501242809, ""lr_critic"": 0.0005608338145080542, ""gamma"": 0.99, ""clip_ratio"": 0.24947883746104182, ""entropy_coef"": 0.004483168971211849, ""value_coef"": 0.5771926186506204}",,0.99,100.0,1000.0,0.9306,19,6.0706,5.568,0.1176,0.2628,13.115,0.002739,iham_s1001.csv
I-HAMAPPO,gamma099,1002,4000,321.5,False,,-1,4000,7986,0.0913,0,10.2374,0,548703,7620,"{""hidden_dim"": 64, ""lr_actor"": 0.0008433020501242809, ""lr_critic"": 0.0005608338145080542, ""gamma"": 0.99, ""clip_ratio"": 0.24947883746104182, ""entropy_coef"": 0.004483168971211849, ""value_coef"": 0.5771926186506204}",,0.99,100.0,1277.7,1.2777,19,6.0247,6.9373,0.119,0.267483,13.2337,0.002134,iham_s1002.csv
I-HAMAPPO,gamma099,1003,4000,323.7,False,,-1,4000,7990,0.1569,0,10.9451,0,579569,7458,"{""hidden_dim"": 64, ""lr_actor"": 0.0008433020501242809, ""lr_critic"": 0.0005608338145080542, ""gamma"": 0.99, ""clip_ratio"": 0.24947883746104182, ""entropy_coef"": 0.004483168971211849, ""value_coef"": 0.5771926186506204}",,0.99,100.0,1601.3,1.6013,19,6.2226,7.5908,0.0908,0.26928,13.9918,0.00209,iham_s1003.csv
I-HAMAPPO,gamma097,1001,4000,333.7,False,,-1,4000,7992,0.1606,0,8.4845,0,674679,9499,"{""hidden_dim"": 64, ""lr_actor"": 0.0008433020501242809, ""lr_critic"": 0.0005608338145080542, ""gamma"": 0.97, ""clip_ratio"": 0.24947883746104182, ""entropy_coef"": 0.004483168971211849, ""value_coef"": 0.5771926186506204}",,0.97,33.33,1000.0,0.9571,19,5.8117,5.2917,0.1242,0.2628,12.5033,0.002661,iham_s1001.csv
I-HAMAPPO,gamma097,1002,4000,316.3,False,,-1,4000,7988,0.1263,0,8.806,0,548703,8026,"{""hidden_dim"": 64, ""lr_actor"": 0.0008433020501242809, ""lr_critic"": 0.0005608338145080542, ""gamma"": 0.97, ""clip_ratio"": 0.24947883746104182, ""entropy_coef"": 0.004483168971211849, ""value_coef"": 0.5771926186506204}",,0.97,33.33,1252.5,1.2525,19,5.7458,5.6351,0.1319,0.267483,12.2247,0.002248,iham_s1002.csv
I-HAMAPPO,gamma097,1003,4000,318.4,False,,-1,4000,7992,0.0545,0,7.6204,0,579569,9039,"{""hidden_dim"": 64, ""lr_actor"": 0.0008433020501242809, ""lr_critic"": 0.0005608338145080542, ""gamma"": 0.97, ""clip_ratio"": 0.24947883746104182, ""entropy_coef"": 0.004483168971211849, ""value_coef"": 0.5771926186506204}",,0.97,33.33,1115.8,1.1158,19,5.2199,4.7245,0.1217,0.26928,12.7639,0.002532,iham_s1003.csv
PPO,selected,1001,4000,419.8,False,,-1,4000,7998,2.1392,0,40.8552,0,674679,5273,"{""hidden_dim"": 64, ""learning_rate"": 0.0010809366764261586, ""gamma"": 0.9975073184286054, ""clip_range"": 0.2361881493638004, ""ent_coef"": 0.02051249550821203, ""vf_coef"": 0.5638821363327259, ""n_epochs"": 4}",,0.9975073184286054,401.17,2819.9,2.8199,19,15.0496,32.9682,0.1538,0.2628,13.5469,0.001477,ppo_s1001.csv
