model,trial,recorded_value,penalised_trial,mean_error,mean_aoi,coverage_outage_rate,packet_loss_rate,avg_power_norm,old_score,new_score,delta
CARLTON,0,23.034679333333333,False,18.0219,8.7935,0.2621,0.096,0.4591,23.03467,22.70247,-0.3322
CARLTON,1,30.76368933333333,False,24.648,11.0214,0.2621,0.1415,0.4039,30.76368,30.52248,-0.2412
CARLTON,2,25.480382666666667,False,20.0955,9.5334,0.2621,0.0752,0.4702,25.48044,25.10664,-0.3738
CARLTON,3,24.48808933333333,False,19.4101,8.9148,0.2621,0.0815,0.4819,24.48808,24.12688,-0.3612
CARLTON,4,25.755416,False,20.6536,8.9677,0.2621,0.0972,0.4689,25.75543,25.42563,-0.3298
CARLTON,5,28.996766,False,23.0421,10.6745,0.2621,0.1103,0.4662,28.99679,28.69319,-0.3036
CARLTON,6,24.331482666666663,False,19.1097,9.2127,0.2621,0.0989,0.4564,24.33153,24.00513,-0.3264
CARLTON,7,25.95161933333333,False,20.6062,9.4647,0.2621,0.0989,0.4443,25.95161,25.62521,-0.3264
CARLTON,8,27.500376,False,21.7682,10.2608,0.2621,0.102,0.3882,27.50044,27.18024,-0.3202
CARLTON,9,24.337022666666662,False,19.0778,9.2852,0.2621,0.0967,0.4621,24.33702,24.00622,-0.3308
CARLTON,10,23.305266,False,18.1794,9.0137,0.2621,0.0903,0.4744,23.30533,22.96173,-0.3436
CARLTON,11,23.63982266666667,False,18.6434,8.7512,0.2621,0.0982,0.4829,23.63978,23.31198,-0.3278
CARLTON,12,22.030276,False,16.9257,8.983,0.2621,0.1066,0.4447,22.03034,21.71934,-0.311
CARLTON,13,23.313299333333333,False,18.1432,9.1,0.2621,0.098,0.4797,23.31334,22.98514,-0.3282
CARLTON,14,21.64271933333333,False,16.6975,8.651,0.2621,0.1024,0.4778,21.64276,21.32336,-0.3194
I-HAMAPPO,0,19.953176,False,15.2386,8.2811,0.2621,0.0953,0.249,19.95315,19.61955,-0.3336
I-HAMAPPO,1,26.987776,False,21.5234,9.787,0.2621,0.108,0.2335,26.9878,26.6796,-0.3082
I-HAMAPPO,2,25.93449933333333,False,20.5182,9.6352,0.2621,0.0856,0.3726,25.93452,25.58152,-0.353
I-HAMAPPO,3,23.402362666666665,False,18.4965,8.6662,0.2621,0.097,0.243,23.4024,23.0722,-0.3302
I-HAMAPPO,4,23.915792666666665,False,18.955,8.7797,0.2621,0.1169,0.2339,23.91583,23.62543,-0.2904
I-HAMAPPO,5,17.380479333333337,False,13.2217,7.139,0.2621,0.1123,0.3253,17.38046,17.08086,-0.2996
I-HAMAPPO,6,22.904139333333333,False,18.1254,8.3717,0.2621,0.0858,0.3436,22.90417,22.55157,-0.3526
