number,value,datetime_start,datetime_complete,duration,params_actor_lr,params_alpha,params_critic_lr,params_gamma,params_hidden_dim,params_tau,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_max_cbr,user_attrs_mean_aoi,user_attrs_mean_cbr,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_searched_hparams,user_attrs_n_update_failures,user_attrs_obj_term_aoi,user_attrs_obj_term_error,user_attrs_obj_term_loss,user_attrs_obj_term_power,user_attrs_obj_terms_sum,user_attrs_offline_pretrain_s_seed1001,user_attrs_offline_pretrain_s_seed1002,user_attrs_offline_pretrain_s_seed1003,user_attrs_offline_updates_seed1001,user_attrs_offline_updates_seed1002,user_attrs_offline_updates_seed1003,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_searched_hparam_keys,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_abandoned,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,13.186926666666666,2026-09-07 21:00:11.582918,2026-09-07 21:23:57.420355,0 days 00:23:45.837437,0.0007661100707771367,0.21766241123453672,0.0001700037298921101,0.9562397808134481,128,0.0011900590783184247,0.4078,15.3014,13.186926666666666,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0205,6.6299,0.0057,9.5479,0,0,7984,7980,7982,596022.0,616033,609667,562366,6,0,3.314967,9.547933,0.242467,0.08156,13.186927,41.01,41.37,42.13,2000.0,2000.0,2000.0,coverage_outage_rate,0.2624,0.1212,"actor_lr,alpha,critic_lr,gamma,hidden_dim,tau",4000,4000,4000,22.6667,20336.3333,21201,20363,19445,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,8.660966666666667,2026-09-07 21:23:57.420412,2026-09-07 21:42:40.408598,0 days 00:18:42.988186,0.002708160864249967,0.0031261029103110596,0.0016967533607196547,0.958493564427131,128,0.0017240892195821533,0.0383,10.4983,8.660966666666667,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0179,5.9023,0.0029,5.2151,0,0,7980,7978,7974,596022.0,616033,609667,562366,6,0,2.951167,5.215067,0.487067,0.007667,8.660967,19.29,18.93,18.91,2000.0,2000.0,2000.0,coverage_outage_rate,0.2624,0.2435,"actor_lr,alpha,critic_lr,gamma,hidden_dim,tau",4000,4000,4000,50.0,10503.0,11678,10328,9503,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,6.736386666666667,2026-09-07 21:42:40.408651,2026-09-07 22:01:53.066569,0 days 00:19:12.657918,0.0002692655251486473,0.009745399020374083,0.0008012737503998541,0.9555797544260817,128,0.002399324290681272,0.0618,10.8031,6.736386666666667,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0134,5.1913,0.0028,3.6978,0,0,7978,7982,7978,596022.0,616033,609667,562366,6,0,2.595667,3.697833,0.430533,0.012353,6.736387,19.09,18.46,18.72,2000.0,2000.0,2000.0,coverage_outage_rate,0.2624,0.2153,"actor_lr,alpha,critic_lr,gamma,hidden_dim,tau",4000,4000,4000,35.0,10097.0,10430,10415,9446,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,5.956133333333334,2026-09-07 22:01:53.066621,2026-09-07 22:27:16.169271,0 days 00:25:23.102650,0.0005748924681991981,0.0028856223618597358,0.000750011895041699,0.9518580165087999,128,0.006172115948107073,0.0292,10.3791,5.956133333333334,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0187,5.1103,0.0032,2.9632,0,0,7978,7976,7976,596022.0,616033,609667,562366,6,0,2.555133,2.963233,0.431933,0.005833,5.956133,45.66,46.6,46.27,2000.0,2000.0,2000.0,coverage_outage_rate,0.2624,0.216,"actor_lr,alpha,critic_lr,gamma,hidden_dim,tau",4000,4000,4000,41.6667,11263.3333,11519,12115,10156,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,20.937300000000004,2026-09-07 22:27:16.169325,2026-09-07 22:51:46.122161,0 days 00:24:29.952836,0.0015635108708133452,0.015415527060141935,0.00028180680291847244,0.9539068845602553,256,0.007766184280392887,0.098,11.2743,20.937300000000004,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.087,8.0791,0.0223,16.1785,0,0,7976,7970,7972,596022.0,616033,609667,562366,6,0,4.039567,16.178533,0.6996,0.0196,20.9373,77.4,65.39,64.47,2000.0,2000.0,2000.0,coverage_outage_rate,0.2624,0.3498,"actor_lr,alpha,critic_lr,gamma,hidden_dim,tau",4000,4000,4000,301.3333,79478.6667,155614,63292,19530,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,25.017463333333335,2026-09-07 22:51:46.122213,2026-09-07 23:20:32.277744,0 days 00:28:46.155531,0.0022038218939289885,0.02533074654001447,0.00024112898115291975,0.9765008913741593,128,0.002544166090938369,0.1207,11.5692,25.017463333333335,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0676,9.8964,0.0134,19.4627,0,0,7984,7984,7976,596022.0,616033,609667,562366,6,0,4.948217,19.4627,0.5824,0.024147,25.017463,45.14,47.72,47.47,2000.0,2000.0,2000.0,coverage_outage_rate,0.2624,0.2912,"actor_lr,alpha,critic_lr,gamma,hidden_dim,tau",4000,4000,4000,96.0,47834.6667,66005,35863,41636,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,8.219696666666666,2026-09-07 23:20:32.277808,2026-09-07 23:47:12.572017,0 days 00:26:40.294209,0.0013962563737015762,0.30768824743015377,0.002442046084491142,0.9857930940171059,256,0.005996333882412659,0.4281,15.5649,8.219696666666666,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0217,4.979,0.0064,5.4131,0,0,7976,7976,7978,596022.0,616033,609667,562366,6,0,2.489483,5.413067,0.231533,0.085613,8.219697,125.5,150.59,99.35,2000.0,2000.0,2000.0,coverage_outage_rate,0.2624,0.1158,"actor_lr,alpha,critic_lr,gamma,hidden_dim,tau",4000,4000,4000,22.3333,22913.0,23516,23041,22182,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,20.09298,2026-09-07 23:47:12.572072,2026-09-08 00:20:58.811793,0 days 00:33:46.239721,0.0003023795012558478,0.00918050407457243,0.00037507963596256056,0.9608539612709558,128,0.011973258472758715,0.2434,13.1638,20.09298,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1202,6.137,0.0487,16.2002,0,0,7972,7964,7972,596022.0,616033,609667,562366,6,0,3.0685,16.2002,0.7756,0.04868,20.09298,43.76,39.74,44.28,2000.0,2000.0,2000.0,coverage_outage_rate,0.2624,0.3878,"actor_lr,alpha,critic_lr,gamma,hidden_dim,tau",4000,4000,4000,623.3333,173709.6667,151104,198166,171859,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,24.940393333333333,2026-09-08 00:20:58.811853,2026-09-08 01:02:41.362492,0 days 00:41:42.550639,0.0015308837415731389,0.003438172512115176,0.00012886065671894017,0.9894754774640206,128,0.010109125982108304,0.9921,22.8978,24.940393333333333,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0989,8.0167,0.0368,20.1986,0,0,7982,7972,7976,596022.0,616033,609667,562366,6,0,4.008333,20.198633,0.535,0.198427,24.940393,125.72,95.31,124.3,2000.0,2000.0,2000.0,coverage_outage_rate,0.2624,0.2675,"actor_lr,alpha,critic_lr,gamma,hidden_dim,tau",4000,4000,4000,9.0,131539.0,123929,170909,99779,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,7.735276666666667,2026-09-08 01:02:41.362557,2026-09-08 01:48:40.357877,0 days 00:45:58.995320,0.001193526270851053,0.002054599206680894,0.0013780336485752,0.9529617860693635,128,0.002926676128549072,0.0303,10.3937,7.735276666666667,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.022,5.758,0.0029,4.3933,0,0,7980,7974,7978,596022.0,616033,609667,562366,6,0,2.878983,4.3933,0.456933,0.00606,7.735277,157.03,157.32,189.36,2000.0,2000.0,2000.0,coverage_outage_rate,0.2624,0.2285,"actor_lr,alpha,critic_lr,gamma,hidden_dim,tau",4000,4000,4000,37.6667,10470.3333,10179,9881,11351,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
