number,value,datetime_start,datetime_complete,duration,params_actor_lr,params_critic_lr,params_gamma,params_global_critic_weight,params_gumbel_tau,params_hidden_dim,params_tau,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_failed_seeds,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,0.9254560000000001,2026-09-02 13:16:10.258748,2026-09-02 13:17:21.702809,0 days 00:01:11.444061,0.0007661100707771367,0.0001700037298921101,0.9576437314964739,0.7929409166199481,1.4016725176148133,128,0.0011900590783184247,0.0466,10.6058,0.9254560000000001,0.2621,0.5308,0.1265,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.294,14683.6667,16411,13286,14354,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,6.750792666666666,2026-09-02 13:17:21.702859,2026-09-02 13:18:29.906352,0 days 00:01:08.203493,0.0016967533607196547,0.00020589728197687926,0.9589094233931479,0.3433937943676302,1.2871346474483567,256,0.0017322667470546255,0.0569,10.7395,6.750792666666666,0.2621,2.7149,4.8578,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2884,9486.0,3130,13100,12228,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,2.140579333333333,2026-09-02 13:18:29.906401,2026-09-02 13:19:37.754663,0 days 00:01:07.848262,0.000160712385120399,0.00027010527749605503,0.9679517303213908,0.728140769114411,0.7995106732375397,256,0.003920673972242136,0.0561,10.7297,2.140579333333333,0.2621,1.3708,0.9198,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2109,7901.3333,7061,12089,4554,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,11.487176,2026-09-02 13:19:37.754717,2026-09-02 13:20:45.498643,0 days 00:01:07.743926,0.0007896186801026692,0.0001786013788939711,0.9531875280562787,0.8725056264596475,1.7125960221746916,128,0.017160445029754806,0.1762,12.2907,11.487176,0.2621,3.774,9.0407,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1963,9104.6667,13430,195,13689,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,0.9764860000000001,2026-09-02 13:20:45.498692,2026-09-02 13:21:57.829658,0 days 00:01:12.330966,0.00044684675025045853,0.00015144860262751404,0.9742636685954522,0.8274563216630256,0.8881699724000254,256,0.0011085122517311705,0.0458,10.5956,0.9764860000000001,0.2621,0.5232,0.1815,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.3065,15064.6667,16518,12958,15718,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,1.527736,2026-09-02 13:21:57.829708,2026-09-02 13:23:02.746798,0 days 00:01:04.917090,0.000642033033629786,0.00018752209455786411,0.9975096467604634,0.8515991532513513,1.8422410256414732,64,0.010196967939171487,0.0457,10.5934,1.527736,0.2621,0.7867,0.6011,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2775,13107.0,14612,11754,12955,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,5.834219333333333,2026-09-02 13:23:02.746858,2026-09-02 13:24:10.671146,0 days 00:01:07.924288,0.0001947558230629544,0.00011662890273931399,0.9659411862073999,0.3170792254191167,1.743106263727894,128,0.003203913722293046,0.0793,11.0314,5.834219333333333,0.2621,2.6519,3.9682,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2266,8786.3333,11594,12129,2636,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,15.238179333333335,2026-09-02 13:24:10.671196,2026-09-02 13:25:13.169309,0 days 00:01:02.498113,0.00016149614799999194,0.0015308837415731389,0.9536529815403088,0.717795815437326,0.7980735223012586,256,0.01922956707454338,0.1495,11.9431,15.238179333333335,0.2621,5.7028,11.8327,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1426,1943.3333,469,4035,1326,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,7.049359333333332,2026-09-02 13:25:13.169363,2026-09-02 13:26:20.524717,0 days 00:01:07.355354,0.001193526270851053,0.0013780336485752,0.9536281879349704,0.1926952476201038,1.7946551388133902,128,0.002926676128549072,0.0525,10.6833,7.049359333333332,0.2621,2.8717,5.0788,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2648,9034.3333,3440,7989,15674,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,1.311446,2026-09-02 13:26:20.524773,2026-09-02 13:27:24.785445,0 days 00:01:04.260672,0.0002879775265707035,0.0003022283475646735,0.9857507027385651,0.8097701940610612,1.2083223877429239,64,0.006752761235642017,0.0531,10.6907,1.311446,0.2621,0.8502,0.3515,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.2536,11559.6667,14171,10956,9552,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
