number,value,datetime_start,datetime_complete,duration,params_clip_ratio,params_entropy_coef,params_gamma,params_hidden_dim,params_lr,params_value_coef,user_attrs_avg_power_dbm,user_attrs_avg_power_norm,user_attrs_composite_score,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_outage_rate,state
0,7.273203333333334,2026-08-26 22:17:42.206720,2026-08-26 22:17:42.931129,0 days 00:00:00.724409,0.13119890406724052,0.0001434715951720141,0.9576449133816793,32,0.0003574712922600243,0.7197056874649612,24.9626,0.4963,7.273203333333334,3.8727,4.5125,0.3626,COMPLETE
1,4.79609,2026-08-26 22:17:42.931170,2026-08-26 22:17:44.060968,0 days 00:00:01.129798,0.14246782213565523,0.00030955664602423704,0.9907896893992206,128,0.0007725378389307352,0.3100427059120603,24.5604,0.456,4.79609,3.2162,1.8521,0.6224,COMPLETE
2,6.912520000000001,2026-08-26 22:17:44.061014,2026-08-26 22:17:44.813120,0 days 00:00:00.752106,0.12789877213040837,0.0006144543785587475,0.9799807918413965,32,0.0002814509271606064,0.4198171059762151,24.6959,0.4696,6.912520000000001,3.6762,4.3626,0.3089,COMPLETE
3,5.286803333333332,2026-08-26 22:17:44.813160,2026-08-26 22:17:45.574894,0 days 00:00:00.761734,0.10929008254399955,0.004362599362560562,0.97902831387424,32,0.000471705203762518,0.30231447421237495,25.136,0.5136,5.286803333333332,3.506,2.7769,0.3271,COMPLETE
4,5.25473,2026-08-26 22:17:45.574940,2026-08-26 22:17:46.329124,0 days 00:00:00.754184,0.11953442280127678,0.007026263205443053,0.9649260746894951,64,0.00012476394272569445,0.46409149624376084,24.7891,0.4789,5.25473,3.7365,2.6029,0.3439,COMPLETE
5,5.567903333333334,2026-08-26 22:17:46.329169,2026-08-26 22:17:47.158268,0 days 00:00:00.829099,0.23250445687079638,0.0006939031266619748,0.9626802190984008,128,0.00015144860262751404,0.5120408127066866,24.6728,0.4673,5.567903333333334,3.5102,3.1358,0.2918,COMPLETE
6,5.5609,2026-08-26 22:17:47.158372,2026-08-26 22:17:47.996449,0 days 00:00:00.838077,0.27896547008552974,0.004108791545324082,0.9960354481366452,64,0.000642033033629786,0.7531245410138703,24.9701,0.497,5.5609,3.3175,3.1023,0.3502,COMPLETE
7,4.6591466666666665,2026-08-26 22:17:47.996493,2026-08-26 22:17:48.882524,0 days 00:00:00.886031,0.1542698063547792,0.017247957710046027,0.9690451871947846,128,0.00013511829476450826,0.4140519960161536,24.649,0.4649,4.6591466666666665,3.5625,2.1275,0.3287,COMPLETE
8,7.7863533333333335,2026-08-26 22:17:48.882567,2026-08-26 22:17:49.795757,0 days 00:00:00.913190,0.29737738732010344,0.012141307774357374,0.9536529815403088,128,0.00026000059117302663,0.31922940892050344,25.3878,0.5388,7.7863533333333335,3.5939,5.1858,0.3479,COMPLETE
9,6.490759999999999,2026-08-26 22:17:49.795817,2026-08-26 22:17:50.559686,0 days 00:00:00.763869,0.11480893034681808,0.0009278723835524701,0.9877922469876114,32,0.0001018959297939515,0.26952143571507786,24.943,0.4943,6.490759999999999,3.7111,3.9106,0.3129,COMPLETE
10,11.3013,2026-08-26 22:17:50.559727,2026-08-26 22:17:51.700640,0 days 00:00:01.140913,0.1831184813002208,0.04484162011170467,0.9710688827267384,128,0.002489323150846179,0.5931767001669763,20.9366,0.0937,11.3013,5.4924,6.8664,0.835,COMPLETE
11,6.339523333333333,2026-08-26 22:17:51.700683,2026-08-26 22:17:52.794016,0 days 00:00:01.093333,0.1759208486840447,0.04749578896800582,0.9974455805260631,128,0.0010969472197588188,0.20542448904641963,22.8236,0.2824,6.339523333333333,3.773,3.0172,0.6897,COMPLETE
12,10.882506666666666,2026-08-26 22:17:52.794062,2026-08-26 22:17:54.111599,0 days 00:00:01.317537,0.16234533646078433,0.00010771984146116046,0.9868570673936772,128,0.0009502588597719531,0.4070873882620879,24.3884,0.4389,10.882506666666666,4.5933,6.9671,0.7655,COMPLETE
13,9.761296666666667,2026-08-26 22:17:54.111646,2026-08-26 22:17:55.279996,0 days 00:00:01.168350,0.22488441901286382,0.0015895881674122517,0.9724843647137213,128,0.0016401332399717274,0.5665300407604748,28.9571,0.8957,9.761296666666667,4.9308,5.5124,0.8022,COMPLETE
14,5.17972,2026-08-26 22:17:55.280043,2026-08-26 22:17:56.616921,0 days 00:00:01.336878,0.14542780233017572,0.0002897838557096434,0.987943545276771,128,0.0006267355493796271,0.36310977256129806,24.4374,0.4438,5.17972,3.5721,1.9905,0.6572,COMPLETE
