number,value,datetime_start,datetime_complete,duration,params_gamma,params_hidden_dim,params_learning_rate,params_target_update_interval,params_tau,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_failed_seeds,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,20.321152666666666,2026-09-02 11:30:44.058579,2026-09-02 11:31:50.518073,0 days 00:01:06.459494,0.9576449133816793,128,0.0007661100707771367,2,0.001595708469414836,0.455,15.915,20.321152666666666,0.2621,7.4676,15.9722,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1008,1028.6667,1122,894,1070,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,16.516592666666668,2026-09-02 11:31:50.518122,2026-09-02 11:32:58.997612,0 days 00:01:08.479490,0.9604046164232355,256,0.0016967533607196547,4,0.0017240892195821533,0.4549,15.9135,16.516592666666668,0.2621,6.7917,12.5056,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1022,1194.3333,1266,1127,1190,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,19.912666,2026-09-02 11:32:58.997661,2026-09-02 11:34:07.437583,0 days 00:01:08.439922,0.9643150877782256,256,0.000160712385120399,2,0.0029967309097101583,0.4707,16.1195,19.912666,0.2621,7.9313,15.3287,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0884,902.0,946,779,981,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,21.432346,2026-09-02 11:34:07.437635,2026-09-02 11:35:14.934206,0 days 00:01:07.496571,0.9583556820606772,128,0.0007896186801026692,2,0.0012151617026673375,0.4608,15.9903,21.432346,0.2621,8.0221,16.8049,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0981,992.0,1066,926,984,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,17.532719333333333,2026-09-02 11:35:14.934257,2026-09-02 11:36:38.031160,0 days 00:01:23.096903,0.9559798735073941,256,0.00044684675025045853,2,0.004407984038169242,0.4575,15.9477,17.532719333333333,0.2621,7.664,13.085,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1054,1124.0,1286,851,1235,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,18.870636,2026-09-02 11:36:38.031215,2026-09-02 11:37:59.141879,0 days 00:01:21.110664,0.9590578683207508,64,0.000642033033629786,2,0.01825823043920025,0.459,15.9671,18.870636,0.2621,7.2952,14.6071,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1021,1598.6667,1932,1371,1493,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,18.857306,2026-09-02 11:37:59.141930,2026-09-02 11:39:08.389141,0 days 00:01:09.247211,0.9522161371566163,128,0.0001947558230629544,4,0.0026501137707458976,0.4609,15.992,18.857306,0.2621,7.915,14.2834,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0911,810.3333,846,757,828,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,18.949845999999997,2026-09-02 11:39:08.389191,2026-09-02 11:40:17.229141,0 days 00:01:08.839950,0.9893076520569479,256,0.00016149614799999194,1,0.001250237795080112,0.4663,16.0615,18.949845999999997,0.2621,7.6421,14.5113,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1003,816.3333,943,672,834,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,17.719686,2026-09-02 11:40:17.229191,2026-09-02 11:41:21.212252,0 days 00:01:03.983061,0.9877922469876114,128,0.001193526270851053,4,0.0012483440997339652,0.4565,15.9345,17.719686,0.2621,7.0256,13.5914,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1013,1012.3333,1137,928,972,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,19.142879333333337,2026-09-02 11:41:21.212299,2026-09-02 11:42:25.744833,0 days 00:01:04.532534,0.9659339827793105,64,0.0002879775265707035,2,0.008896916672592672,0.4768,16.1984,19.142879333333337,0.2621,7.6227,14.712,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1002,967.6667,1117,812,974,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
10,17.886456,2026-09-02 11:42:25.744884,2026-09-02 11:43:32.680911,0 days 00:01:06.936027,0.9779249029127487,256,0.0023637119737615754,4,0.007470349629741677,0.4458,15.795,17.886456,0.2621,7.2031,13.6716,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0984,1360.0,1472,1296,1312,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
11,15.331506,2026-09-02 11:43:32.680962,2026-09-02 11:44:43.432430,0 days 00:01:10.751468,0.9728362403567159,256,0.0027207252467157236,1,0.004400956473756023,0.4241,15.5136,15.331506,0.2621,6.4399,11.5026,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.1145,1905.6667,2388,1420,1909,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
12,18.191266,2026-09-02 11:44:43.432479,2026-09-02 11:45:51.681346,0 days 00:01:08.248867,0.9762094578964692,256,0.00268297348395036,1,0.0023999987167786533,0.4391,15.7084,18.191266,0.2621,6.8253,14.1666,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0955,1483.3333,1839,1277,1334,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
13,16.02918933333333,2026-09-02 11:45:51.681394,2026-09-02 11:46:59.215712,0 days 00:01:07.534318,0.9713209621635812,256,0.0016412406248486127,1,0.0055068611136382065,0.4503,15.8534,16.02918933333333,0.2621,6.9318,11.9491,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0927,1533.0,1732,1370,1497,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
14,20.066759333333334,2026-09-02 11:46:59.215762,2026-09-02 11:48:09.167338,0 days 00:01:09.951576,0.969360139086634,256,0.0014728562654282593,1,0.0065183756629963886,0.4519,15.8746,20.066759333333334,0.2621,7.2836,15.8104,0,36764.0,39651,33145,37496,0,coverage_outage_rate,0.2621,0.0984,1626.6667,1818,1576,1486,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
