number,value,datetime_start,datetime_complete,duration,params_actor_lr,params_critic_lr,params_gamma,params_global_critic_weight,params_gumbel_tau,params_hidden_dim,params_tau,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,10.659128666666666,2026-09-04 19:03:03.001801,2026-09-04 19:41:28.409572,0 days 00:38:25.407771,0.0007661100707771367,0.0001700037298921101,0.9576437314964739,0.7929409166199481,1.4016725176148133,128,0.0011900590783184247,0.0433,10.5622,10.659128666666666,0.2665,False,False,False,False,-1,-1,,-1,,,-1,4.8162,7.7093,0,0,7980,7972,7974,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.3105,4000,4000,4000,89315.6667,101103,85129,81715,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,8.699788666666668,2026-09-04 19:41:28.409626,2026-09-04 20:04:00.768167,0 days 00:22:32.358541,0.0016967533607196547,0.00020589728197687926,0.9589094233931479,0.3433937943676302,1.2871346474483567,256,0.0017322667470546255,0.0386,10.501,8.699788666666668,0.2665,False,False,False,False,-1,-1,,-1,,,-1,3.8639,6.2271,0,0,7974,7976,7974,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.3833,4000,4000,4000,164894.6667,151687,86370,256627,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,9.510005333333334,2026-09-04 20:04:00.768215,2026-09-04 20:24:07.175967,0 days 00:20:06.407752,0.000160712385120399,0.00027010527749605503,0.9679517303213908,0.728140769114411,0.7995106732375397,256,0.003920673972242136,0.0402,10.5231,9.510005333333334,0.2665,False,False,False,False,-1,-1,,-1,,,-1,5.0572,6.4403,0,0,7980,7974,7978,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.245,4000,4000,4000,58862.3333,49892,54751,71944,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,12.670845333333332,2026-09-04 20:24:07.176017,2026-09-04 20:45:51.676360,0 days 00:21:44.500343,0.0007896186801026692,0.0001786013788939711,0.9531875280562787,0.8725056264596475,1.7125960221746916,128,0.017160445029754806,0.0486,10.6315,12.670845333333332,0.2665,False,False,False,False,-1,-1,,-1,,,-1,4.8166,9.7198,0,0,7980,7974,7978,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.3452,4000,4000,4000,131624.3333,317042,45471,32360,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,10.488852000000001,2026-09-04 20:45:51.676414,2026-09-04 21:07:37.838547,0 days 00:21:46.162133,0.00044684675025045853,0.00015144860262751404,0.9742636685954522,0.8274563216630256,0.8881699724000254,256,0.0011085122517311705,0.0386,10.502,10.488852000000001,0.2665,False,False,False,False,-1,-1,,-1,,,-1,4.0327,7.9317,0,0,7980,7978,7976,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.4202,4000,4000,4000,168723.3333,122010,138389,245771,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,18.994118666666665,2026-09-04 21:07:37.838597,2026-09-04 21:26:20.636001,0 days 00:18:42.797404,0.000642033033629786,0.00018752209455786411,0.9975096467604634,0.8515991532513513,1.8422410256414732,64,0.010196967939171487,0.0403,10.5236,18.994118666666665,0.2665,False,False,False,False,-1,-1,,-1,,,-1,6.4035,15.2513,0,0,7978,7974,7980,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.3883,4000,4000,4000,175816.3333,307152,39945,180352,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,11.269125333333335,2026-09-04 21:26:20.636051,2026-09-04 21:48:52.681321,0 days 00:22:32.045270,0.0001947558230629544,0.00011662890273931399,0.9659411862073999,0.3170792254191167,1.743106263727894,128,0.003203913722293046,0.0403,10.5239,11.269125333333335,0.2665,False,False,False,False,-1,-1,,-1,,,-1,4.4016,8.5272,0,0,7978,7980,7980,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.3871,4000,4000,4000,158420.3333,171418,160347,143496,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,11.627265333333334,2026-09-04 21:48:52.681372,2026-09-04 22:07:36.222675,0 days 00:18:43.541303,0.00016149614799999194,0.0015308837415731389,0.9536529815403088,0.717795815437326,0.7980735223012586,256,0.01922956707454338,0.0555,10.7219,11.627265333333334,0.2665,False,False,False,False,-1,-1,,-1,,,-1,5.7854,8.1904,0,0,7978,7970,7974,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2172,4000,4000,4000,33424.6667,40294,30599,29381,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,11.162328666666667,2026-09-04 22:07:36.222726,2026-09-04 22:28:18.418752,0 days 00:20:42.196026,0.001193526270851053,0.0013780336485752,0.9536281879349704,0.1926952476201038,1.7946551388133902,128,0.002926676128549072,0.0401,10.5214,11.162328666666667,0.2665,False,False,False,False,-1,-1,,-1,,,-1,5.9574,7.6426,0,0,7978,7974,7976,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2453,4000,4000,4000,60227.0,59012,87619,34050,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,17.503015333333334,2026-09-04 22:28:18.418810,2026-09-04 22:45:45.257308,0 days 00:17:26.838498,0.0002879775265707035,0.0003022283475646735,0.9857507027385651,0.8097701940610612,1.2083223877429239,64,0.006752761235642017,0.1122,11.4588,17.503015333333334,0.2665,False,False,False,False,-1,-1,,-1,,,-1,7.0121,13.4415,0,0,7970,7980,7976,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2557,4000,4000,4000,66004.3333,65423,58890,73700,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
