number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,params_hidden_dim,params_learning_rate,params_n_epochs,params_vf_coef,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,32.30653533333333,2026-09-04 11:30:24.177209,2026-09-04 11:57:50.260500,0 days 00:27:26.083291,0.13119890406724052,0.0001434715951720141,0.9576449133816793,128,0.0007661100707771367,10,0.7197056874649612,0.1955,12.5411,32.30653533333333,0.2665,False,False,False,False,-1,-1,,-1,,,-1,11.5631,25.9528,0,0,7996,7998,7998,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.202,4000,4000,4000,39727.3333,5869,5986,107327,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,26.284898666666667,2026-09-04 11:57:50.260580,2026-09-04 12:24:21.184727,0 days 00:26:30.924147,0.16084844859190756,0.002607965659809585,0.9589868209828182,64,0.00018559980846490597,10,0.4591670111852695,0.3045,13.9587,26.284898666666667,0.2665,False,False,False,False,-1,-1,,-1,,,-1,10.2858,20.5481,0,0,7994,7998,7998,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1275,4000,4000,4000,6415.0,6707,6473,6065,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,56.80974533333333,2026-09-04 12:24:21.184801,2026-09-04 12:44:16.182871,0 days 00:19:54.998070,0.2028468876827223,0.003971084710792475,0.9597840153257596,256,0.0014447746112718689,4,0.22787024763199865,0.1204,11.5658,56.80974533333333,0.2665,False,False,False,False,-1,-1,,-1,,,-1,17.6543,47.4255,0,0,7998,7996,7998,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2852,4000,4000,4000,23106.3333,11349,7455,50515,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,25.152208666666667,2026-09-04 12:44:16.182926,2026-09-04 13:22:50.230330,0 days 00:38:34.047404,0.23684660530243137,0.0015415527060141947,0.9547859335863128,128,0.00028180680291847244,20,0.27322294090686733,0.2193,12.8513,25.152208666666667,0.2665,False,False,False,False,-1,-1,,-1,,,-1,9.8789,19.6359,0,0,7996,7996,7996,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1509,4000,4000,4000,6788.3333,6739,6283,7343,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,36.119562,2026-09-04 13:22:50.230384,2026-09-04 13:42:23.746641,0 days 00:19:33.516257,0.1369708911051054,0.04138851334163269,0.9767888036878207,128,0.000586412916969653,4,0.6650796940166688,0.3241,14.2134,36.119562,0.2665,False,False,False,False,-1,-1,,-1,,,-1,12.6145,29.2145,0,0,7998,7998,7998,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1305,4000,4000,4000,5981.0,6750,4941,6252,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,24.464578666666668,2026-09-04 13:42:23.746694,2026-09-04 14:20:29.038304,0 days 00:38:05.291610,0.1777354579378964,0.0005399616272305192,0.9659411862073999,64,0.00011662890273931399,20,0.6972425054911577,0.2909,13.7823,24.464578666666668,0.2665,False,False,False,False,-1,-1,,-1,,,-1,10.111,18.8178,0,0,7998,7996,7998,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1275,4000,4000,4000,6439.0,6676,6064,6577,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,45.689322000000004,2026-09-04 14:20:29.038359,2026-09-04 14:59:35.741501,0 days 00:39:06.703142,0.1397431363068345,0.00010349134435467596,0.9878399936955362,128,0.002869139536545374,20,0.6892768570729007,0.3981,15.1747,45.689322000000004,0.2665,False,False,False,False,-1,-1,,-1,,,-1,14.5424,37.8055,0,0,7998,7998,7998,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.3891,4000,4000,4000,98311.0,77813,97870,119250,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,60.955722,2026-09-04 14:59:35.741553,2026-09-04 15:25:16.918671,0 days 00:25:41.177118,0.16617960497052983,0.00014843697010415803,0.9805416082145503,128,0.0018832519048593583,10,0.3865893930293973,0.2501,13.2509,60.955722,0.2665,False,False,False,False,-1,-1,,-1,,,-1,18.8044,50.9705,0,0,7996,7994,7998,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.231,4000,4000,4000,15288.0,27914,15831,2119,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,28.972455333333333,2026-09-04 15:25:16.918722,2026-09-04 15:44:17.325039,0 days 00:19:00.406317,0.21225543951389925,0.012045290903541863,0.9872784673822279,64,0.001131225105716033,4,0.4962773578186345,0.2836,13.6864,28.972455333333333,0.2665,False,False,False,False,-1,-1,,-1,,,-1,10.9016,22.9319,0,0,7998,7996,7998,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1336,4000,4000,4000,6173.3333,5673,6412,6435,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,24.638305333333335,2026-09-04 15:44:17.325091,2026-09-04 16:04:00.339144,0 days 00:19:43.014053,0.2815132947852186,0.0004707954411452841,0.9749199638670704,256,0.0002913009501549591,4,0.44622975382137786,0.2602,13.3833,24.638305333333335,0.2665,False,False,False,False,-1,-1,,-1,,,-1,9.5154,19.2955,0,0,7998,7998,7998,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1373,4000,4000,4000,6982.6667,7757,6156,7035,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
