number,value,datetime_start,datetime_complete,duration,params_clip_ratio,params_entropy_coef,params_gamma,params_hidden_dim,params_lr_actor,params_lr_critic,params_value_coef,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,11.275492,2026-09-04 11:30:29.299026,2026-09-04 11:47:32.336785,0 days 00:17:03.037759,0.1116167224336399,0.021766241123453687,0.9576437314964739,128,0.0007661100707771367,0.0001700037298921101,0.5606690070459254,0.286,13.718,11.275492,0.2665,False,False,False,False,-1,-1,,-1,,,-1,6.4997,7.4354,0,0,7992,7992,7992,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1027,4000,4000,4000,8025.3333,8563,8454,7059,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,8.929165333333334,2026-09-04 11:47:32.336864,2026-09-04 12:04:12.190651,0 days 00:16:39.853787,0.13668090197068677,0.0006624310605949989,0.9589094233931479,256,0.0016967533607196547,0.00020589728197687926,0.5148538589793428,0.2095,12.7239,8.929165333333334,0.2665,False,False,False,False,-1,-1,,-1,,,-1,5.8044,5.452,0,0,7994,7988,7990,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1278,4000,4000,4000,8309.0,8808,8030,8089,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,14.577725333333333,2026-09-04 12:04:12.190713,2026-09-04 12:20:33.351817,0 days 00:16:21.161104,0.19121399684340717,0.013157287601765641,0.9679517303213908,256,0.000160712385120399,0.00027010527749605503,0.3198042692950159,0.3757,14.8841,14.577725333333333,0.2665,False,False,False,False,-1,-1,,-1,,,-1,7.4773,10.2309,0,0,7994,7990,7994,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1001,4000,4000,4000,7638.3333,7976,7068,7871,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,9.506908666666668,2026-09-04 12:20:33.351874,2026-09-04 12:37:24.302952,0 days 00:16:50.951078,0.28977710745066665,0.04038423798071561,0.9531875280562787,128,0.0007896186801026692,0.0001786013788939711,0.6850384088698768,0.2097,12.7254,9.506908666666668,0.2665,False,False,False,False,-1,-1,,-1,,,-1,5.9922,5.9358,0,0,7992,7992,7992,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1219,4000,4000,4000,8584.0,9106,7244,9402,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,13.961172,2026-09-04 12:37:24.303006,2026-09-04 12:54:15.468519,0 days 00:16:51.165513,0.10687770422304368,0.02845958019429148,0.9742636685954522,256,0.00044684675025045853,0.00015144860262751404,0.3552679889600102,0.2777,13.6103,13.961172,0.2665,False,False,False,False,-1,-1,,-1,,,-1,7.344,9.7006,0,0,7992,7990,7990,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1174,4000,4000,4000,7744.3333,7736,7783,7714,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,12.540332,2026-09-04 12:54:15.468568,2026-09-04 13:10:19.884904,0 days 00:16:04.416336,0.2550265646722229,0.0343304473310619,0.9975096467604634,64,0.000642033033629786,0.00018752209455786411,0.7368964102565894,0.256,13.328,12.540332,0.2665,False,False,False,False,-1,-1,,-1,,,-1,6.8264,8.5429,0,0,7990,7992,7992,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1268,4000,4000,4000,10141.3333,10222,10330,9872,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,13.205805333333332,2026-09-04 13:10:19.884956,2026-09-04 13:27:41.984519,0 days 00:17:22.099563,0.1777354579378964,0.0005399616272305192,0.9659411862073999,128,0.0001947558230629544,0.00011662890273931399,0.6972425054911577,0.3497,14.5462,13.205805333333332,0.2665,False,False,False,False,-1,-1,,-1,,,-1,7.0604,9.0726,0,0,7992,7988,7982,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1004,4000,4000,4000,7704.6667,8924,6977,7213,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,13.367178666666666,2026-09-04 13:27:41.984572,2026-09-04 13:44:11.494367,0 days 00:16:29.509795,0.29737738732010344,0.012141307774357374,0.9536529815403088,256,0.00016149614799999194,0.0015308837415731389,0.31922940892050344,0.3044,13.9579,13.367178666666666,0.2665,False,False,False,False,-1,-1,,-1,,,-1,7.24,9.1533,0,0,7992,7990,7990,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1091,4000,4000,4000,8333.3333,8680,8143,8177,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,9.026665333333334,2026-09-04 13:44:11.494424,2026-09-04 14:01:40.063817,0 days 00:17:28.569393,0.17169314570885452,0.0002054599206680897,0.9536281879349704,128,0.001193526270851053,0.0013780336485752,0.7178620555253561,0.3319,14.3141,9.026665333333334,0.2665,False,False,False,False,-1,-1,,-1,,,-1,5.7032,5.5757,0,0,7992,7990,7988,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.0974,4000,4000,4000,8073.6667,9073,7177,7971,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,70.76763,2026-09-04 14:01:40.063879,2026-09-04 14:07:30.325353,0 days 00:05:50.261474,0.2275114942710426,0.024806219351771016,0.9857507027385651,64,0.0002879775265707035,0.0003022283475646735,0.4833289550971696,0.3867,15.0266,70.76763,0.2628,False,False,False,False,-1,-1,,-1,,,-1,6.9959,8.202,0,2,7994,-1,-1,674679.0,674679,-1,-1,0,coverage_outage_rate,0.2628,0.0838,4000,-1,-1,8411.0,8411,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
10,100.0,2026-09-04 14:07:30.325398,2026-09-04 14:07:30.341099,0 days 00:00:00.015701,0.14063546404260496,0.0019774919436282377,0.9828921743760681,256,0.0023637119737615754,0.0006947130575931085,0.20935687979507378,,,100.0,,False,False,False,False,-1,-1,,-1,,,-1,,,0,3,-1,-1,-1,,-1,-1,-1,0,,,,-1,-1,-1,,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
11,100.0,2026-09-04 14:07:30.341141,2026-09-04 14:07:30.353795,0 days 00:00:00.012654,0.15667530066915786,0.00012940639133977576,0.9618805713830499,128,0.00197216024332183,0.002945372784537229,0.5728104196393515,,,100.0,,False,False,False,False,-1,-1,,-1,,,-1,,,0,3,-1,-1,-1,,-1,-1,-1,0,,,,-1,-1,-1,,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
