number,value,datetime_start,datetime_complete,duration,params_gamma,params_hidden_dim,params_learning_rate,params_target_update_interval,params_tau,user_attrs_composite_score,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,100.0,2026-09-04 14:07:30.405796,2026-09-04 14:07:30.574991,0 days 00:00:00.169195,0.9576449133816793,128,0.0007661100707771367,2,0.001595708469414836,100.0,False,False,False,False,-1,-1,,-1,,,-1,0,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,100.0,2026-09-04 14:07:30.575028,2026-09-04 14:07:30.592491,0 days 00:00:00.017463,0.9604046164232355,256,0.0016967533607196547,4,0.0017240892195821533,100.0,False,False,False,False,-1,-1,,-1,,,-1,0,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,100.0,2026-09-04 14:07:30.592528,2026-09-04 14:07:30.610924,0 days 00:00:00.018396,0.9643150877782256,256,0.000160712385120399,2,0.0029967309097101583,100.0,False,False,False,False,-1,-1,,-1,,,-1,0,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,100.0,2026-09-04 14:07:30.610964,2026-09-04 14:07:30.624481,0 days 00:00:00.013517,0.9583556820606772,128,0.0007896186801026692,2,0.0012151617026673375,100.0,False,False,False,False,-1,-1,,-1,,,-1,0,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,100.0,2026-09-04 14:07:30.624519,2026-09-04 14:07:30.658013,0 days 00:00:00.033494,0.9559798735073941,256,0.00044684675025045853,2,0.004407984038169242,100.0,False,False,False,False,-1,-1,,-1,,,-1,0,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,100.0,2026-09-04 14:07:30.658055,2026-09-04 14:07:30.671019,0 days 00:00:00.012964,0.9590578683207508,64,0.000642033033629786,2,0.01825823043920025,100.0,False,False,False,False,-1,-1,,-1,,,-1,0,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,100.0,2026-09-04 14:07:30.671055,2026-09-04 14:07:30.684062,0 days 00:00:00.013007,0.9522161371566163,128,0.0001947558230629544,4,0.0026501137707458976,100.0,False,False,False,False,-1,-1,,-1,,,-1,0,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,100.0,2026-09-04 14:07:30.684101,2026-09-04 14:07:30.702630,0 days 00:00:00.018529,0.9893076520569479,256,0.00016149614799999194,1,0.001250237795080112,100.0,False,False,False,False,-1,-1,,-1,,,-1,0,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,100.0,2026-09-04 14:07:30.702676,2026-09-04 14:07:30.717430,0 days 00:00:00.014754,0.9877922469876114,128,0.001193526270851053,4,0.0012483440997339652,100.0,False,False,False,False,-1,-1,,-1,,,-1,0,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,100.0,2026-09-04 14:07:30.717469,2026-09-04 14:07:30.729546,0 days 00:00:00.012077,0.9659339827793105,64,0.0002879775265707035,2,0.008896916672592672,100.0,False,False,False,False,-1,-1,,-1,,,-1,0,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
10,100.0,2026-09-04 14:07:30.729585,2026-09-04 14:07:30.746171,0 days 00:00:00.016586,0.9767412912752206,128,0.001910661492320516,1,0.007470349629741677,100.0,False,False,False,False,-1,-1,,-1,,,-1,0,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
11,100.0,2026-09-04 14:07:30.746211,2026-09-04 14:07:30.774298,0 days 00:00:00.028087,0.971077260228171,256,0.002790076729980686,4,0.0021831924729942185,100.0,False,False,False,False,-1,-1,,-1,,,-1,0,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
12,100.0,2026-09-04 14:07:30.774344,2026-09-04 14:07:30.797208,0 days 00:00:00.022864,0.9738398566044236,256,0.0012705502316840852,4,0.0019065620454055887,100.0,False,False,False,False,-1,-1,,-1,,,-1,0,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
13,100.0,2026-09-04 14:07:30.797251,2026-09-04 14:07:30.815368,0 days 00:00:00.018117,0.9504602904342333,128,0.001117137989837771,4,0.004060413672266438,100.0,False,False,False,False,-1,-1,,-1,,,-1,0,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
14,100.0,2026-09-04 14:07:30.815408,2026-09-04 14:07:30.831175,0 days 00:00:00.015767,0.997366704906387,64,0.0004018201859550197,1,0.0014711759475339262,100.0,False,False,False,False,-1,-1,,-1,,,-1,0,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
