number,value,datetime_start,datetime_complete,duration,params_epsilon_decay,params_gamma,params_hidden_dim,params_lr_actor,params_lr_critic,params_lr_q,params_tau,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,8.586188666666667,2026-09-04 22:04:01.049446,2026-09-04 22:24:32.325884,0 days 00:20:31.276438,0.9957105926115605,0.9528460969962418,128,0.0001700037298921101,0.00016998978382700775,0.0007661100707771367,0.013394334706750489,0.0981,11.2751,8.586188666666667,0.2665,False,False,False,False,-1,-1,,-1,,,-1,4.5671,5.75,0,0,7980,7968,7974,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2157,4000,4000,4000,41148.6667,73682,18483,31281,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,6.757155333333333,2026-09-04 22:24:32.325937,2026-09-04 22:43:20.505641,0 days 00:18:48.179704,0.9949851861005062,0.9589868209828182,256,0.00020589728197687926,0.00018559980846490597,0.0016967533607196547,0.002487873441981443,0.0249,10.3237,6.757155333333333,0.2665,False,False,False,False,-1,-1,,-1,,,-1,4.065,4.1866,0,0,7964,7966,7968,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2649,4000,4000,4000,83233.6667,126259,61869,61573,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,9.517008666666667,2026-09-04 22:43:20.505696,2026-09-04 23:02:37.083172,0 days 00:19:16.577476,0.9918969009305044,0.9723474292266348,256,0.00027010527749605503,0.0003476649150592621,0.000160712385120399,0.01050842133869177,0.0723,10.94,9.517008666666667,0.2665,False,False,False,False,-1,-1,,-1,,,-1,5.3901,6.2744,0,0,7972,7960,7972,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2271,4000,4000,4000,41621.0,53971,48036,22856,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,8.932548666666667,2026-09-04 23:02:37.083224,2026-09-04 23:23:17.027479,0 days 00:20:39.944255,0.9976797748071065,0.9964953913254133,128,0.0001786013788939711,0.00012476394272569445,0.0007896186801026692,0.018043311207136262,0.0897,11.1664,8.932548666666667,0.2665,False,False,False,False,-1,-1,,-1,,,-1,4.4711,6.146,0,0,7972,7966,7964,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2621,4000,4000,4000,87133.0,83535,117459,60405,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,10.547635333333334,2026-09-04 23:23:17.027530,2026-09-04 23:41:50.160929,0 days 00:18:33.133399,0.9924584098252002,0.9516850375346456,256,0.00015144860262751404,0.0005388108577817234,0.00044684675025045853,0.015242391728466372,0.1406,11.8281,10.547635333333334,0.2665,False,False,False,False,-1,-1,,-1,,,-1,6.0674,6.9528,0,0,7964,7966,7966,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1565,4000,4000,4000,14425.6667,17239,14597,11441,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,8.270105333333333,2026-09-04 23:41:50.160977,2026-09-04 23:58:36.285809,0 days 00:16:46.124832,0.9985008598290627,0.9879815083446946,64,0.00018752209455786411,0.0027051668818999287,0.000642033033629786,0.01668461938629347,0.0907,11.1795,8.270105333333333,0.2665,False,False,False,False,-1,-1,,-1,,,-1,5.415,5.0114,0,0,7964,7968,7966,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1922,4000,4000,4000,23092.6667,34411,21662,13205,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,6.683952000000001,2026-09-04 23:58:36.285863,2026-09-05 00:18:58.987807,0 days 00:20:22.701944,0.9978730063369434,0.9690451871947846,128,0.00011662890273931399,0.0003023795012558478,0.0001947558230629544,0.0022544116997360495,0.03,10.39,6.683952000000001,0.2665,False,False,False,False,-1,-1,,-1,,,-1,3.9132,4.1883,0,0,7958,7966,7964,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.263,4000,4000,4000,99282.6667,165430,70737,61681,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,9.268312000000002,2026-09-05 00:18:58.987860,2026-09-05 00:36:47.288059,0 days 00:17:48.300199,0.9918877989745747,0.9983574598934254,256,0.0015308837415731389,0.00012886065671894017,0.00016149614799999194,0.010109125982108304,0.0456,10.593,9.268312000000002,0.2665,False,False,False,False,-1,-1,,-1,,,-1,3.9532,6.7496,0,0,7970,7972,7964,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2587,4000,4000,4000,100600.3333,142325,85365,74111,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,5.724555333333332,2026-09-05 00:36:47.288109,2026-09-05 00:53:55.269863,0 days 00:17:07.981754,0.9981994825458181,0.9675648206986693,128,0.0013780336485752,0.00012863908101989929,0.001193526270851053,0.0014149761574941428,0.0209,10.2716,5.724555333333332,0.2665,False,False,False,False,-1,-1,,-1,,,-1,3.3497,3.5125,0,0,7960,7956,7960,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2985,4000,4000,4000,111729.6667,122250,116927,96012,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,10.039808666666667,2026-09-05 00:53:55.269916,2026-09-05 01:08:33.383807,0 days 00:14:38.113891,0.9944860417890385,0.9812403160964054,64,0.0003022283475646735,0.001195960383019184,0.0002879775265707035,0.014265611436377936,0.232,13.0161,10.039808666666667,0.2665,False,False,False,False,-1,-1,,-1,,,-1,5.6825,6.6191,0,0,7972,7978,7970,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1854,4000,4000,4000,19710.3333,18980,13262,26889,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
