number,value,datetime_start,datetime_complete,duration,params_epsilon_decay,params_gamma,params_hidden_dim,params_lr_actor,params_lr_critic,params_num_res_blocks,params_tau,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,16.475955333333335,2026-09-04 16:17:54.725562,2026-09-04 16:39:29.280614,0 days 00:21:34.555052,0.9901955526958102,0.9576437314964739,128,0.0007661100707771367,0.0001700037298921101,1,0.0011900590783184247,0.0467,10.6074,16.475955333333335,0.2665,False,False,False,False,-1,-1,,-1,,,-1,6.1007,12.8832,0,0,7978,7968,7974,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2417,4000,4000,4000,89998.0,46707,181993,41294,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,23.461798666666667,2026-09-04 16:39:29.280665,2026-09-04 16:58:19.225492,0 days 00:18:49.944827,0.9913251916761944,0.9649078699050173,64,0.00018559980846490597,0.00018659959624904942,3,0.004816414530907085,0.249,13.2377,23.461798666666667,0.2665,False,False,False,False,-1,-1,,-1,,,-1,8.8781,18.4399,0,0,7982,7978,7954,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1908,4000,4000,4000,28695.3333,28040,20513,37533,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,35.73671866666667,2026-09-04 16:58:19.225541,2026-09-04 17:23:03.636265,0 days 00:24:44.410724,0.9906179901333602,0.975197487482267,256,0.0014447746112718689,0.00019721610970574026,2,0.005898602410432692,0.6583,18.5582,35.73671866666667,0.2665,False,False,False,False,-1,-1,,-1,,,-1,12.086,29.029,0,0,7982,7976,7986,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1975,4000,4000,4000,89908.6667,49697,136477,83552,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,19.029118666666665,2026-09-04 17:23:03.636313,2026-09-04 17:46:24.124647,0 days 00:23:20.488334,0.9986385438197485,0.9835274182990956,128,0.00028180680291847244,0.00013940346079873228,2,0.0037381058681917956,0.0871,11.1328,19.029118666666665,0.2665,False,False,False,False,-1,-1,,-1,,,-1,8.0638,14.4468,0,0,7984,7972,7984,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2257,4000,4000,4000,42105.6667,43965,34378,47974,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,28.901875333333333,2026-09-04 17:46:24.124710,2026-09-04 18:10:01.648350,0 days 00:23:37.523640,0.9956800497987054,0.9590578683207508,128,0.000586412916969653,0.000642033033629786,2,0.01825823043920025,0.2955,13.8417,28.901875333333333,0.2665,False,False,False,False,-1,-1,,-1,,,-1,10.9803,22.8196,0,0,7984,7970,7970,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1823,4000,4000,4000,24527.0,47192,12460,13929,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,34.88828866666667,2026-09-04 18:10:01.648403,2026-09-04 18:28:02.000254,0 days 00:18:00.351851,0.9951556127900034,0.9690451871947846,64,0.00011662890273931399,0.0003023795012558478,1,0.0022544116997360495,0.2671,13.4719,34.88828866666667,0.2665,False,False,False,False,-1,-1,,-1,,,-1,12.2571,28.1733,0,0,7970,7968,7980,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.249,4000,4000,4000,64559.6667,61557,19786,112336,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,33.315188666666664,2026-09-04 18:28:02.000302,2026-09-04 18:50:32.666805,0 days 00:22:30.666503,0.9973270682935165,0.9597370683951744,128,0.002869139536545374,0.0013826083091896758,1,0.0010166803740022873,0.2906,13.7771,33.315188666666664,0.2665,False,False,False,False,-1,-1,,-1,,,-1,11.2909,27.0786,0,0,7968,7966,7972,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2861,4000,4000,4000,109281.0,104417,114420,109006,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,30.130508666666667,2026-09-04 18:50:32.666858,2026-09-04 19:37:38.342795,0 days 00:47:05.675937,0.9960567959778746,0.9662140032177797,128,0.0018832519048593583,0.0008330803890301997,3,0.001209737992703384,0.321,14.1734,30.130508666666667,0.2665,False,False,False,False,-1,-1,,-1,,,-1,10.1087,24.4789,0,0,7984,7978,7986,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2741,4000,4000,4000,127852.3333,161856,64380,157321,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,35.602911999999996,2026-09-04 19:37:38.342852,2026-09-04 20:00:05.438243,0 days 00:22:27.095391,0.9902414817040689,0.9775025826809053,64,0.001131225105716033,0.0013297554090738672,2,0.01007050911290015,0.0791,11.0286,35.602911999999996,0.2665,False,False,False,False,-1,-1,,-1,,,-1,12.2519,28.9281,0,0,7982,7956,7982,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2764,4000,4000,4000,61680.6667,94756,72645,17641,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,16.73688866666667,2026-09-04 20:00:05.438297,2026-09-04 20:21:58.013785,0 days 00:21:52.575488,0.9907313091433735,0.9944707572223785,256,0.0002913009501549591,0.0005639239991667561,2,0.00211026340546017,0.1051,11.3659,16.73688866666667,0.2665,False,False,False,False,-1,-1,,-1,,,-1,7.2809,12.5424,0,0,7988,7970,7988,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2019,4000,4000,4000,31521.0,30333,39355,24875,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
