number,value,datetime_start,datetime_complete,duration,params_gamma,params_hidden_dim,params_learning_rate,params_policy_delay,params_target_noise_clip,params_target_policy_noise,params_tau,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,6.344562000000001,2026-09-04 11:30:34.336739,2026-09-04 11:48:05.210952,0 days 00:17:30.874213,0.9576449133816793,128,0.0007661100707771367,3,0.20617534828874073,0.2416145155592091,0.001595708469414836,0.0324,10.4216,6.344562000000001,0.2665,False,False,False,False,-1,-1,,-1,,,-1,3.386,4.112,0,0,7974,7970,7958,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2062,4000,4000,4000,68704.6667,106133,40358,59623,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,3.946622,2026-09-04 11:48:05.211026,2026-09-04 12:09:29.603612,0 days 00:21:24.392586,0.9589868209828182,64,0.00018559980846490597,2,0.24184815819561256,0.22237057894447587,0.002487873441981443,0.2329,13.0278,3.946622,0.2665,False,False,False,False,-1,-1,,-1,,,-1,1.8675,2.4333,0,0,7958,7964,7968,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2269,4000,4000,4000,178033.3333,211457,173414,149229,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,6.652668666666666,2026-09-04 12:09:29.603673,2026-09-04 12:26:43.752141,0 days 00:17:14.148468,0.9597840153257596,256,0.0014447746112718689,4,0.21951547789558387,0.1341048247374583,0.004666963767236925,0.0371,10.4827,6.652668666666666,0.2665,False,False,False,False,-1,-1,,-1,,,-1,3.743,4.2407,0,0,7970,7964,7966,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2129,4000,4000,4000,64013.6667,82821,49749,59471,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,5.480648666666667,2026-09-04 12:26:43.752198,2026-09-04 12:44:40.534344,0 days 00:17:56.782146,0.9547859335863128,128,0.00028180680291847244,4,0.47279612062363463,0.10687770422304368,0.007766184280392887,0.1405,11.8268,5.480648666666667,0.2665,False,False,False,False,-1,-1,,-1,,,-1,3.4967,3.1712,0,0,7964,7962,7968,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2075,4000,4000,4000,80188.6667,90591,80410,69565,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,7.163742,2026-09-04 12:44:40.534399,2026-09-04 13:04:11.107486,0 days 00:19:30.573087,0.9767888036878207,128,0.000586412916969653,2,0.3793699936433256,0.27896547008552974,0.0017398074711291722,0.0278,10.3623,7.163742,0.2665,False,False,False,False,-1,-1,,-1,,,-1,2.8351,5.2076,0,0,7956,7962,7972,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2279,4000,4000,4000,124113.6667,141160,105777,125404,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,2.998182,2026-09-04 13:04:11.107539,2026-09-04 13:26:20.134591,0 days 00:22:09.027052,0.9659411862073999,64,0.00011662890273931399,3,0.3628088249474746,0.15618690193747614,0.003203913722293046,0.3005,13.9069,2.998182,0.2665,False,False,False,False,-1,-1,,-1,,,-1,1.2564,1.7768,0,0,7976,7978,7964,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2209,4000,4000,4000,206959.3333,255098,211663,154117,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,4.917352,2026-09-04 13:26:20.134646,2026-09-04 13:44:45.627668,0 days 00:18:25.493022,0.9878399936955362,128,0.002869139536545374,3,0.4313811040057837,0.24580143360819745,0.0018135730867783408,0.0255,10.331,4.917352,0.2665,False,False,False,False,-1,-1,,-1,,,-1,2.8012,2.9786,0,0,7960,7956,7966,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2291,4000,4000,4000,92670.3333,113410,77290,87311,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,7.158411999999999,2026-09-04 13:44:45.627726,2026-09-04 14:01:47.388259,0 days 00:17:01.760533,0.9805416082145503,128,0.0018832519048593583,4,0.39126724140656394,0.24592123566761281,0.002694686557241768,0.0414,10.5383,7.158411999999999,0.2665,False,False,False,False,-1,-1,,-1,,,-1,3.6442,4.795,0,0,7960,7968,7968,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2036,4000,4000,4000,51852.6667,28916,58285,68357,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,7.944055333333334,2026-09-04 14:01:47.388311,2026-09-04 14:19:07.064937,0 days 00:17:19.676626,0.9872784673822279,64,0.001131225105716033,2,0.20762573802322856,0.18550820367170992,0.005373267600451111,0.0281,10.365,7.944055333333334,0.2665,False,False,False,False,-1,-1,,-1,,,-1,3.8689,5.471,0,0,7966,7966,7962,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2145,4000,4000,4000,65935.3333,66945,59989,70872,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,7.0617953333333325,2026-09-04 14:19:07.064987,2026-09-04 14:36:22.978925,0 days 00:17:15.913938,0.9749199638670704,256,0.0002913009501549591,4,0.22309397294863792,0.1457596330983245,0.015162513677579235,0.0951,11.2364,7.0617953333333325,0.2665,False,False,False,False,-1,-1,,-1,,,-1,3.8168,4.6013,0,0,7972,7970,7968,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.216,4000,4000,4000,81340.0,105912,84267,53841,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
10,1.580192,2026-09-04 14:36:22.978980,2026-09-04 14:57:01.731399,0 days 00:20:38.752419,0.9975073184286054,64,0.00010206070557577011,3,0.3083935989325428,0.17605859205036214,0.0010552829926879388,0.1833,12.3833,1.580192,0.2665,False,False,False,False,-1,-1,,-1,,,-1,0.793,0.614,0,0,7972,7960,7956,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2289,4000,4000,4000,187938.3333,221540,153564,188711,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
11,1.272692,2026-09-04 14:57:01.731450,2026-09-04 15:15:41.599072,0 days 00:18:39.867622,0.9987941656424942,64,0.00011237596547709997,3,0.3119772667272556,0.17890545436469296,0.0010385674256703182,0.0293,10.3812,1.272692,0.2665,False,False,False,False,-1,-1,,-1,,,-1,0.9083,0.2796,0,0,7954,7956,7954,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2481,4000,4000,4000,126661.0,109266,104468,166249,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
12,1.2396086666666668,2026-09-04 15:15:41.599123,2026-09-04 15:35:21.544224,0 days 00:19:39.945101,0.9987641514934108,64,0.0001070404670365838,3,0.2933734484444377,0.19109695865554635,0.0010128791008339215,0.0628,10.8168,1.2396086666666668,0.2665,False,False,False,False,-1,-1,,-1,,,-1,0.8648,0.2616,0,0,7976,7968,7968,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2307,4000,4000,4000,149965.0,146655,176333,126907,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
13,1.3166320000000002,2026-09-04 15:35:21.544278,2026-09-04 15:55:38.106084,0 days 00:20:16.561806,0.996674556275963,64,0.00021333151258523035,3,0.3028397864798949,0.2054029587819094,0.0010444885441949986,0.0377,10.4901,1.3166320000000002,0.2665,False,False,False,False,-1,-1,,-1,,,-1,0.874,0.3391,0,0,7940,7982,7964,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2423,4000,4000,4000,164330.0,162806,99800,230384,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
