number,value,datetime_start,datetime_complete,duration,params_gamma,params_hidden_dim,params_lr,params_omega,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,24.996675333333332,2026-09-04 15:24:16.571249,2026-09-04 15:39:17.034223,0 days 00:15:00.462974,0.9576449133816793,128,0.0007661100707771367,0.22853255256339208,0.4565,15.9342,24.996675333333332,0.2665,False,False,False,False,-1,-1,,-1,,,-1,10.4073,19.1687,0,0,7994,7994,7996,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1056,4000,4000,4000,9981.6667,10778,9472,9695,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,10.971798666666666,2026-09-04 15:39:17.034273,2026-09-04 15:54:39.835909,0 days 00:15:22.801636,0.9510086402204943,128,0.0011114989443094978,17.052641538983092,0.2639,13.4305,10.971798666666666,0.2665,False,False,False,False,-1,-1,,-1,,,-1,6.0624,7.3548,0,0,7988,7998,7998,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1214,4000,4000,4000,10483.0,10836,9900,10713,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,15.732075333333333,2026-09-04 15:54:39.835956,2026-09-04 16:10:03.821339,0 days 00:15:23.985383,0.9649078699050173,64,0.00018659959624904942,1.6124278458562613,0.4127,15.3647,15.732075333333333,0.2665,False,False,False,False,-1,-1,,-1,,,-1,7.0302,11.6014,0,0,7998,7998,7998,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1119,4000,4000,4000,12156.0,12864,11441,12163,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,17.500458666666663,2026-09-04 16:10:03.821388,2026-09-04 16:26:35.124976,0 days 00:16:31.303588,0.9643150877782256,256,0.000160712385120399,0.6966418981413739,0.4502,15.8524,17.500458666666663,0.2665,False,False,False,False,-1,-1,,-1,,,-1,7.9712,12.8918,0,0,7998,7994,7994,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.098,4000,4000,4000,11589.6667,12194,11033,11542,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,33.713378666666664,2026-09-04 16:26:35.125024,2026-09-04 16:43:24.376444,0 days 00:16:49.251420,0.97902831387424,128,0.0005748924681991981,0.12790390175145838,0.4626,16.0141,33.713378666666664,0.2665,False,False,False,False,-1,-1,,-1,,,-1,12.3294,26.9231,0,0,7994,7994,7996,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1027,4000,4000,4000,8408.0,9431,7697,8096,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,14.891692,2026-09-04 16:43:24.376492,2026-09-04 16:59:25.314610,0 days 00:16:00.938118,0.9973159696206534,64,0.00252126790477792,7.246804518258447,0.4067,15.2864,14.891692,0.2665,False,False,False,False,-1,-1,,-1,,,-1,7.2384,10.6581,0,0,7998,7998,7994,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1095,4000,4000,4000,10099.0,10289,9836,10172,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,13.051482,2026-09-04 16:59:25.314657,2026-09-04 17:21:14.665232,0 days 00:21:49.350575,0.9559798735073941,256,0.00044684675025045853,1.378532226784798,0.4275,15.5578,13.051482,0.2665,False,False,False,False,-1,-1,,-1,,,-1,6.8604,9.0027,0,0,7996,7998,7994,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1082,4000,4000,4000,12615.3333,13020,12394,12432,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,14.885415333333336,2026-09-04 17:21:14.665282,2026-09-04 17:39:36.414415,0 days 00:18:21.749133,0.9652738427283811,128,0.0009519754482692679,1.572867419497858,0.4347,15.6511,14.885415333333336,0.2665,False,False,False,False,-1,-1,,-1,,,-1,7.4463,10.5423,0,0,7994,7998,7994,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.0978,4000,4000,4000,11574.3333,12187,11272,11264,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,14.038295333333332,2026-09-04 17:39:36.414464,2026-09-04 17:58:05.983029,0 days 00:18:29.568565,0.9960354481366452,256,0.0013962563737015762,11.455777613940603,0.3509,14.5622,14.038295333333332,0.2665,False,False,False,False,-1,-1,,-1,,,-1,6.9839,9.9431,0,0,7994,7990,7998,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1178,4000,4000,4000,10707.0,11113,10041,10967,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,17.556565333333335,2026-09-04 17:58:05.983078,2026-09-04 18:16:03.151107,0 days 00:17:57.168029,0.9522161371566163,128,0.0001947558230629544,0.5605248221933016,0.4532,15.8916,17.556565333333335,0.2665,False,False,False,False,-1,-1,,-1,,,-1,8.0433,12.9112,0,0,7998,7994,7998,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1022,4000,4000,4000,11991.6667,13007,10925,12043,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
