number,value,datetime_start,datetime_complete,duration,params_epsilon_decay,params_gamma,params_hidden_dim,params_lr,params_per_alpha,params_target_update_freq,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_mean_aoi,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_update_failures,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,38.43104533333332,2026-09-04 11:30:39.354246,2026-09-04 11:46:28.958831,0 days 00:15:49.604585,0.9957105926115605,0.9576449133816793,128,0.0007661100707771367,0.6832290311184182,1000,0.2763,13.5914,38.43104533333332,0.2665,False,False,False,False,-1,-1,,-1,,,-1,12.6856,31.4999,0,0,7988,7934,7998,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1504,4000,4000,4000,7156.0,7809,6730,6929,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,19.53944866666666,2026-09-04 11:46:28.958910,2026-09-04 12:02:29.926739,0 days 00:16:00.967829,0.9941034776771002,0.9589094233931479,128,0.00020589728197687926,0.5164916560792168,1000,0.1344,11.7466,19.53944866666666,0.2665,False,False,False,False,-1,-1,,-1,,,-1,7.1777,15.3907,0,0,7994,7988,7988,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2077,4000,4000,4000,21219.3333,22370,26397,14891,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,15.349072,2026-09-04 12:02:29.926815,2026-09-04 12:17:40.747995,0 days 00:15:10.821180,0.9956279384041894,0.9723474292266348,64,0.0003476649150592621,0.4185801650879991,200,0.1187,11.5437,15.349072,0.2665,False,False,False,False,-1,-1,,-1,,,-1,6.204,11.6903,0,0,7990,7998,7988,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1813,4000,4000,4000,14647.0,17052,11230,15659,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,35.345698666666664,2026-09-04 12:17:40.748048,2026-09-04 12:32:35.313743,0 days 00:14:54.565695,0.9965002137518655,0.9973159696206534,64,0.00252126790477792,0.5760609974958406,200,0.2472,13.2139,35.345698666666664,0.2665,False,False,False,False,-1,-1,,-1,,,-1,11.5032,29.0116,0,0,7954,7972,7988,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1546,4000,4000,4000,11550.3333,14943,6730,12978,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,27.713648666666668,2026-09-04 12:32:35.313800,2026-09-04 12:49:24.231745,0 days 00:16:48.917945,0.9951937476537612,0.9626802190984008,128,0.0022038218939289885,0.4739417822102108,200,0.2342,13.0449,27.713648666666668,0.2665,False,False,False,False,-1,-1,,-1,,,-1,10.0584,22.1046,0,0,7994,7998,7998,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1635,4000,4000,4000,10974.3333,10510,10498,11915,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,38.78293866666667,2026-09-04 12:49:24.231808,2026-09-04 13:04:34.075147,0 days 00:15:09.843339,0.9904296592446501,0.9792970989617431,64,0.0020978213384576817,0.5301321323053058,200,0.2907,13.7796,38.78293866666667,0.2665,False,False,False,False,-1,-1,,-1,,,-1,13.005,31.6892,0,0,7998,7988,7986,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1575,4000,4000,4000,9633.6667,11996,9095,7810,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,12.834275333333332,2026-09-04 13:04:34.075201,2026-09-04 13:21:11.825259,0 days 00:16:37.750058,0.9907082311149579,0.9637657909746816,256,0.0003364867144187955,0.7947547746402069,1000,0.0978,11.2718,12.834275333333332,0.2665,False,False,False,False,-1,-1,,-1,,,-1,5.9515,9.3059,0,0,7990,7972,7986,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.19,4000,4000,4000,21160.6667,40829,8760,13893,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,42.69236866666666,2026-09-04 13:21:11.825311,2026-09-04 13:36:22.348860,0 days 00:15:10.523549,0.9934054244211706,0.9846360098485332,64,0.0016015312171361203,0.4463476238100519,500,0.2898,13.767,42.69236866666666,0.2665,False,False,False,False,-1,-1,,-1,,,-1,14.0132,35.0948,0,0,7994,7988,7988,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.153,4000,4000,4000,8088.6667,5987,7873,10406,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,12.990452,2026-09-04 13:36:22.348911,2026-09-04 13:51:53.963087,0 days 00:15:31.614176,0.9984285210544751,0.9652381337640674,64,0.00012413189635294234,0.5888859700647797,500,0.1103,11.4338,12.990452,0.2665,False,False,False,False,-1,-1,,-1,,,-1,5.2791,9.7958,0,0,7998,7988,7988,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.223,4000,4000,4000,38613.0,21330,17991,76518,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,32.717242,2026-09-04 13:51:53.963135,2026-09-04 14:08:58.298022,0 days 00:17:04.334887,0.9902414817040689,0.9877773918177735,256,0.0006746437142284312,0.4431565707973218,500,0.262,13.4058,32.717242,0.2665,False,False,False,False,-1,-1,,-1,,,-1,11.8431,26.2102,0,0,7994,7998,7972,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1557,4000,4000,4000,9110.3333,9785,8629,8917,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
10,23.961808666666666,2026-09-04 14:08:58.298075,2026-09-04 14:24:06.315963,0 days 00:15:08.017888,0.9919301845420238,0.9503698186464984,256,0.00034456398189694866,0.7630659181130072,1000,0.1695,12.2036,23.961808666666666,0.2665,False,False,False,False,-1,-1,,-1,,,-1,9.3099,18.7399,0,0,7954,7988,7994,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1705,4000,4000,4000,11439.6667,12011,8976,13332,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
11,16.778245333333334,2026-09-04 14:24:06.316016,2026-09-04 14:38:59.176571,0 days 00:14:52.860555,0.9994263246031075,0.9664049636349386,256,0.00010828148415119173,0.6469817891972085,500,0.1859,12.417,16.778245333333334,0.2665,False,False,False,False,-1,-1,,-1,,,-1,6.7695,12.8233,0,0,7954,7998,7938,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1711,4000,4000,4000,11363.3333,13807,9366,10917,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
12,10.952828666666667,2026-09-04 14:38:59.176623,2026-09-04 14:54:00.776379,0 days 00:15:01.599756,0.9982188038016471,0.9691171241356731,256,0.00011373436791696058,0.7935240098086288,1000,0.0709,10.9219,10.952828666666667,0.2665,False,False,False,False,-1,-1,,-1,,,-1,4.8085,8.0013,0,0,7982,7998,7988,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.2025,4000,4000,4000,20248.3333,15368,26300,19077,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
13,17.825365333333334,2026-09-04 14:54:00.776426,2026-09-04 15:09:07.124598,0 days 00:15:06.348172,0.9973948322351016,0.9725449505892367,256,0.00020732558493765613,0.7805226241742631,1000,0.1467,11.9071,17.825365333333334,0.2665,False,False,False,False,-1,-1,,-1,,,-1,7.2167,13.6546,0,0,7972,7998,7972,600983.6667,674679,548703,579569,0,coverage_outage_rate,0.2665,0.1821,4000,4000,4000,16736.0,25126,12573,12509,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
