number,value,datetime_start,datetime_complete,duration,params_actor_lr,params_critic_lr,params_gamma,params_global_critic_weight,params_gumbel_tau,params_hidden_dim,params_tau,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_max_cbr,user_attrs_mean_aoi,user_attrs_mean_cbr,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_searched_hparams,user_attrs_n_update_failures,user_attrs_obj_term_aoi,user_attrs_obj_term_error,user_attrs_obj_term_loss,user_attrs_obj_term_power,user_attrs_obj_terms_sum,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_searched_hparam_keys,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_abandoned,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,12.030439999999999,2026-09-08 00:10:24.658159,2026-09-08 00:55:50.515226,0 days 00:45:25.857067,0.0007661100707771367,0.0001700037298921101,0.9562397808134481,0.7929409166199481,1.4016725176148133,128,0.0011900590783184247,0.3447,14.4814,12.030439999999999,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1359,3.9195,0.0662,9.0821,0,0,7974,7974,7974,596022.0,616033,609667,562366,7,0,1.959767,9.082133,0.9196,0.06894,12.03044,coverage_outage_rate,0.2624,0.4598,"actor_lr,critic_lr,gamma,global_critic_weight,gumbel_tau,hidden_dim,tau",4000,4000,4000,743.6667,236355.6667,239685,267317,202065,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,8.898620000000001,2026-09-08 00:55:50.515285,2026-09-08 01:39:51.787959,0 days 00:44:01.272674,0.0016967533607196547,0.00020589728197687926,0.957272998688284,0.3433937943676302,1.2871346474483567,256,0.0017322667470546255,0.0396,10.5152,8.898620000000001,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1411,2.5468,0.0767,6.5894,0,0,7976,7976,7976,596022.0,616033,609667,562366,7,0,1.2734,6.589367,1.027933,0.00792,8.89862,coverage_outage_rate,0.2624,0.514,"actor_lr,critic_lr,gamma,global_critic_weight,gumbel_tau,hidden_dim,tau",4000,4000,4000,1695.6667,273748.3333,258167,292722,270356,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,25.851813333333336,2026-09-08 01:39:51.788013,2026-09-08 02:15:43.027459,0 days 00:35:51.239446,0.000160712385120399,0.00027010527749605503,0.9646544737317476,0.728140769114411,0.7995106732375397,256,0.003920673972242136,0.2532,13.292,25.851813333333336,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1019,9.2067,0.0247,20.4634,0,0,7980,7972,7972,596022.0,616033,609667,562366,7,0,4.603333,20.463367,0.734467,0.050647,25.851813,coverage_outage_rate,0.2624,0.3672,"actor_lr,critic_lr,gamma,global_critic_weight,gumbel_tau,hidden_dim,tau",4000,4000,4000,382.3333,88168.3333,78677,30719,155109,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,26.302386666666667,2026-09-08 02:15:43.027513,2026-09-08 03:01:19.189706,0 days 00:45:36.162193,0.0007896186801026692,0.0001786013788939711,0.9526020637194111,0.8725056264596475,1.7125960221746916,128,0.017160445029754806,0.2678,13.4812,26.302386666666667,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1344,7.7808,0.0506,21.4282,0,0,7978,7976,7976,596022.0,616033,609667,562366,7,0,3.8904,21.428233,0.9302,0.053553,26.302387,coverage_outage_rate,0.2624,0.4651,"actor_lr,critic_lr,gamma,global_critic_weight,gumbel_tau,hidden_dim,tau",4000,4000,4000,1034.6667,180670.3333,198806,263350,79855,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,16.113743333333336,2026-09-08 03:01:19.189781,2026-09-08 03:34:55.500355,0 days 00:33:36.310574,0.00044684675025045853,0.00015144860262751404,0.9698070764044507,0.8274563216630256,0.8881699724000254,256,0.0011085122517311705,0.0381,10.4958,16.113743333333336,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1269,5.5984,0.0489,12.4021,0,0,7972,7976,7976,596022.0,616033,609667,562366,7,0,2.799183,12.402133,0.9048,0.007627,16.113743,coverage_outage_rate,0.2624,0.4524,"actor_lr,critic_lr,gamma,global_critic_weight,gumbel_tau,hidden_dim,tau",4000,4000,4000,902.0,174466.0,217401,103433,202564,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,27.984423333333336,2026-09-08 03:34:55.500406,2026-09-08 03:58:38.728158,0 days 00:23:43.227752,0.000642033033629786,0.00018752209455786411,0.9887833851105823,0.8515991532513513,1.8422410256414732,64,0.010196967939171487,0.04,10.5201,27.984423333333336,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1269,9.2117,0.0442,22.4899,0,0,7980,7970,7974,596022.0,616033,609667,562366,7,0,4.60585,22.4899,0.880667,0.008007,27.984423,coverage_outage_rate,0.2624,0.4403,"actor_lr,critic_lr,gamma,global_critic_weight,gumbel_tau,hidden_dim,tau",4000,4000,4000,841.0,157553.3333,161863,251376,59421,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,17.411856666666665,2026-09-08 03:58:38.728211,2026-09-08 04:25:25.739294,0 days 00:26:47.011083,0.0001947558230629544,0.00011662890273931399,0.9630132132305306,0.3170792254191167,1.743106263727894,128,0.003203913722293046,0.5642,17.3348,17.411856666666665,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1258,5.5378,0.0519,13.7801,0,0,7982,7974,7976,596022.0,616033,609667,562366,7,0,2.768917,13.7801,0.75,0.11284,17.411857,coverage_outage_rate,0.2624,0.375,"actor_lr,critic_lr,gamma,global_critic_weight,gumbel_tau,hidden_dim,tau",4000,4000,4000,318.0,185190.6667,188283,175702,191587,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,19.048176666666663,2026-09-08 04:25:25.739349,2026-09-08 04:50:54.270395,0 days 00:25:28.531046,0.00016149614799999194,0.0015308837415731389,0.9529820257471908,0.717795815437326,0.7980735223012586,256,0.01922956707454338,0.1061,11.3798,19.048176666666663,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0396,8.2254,0.0032,14.4472,0,0,7972,7980,7978,596022.0,616033,609667,562366,7,0,4.112683,14.4472,0.467067,0.021227,19.048177,coverage_outage_rate,0.2624,0.2335,"actor_lr,critic_lr,gamma,global_critic_weight,gumbel_tau,hidden_dim,tau",4000,4000,4000,38.0,11487.3333,11886,13009,9567,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,21.832396666666664,2026-09-08 04:50:54.270449,2026-09-08 05:16:04.122799,0 days 00:25:09.852350,0.001193526270851053,0.0013780336485752,0.9529617860693635,0.1926952476201038,1.7946551388133902,128,0.002926676128549072,0.0672,10.8738,21.832396666666664,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0567,8.967,0.0053,16.7531,0,0,7968,7980,7966,596022.0,616033,609667,562366,7,0,4.483483,16.753133,0.582333,0.013447,21.832397,coverage_outage_rate,0.2624,0.2912,"actor_lr,critic_lr,gamma,global_critic_weight,gumbel_tau,hidden_dim,tau",4000,4000,4000,52.6667,18803.6667,17063,19025,20323,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,18.82999,2026-09-08 05:16:04.122852,2026-09-08 05:37:50.614117,0 days 00:21:46.491265,0.0002879775265707035,0.0003022283475646735,0.9791842471335226,0.8097701940610612,1.2083223877429239,64,0.006752761235642017,0.3432,14.4619,18.82999,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1363,5.9405,0.054,14.8796,0,0,7978,7978,7976,596022.0,616033,609667,562366,7,0,2.97025,14.879633,0.911467,0.06864,18.82999,coverage_outage_rate,0.2624,0.4557,"actor_lr,critic_lr,gamma,global_critic_weight,gumbel_tau,hidden_dim,tau",4000,4000,4000,740.6667,192653.3333,198094,171432,208434,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
