number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,params_hidden_dim,params_learning_rate,params_n_epochs,params_vf_coef,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_max_cbr,user_attrs_mean_aoi,user_attrs_mean_cbr,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_searched_hparams,user_attrs_n_update_failures,user_attrs_obj_term_aoi,user_attrs_obj_term_error,user_attrs_obj_term_loss,user_attrs_obj_term_power,user_attrs_obj_terms_sum,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_searched_hparam_keys,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_abandoned,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,45.49417,2026-09-07 16:30:33.355546,2026-09-07 16:59:18.437581,0 days 00:28:45.082035,0.13119890406724052,0.0001434715951720141,0.9562407456176975,128,0.0007661100707771367,10,0.7197056874649612,0.2888,13.7543,45.49417,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0754,14.9272,0.0056,37.3976,0,0,7998,7996,7998,596022.0,616033,609667,562366,7,0,7.463617,37.3976,0.5752,0.057753,45.49417,coverage_outage_rate,0.2624,0.2876,"clip_range,ent_coef,gamma,hidden_dim,learning_rate,n_epochs,vf_coef",4000,4000,4000,160.6667,19847.3333,6269,47898,5375,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,30.43534,2026-09-07 16:59:18.437654,2026-09-07 17:27:30.546071,0 days 00:28:12.108417,0.16084844859190756,0.002607965659809585,0.9573361803941374,64,0.00018559980846490597,10,0.4591670111852695,0.4059,15.2763,30.43534,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0161,11.1839,0.0017,24.4892,0,0,7996,7994,7996,596022.0,616033,609667,562366,7,0,5.591933,24.489167,0.273067,0.081173,30.43534,coverage_outage_rate,0.2624,0.1365,"clip_range,ent_coef,gamma,hidden_dim,learning_rate,n_epochs,vf_coef",4000,4000,4000,14.6667,6151.6667,6560,6140,5755,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,52.040623333333336,2026-09-07 17:27:30.546139,2026-09-07 17:49:17.693247,0 days 00:21:47.147108,0.2028468876827223,0.003971084710792475,0.9579869512863344,256,0.0014447746112718689,4,0.22787024763199865,0.376,14.8886,52.040623333333336,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1441,16.5592,0.0123,42.8823,0,0,7996,7996,7996,596022.0,616033,609667,562366,7,0,8.279583,42.8823,0.803533,0.075207,52.040623,coverage_outage_rate,0.2624,0.4018,"clip_range,ent_coef,gamma,hidden_dim,learning_rate,n_epochs,vf_coef",4000,4000,4000,126.3333,43979.6667,53646,62858,15435,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,36.29313666666667,2026-09-07 17:49:17.693303,2026-09-07 18:29:18.658900,0 days 00:40:00.965597,0.23684660530243137,0.0015415527060141947,0.9539068845602553,128,0.00028180680291847244,20,0.27322294090686733,0.3579,14.6534,36.29313666666667,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0194,12.9239,0.002,29.4235,0,0,7998,7996,7996,596022.0,616033,609667,562366,7,0,6.46195,29.423533,0.336067,0.071587,36.293137,coverage_outage_rate,0.2624,0.168,"clip_range,ent_coef,gamma,hidden_dim,learning_rate,n_epochs,vf_coef",4000,4000,4000,18.0,7132.0,6776,7564,7056,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,39.846916666666665,2026-09-07 18:29:18.658953,2026-09-07 18:50:08.090758,0 days 00:20:49.431805,0.1369708911051054,0.04138851334163269,0.9718684111737311,128,0.000586412916969653,4,0.6650796940166688,0.3532,14.5911,39.846916666666665,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0198,13.5305,0.0018,32.661,0,0,7996,7996,7998,596022.0,616033,609667,562366,7,0,6.76525,32.661033,0.35,0.070633,39.846917,coverage_outage_rate,0.2624,0.175,"clip_range,ent_coef,gamma,hidden_dim,learning_rate,n_epochs,vf_coef",4000,4000,4000,15.0,6356.6667,6339,6534,6197,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,29.285566666666668,2026-09-07 18:50:08.090817,2026-09-07 19:30:23.909383,0 days 00:40:15.818566,0.1777354579378964,0.0005399616272305192,0.9630132132305306,64,0.00011662890273931399,20,0.6972425054911577,0.3487,14.5328,29.285566666666668,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0202,10.9632,0.0019,23.4166,0,0,7998,7998,7996,596022.0,616033,609667,562366,7,0,5.4816,23.416633,0.3176,0.069733,29.285567,coverage_outage_rate,0.2624,0.1588,"clip_range,ent_coef,gamma,hidden_dim,learning_rate,n_epochs,vf_coef",4000,4000,4000,16.3333,6676.0,6625,7054,6349,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,50.95444666666666,2026-09-07 19:30:23.909440,2026-09-07 20:12:08.897439,0 days 00:41:44.987999,0.1397431363068345,0.00010349134435467596,0.9808897907718663,128,0.002869139536545374,20,0.6892768570729007,0.3499,14.549,50.95444666666666,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0937,16.4983,0.019,41.9197,0,0,7996,7998,7996,596022.0,616033,609667,562366,7,0,8.249167,41.9197,0.7156,0.06998,50.954447,coverage_outage_rate,0.2624,0.3578,"clip_range,ent_coef,gamma,hidden_dim,learning_rate,n_epochs,vf_coef",4000,4000,4000,186.6667,67716.0,118956,80595,3597,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,52.84525,2026-09-07 20:12:08.897489,2026-09-07 20:41:31.661188,0 days 00:29:22.763699,0.16617960497052983,0.00014843697010415803,0.9749319250731023,128,0.0018832519048593583,10,0.3865893930293973,0.1027,11.3343,52.84525,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1247,16.2832,0.0144,43.8656,0,0,7996,7998,7996,596022.0,616033,609667,562366,7,0,8.141617,43.865633,0.817467,0.020533,52.84525,coverage_outage_rate,0.2624,0.4087,"clip_range,ent_coef,gamma,hidden_dim,learning_rate,n_epochs,vf_coef",4000,4000,4000,220.6667,51224.0,37852,12371,103449,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,31.831306666666666,2026-09-07 20:41:31.661241,2026-09-07 21:02:29.959630,0 days 00:20:58.298389,0.21225543951389925,0.012045290903541863,0.9804314019446759,64,0.001131225105716033,4,0.4962773578186345,0.3354,14.36,31.831306666666666,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0202,11.5476,0.0019,25.6721,0,0,7998,7998,7994,596022.0,616033,609667,562366,7,0,5.7738,25.6721,0.318333,0.067073,31.831307,coverage_outage_rate,0.2624,0.1592,"clip_range,ent_coef,gamma,hidden_dim,learning_rate,n_epochs,vf_coef",4000,4000,4000,17.0,6699.6667,6733,7265,6101,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,29.21081,2026-09-07 21:02:29.959685,2026-09-07 21:23:28.583634,0 days 00:20:58.623949,0.2815132947852186,0.0004707954411452841,0.9703428276465881,256,0.0002913009501549591,4,0.44622975382137786,0.3193,14.1506,29.21081,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0231,10.899,0.0018,23.3712,0,0,7996,7998,7998,596022.0,616033,609667,562366,7,0,5.449517,23.371233,0.3262,0.06386,29.21081,coverage_outage_rate,0.2624,0.1631,"clip_range,ent_coef,gamma,hidden_dim,learning_rate,n_epochs,vf_coef",4000,4000,4000,15.0,6551.0,7130,6990,5533,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
