number,value,datetime_start,datetime_complete,duration,params_clip_ratio,params_entropy_coef,params_gamma,params_hidden_dim,params_lr_actor,params_lr_critic,params_value_coef,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_max_cbr,user_attrs_mean_aoi,user_attrs_mean_cbr,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_searched_hparams,user_attrs_n_update_failures,user_attrs_obj_term_aoi,user_attrs_obj_term_error,user_attrs_obj_term_loss,user_attrs_obj_term_power,user_attrs_obj_terms_sum,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_searched_hparam_keys,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_abandoned,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,12.22836,2026-09-07 16:30:41.186180,2026-09-07 16:49:51.083982,0 days 00:19:09.897802,0.1116167224336399,0.021766241123453687,0.9562397808134481,128,0.0007661100707771367,0.0001700037298921101,0.5606690070459254,0.3408,14.4301,12.22836,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0093,7.0178,0.0021,8.4222,0,0,7992,7990,7982,596022.0,616033,609667,562366,7,0,3.5089,8.422167,0.229133,0.06816,12.22836,coverage_outage_rate,0.2624,0.1146,"clip_ratio,entropy_coef,gamma,hidden_dim,lr_actor,lr_critic,value_coef",4000,4000,4000,6.6667,7329.0,8135,7181,6671,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,11.430050000000001,2026-09-07 16:49:51.084057,2026-09-07 17:08:47.860226,0 days 00:18:56.776169,0.13668090197068677,0.0006624310605949989,0.957272998688284,256,0.0016967533607196547,0.00020589728197687926,0.5148538589793428,0.3455,14.4915,11.430050000000001,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0105,6.8276,0.002,7.6907,0,0,7990,7984,7990,596022.0,616033,609667,562366,7,0,3.413817,7.690667,0.256467,0.0691,11.43005,coverage_outage_rate,0.2624,0.1282,"clip_ratio,entropy_coef,gamma,hidden_dim,lr_actor,lr_critic,value_coef",4000,4000,4000,7.6667,7049.0,7492,6680,6975,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,16.1446,2026-09-07 17:08:47.860288,2026-09-07 17:27:02.171629,0 days 00:18:14.311341,0.19121399684340717,0.013157287601765641,0.9646544737317476,256,0.000160712385120399,0.00027010527749605503,0.3198042692950159,0.3985,15.1803,16.1446,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0101,8.1563,0.0019,11.7854,0,0,7992,7990,7990,596022.0,616033,609667,562366,7,0,4.078133,11.785367,0.2014,0.0797,16.1446,coverage_outage_rate,0.2624,0.1007,"clip_ratio,entropy_coef,gamma,hidden_dim,lr_actor,lr_critic,value_coef",4000,4000,4000,3.0,6684.0,7136,6703,6213,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,11.08072,2026-09-07 17:27:02.171682,2026-09-07 17:45:32.847928,0 days 00:18:30.676246,0.28977710745066665,0.04038423798071561,0.9526020637194111,128,0.0007896186801026692,0.0001786013788939711,0.6850384088698768,0.2449,13.1845,11.08072,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0112,6.5231,0.0023,7.4495,0,0,7994,7990,7994,596022.0,616033,609667,562366,7,0,3.261533,7.449467,0.320733,0.048987,11.08072,coverage_outage_rate,0.2624,0.1604,"clip_ratio,entropy_coef,gamma,hidden_dim,lr_actor,lr_critic,value_coef",4000,4000,4000,18.0,8039.6667,8134,8320,7665,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,16.2877,2026-09-07 17:45:32.847983,2026-09-07 18:03:55.862540,0 days 00:18:23.014557,0.10687770422304368,0.02845958019429148,0.9698070764044507,256,0.00044684675025045853,0.00015144860262751404,0.3552679889600102,0.3505,14.5571,16.2877,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0093,8.2785,0.0018,11.8453,0,0,7990,7988,7986,596022.0,616033,609667,562366,7,0,4.139267,11.845333,0.233,0.0701,16.2877,coverage_outage_rate,0.2624,0.1165,"clip_ratio,entropy_coef,gamma,hidden_dim,lr_actor,lr_critic,value_coef",4000,4000,4000,6.0,6405.3333,6792,6743,5681,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,14.613606666666668,2026-09-07 18:03:55.862592,2026-09-07 18:21:38.605817,0 days 00:17:42.743225,0.2550265646722229,0.0343304473310619,0.9887833851105823,64,0.000642033033629786,0.00018752209455786411,0.7368964102565894,0.3182,14.1364,14.613606666666668,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0101,7.6951,0.002,10.419,0,0,7988,7990,7988,596022.0,616033,609667,562366,7,0,3.847533,10.419033,0.2834,0.06364,14.613607,coverage_outage_rate,0.2624,0.1417,"clip_ratio,entropy_coef,gamma,hidden_dim,lr_actor,lr_critic,value_coef",4000,4000,4000,7.6667,6980.0,7449,7082,6409,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,14.212800000000001,2026-09-07 18:21:38.605869,2026-09-07 18:41:31.328914,0 days 00:19:52.723045,0.1777354579378964,0.0005399616272305192,0.9630132132305306,128,0.0001947558230629544,0.00011662890273931399,0.6972425054911577,0.3557,14.6237,14.212800000000001,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0097,7.5586,0.002,10.1282,0,0,7988,7990,7992,596022.0,616033,609667,562366,7,0,3.7793,10.128167,0.2342,0.071133,14.2128,coverage_outage_rate,0.2624,0.1171,"clip_ratio,entropy_coef,gamma,hidden_dim,lr_actor,lr_critic,value_coef",4000,4000,4000,4.0,7244.3333,7080,7451,7202,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,16.727296666666664,2026-09-07 18:41:31.328968,2026-09-07 18:59:48.533514,0 days 00:18:17.204546,0.29737738732010344,0.012141307774357374,0.9529820257471908,256,0.00016149614799999194,0.0015308837415731389,0.31922940892050344,0.3797,14.9365,16.727296666666664,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0105,8.2006,0.0019,12.3249,0,0,7992,7992,7992,596022.0,616033,609667,562366,7,0,4.100283,12.324867,0.2262,0.075947,16.727297,coverage_outage_rate,0.2624,0.1131,"clip_ratio,entropy_coef,gamma,hidden_dim,lr_actor,lr_critic,value_coef",4000,4000,4000,8.3333,6807.0,7049,7386,5986,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,10.280083333333332,2026-09-07 18:59:48.533564,2026-09-07 19:20:01.215227,0 days 00:20:12.681663,0.17169314570885452,0.0002054599206680897,0.9529617860693635,128,0.001193526270851053,0.0013780336485752,0.7178620555253561,0.4102,15.3319,10.280083333333332,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0138,6.2866,0.0021,6.8691,0,0,7994,7990,7988,596022.0,616033,609667,562366,7,0,3.143317,6.869133,0.1856,0.082033,10.280083,coverage_outage_rate,0.2624,0.0928,"clip_ratio,entropy_coef,gamma,hidden_dim,lr_actor,lr_critic,value_coef",4000,4000,4000,3.0,7336.0,7769,7564,6675,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,13.697713333333335,2026-09-07 19:20:01.215281,2026-09-07 19:37:22.457592,0 days 00:17:21.242311,0.2275114942710426,0.024806219351771016,0.9791842471335226,64,0.0002879775265707035,0.0003022283475646735,0.4833289550971696,0.3991,15.1878,13.697713333333335,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0131,7.4529,0.002,9.6664,0,0,7988,7990,7994,596022.0,616033,609667,562366,7,0,3.726433,9.6664,0.225067,0.079813,13.697713,coverage_outage_rate,0.2624,0.1125,"clip_ratio,entropy_coef,gamma,hidden_dim,lr_actor,lr_critic,value_coef",4000,4000,4000,6.6667,7285.6667,7415,7167,7275,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
