number,value,datetime_start,datetime_complete,duration,params_gamma,params_hidden_dim,params_learning_rate,params_target_update_interval,params_tau,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_max_cbr,user_attrs_mean_aoi,user_attrs_mean_cbr,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_searched_hparams,user_attrs_n_update_failures,user_attrs_obj_term_aoi,user_attrs_obj_term_error,user_attrs_obj_term_loss,user_attrs_obj_term_power,user_attrs_obj_terms_sum,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_searched_hparam_keys,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_abandoned,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,3.9775666666666667,2026-09-07 21:21:04.075795,2026-09-07 21:41:51.659852,0 days 00:20:47.584057,0.9562407456176975,128,0.0007661100707771367,2,0.001595708469414836,0.2302,12.9923,3.9775666666666667,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0485,2.5175,0.0155,2.3005,0,0,7996,7994,7992,596022.0,616033,609667,562366,5,0,1.258733,2.300533,0.372267,0.046033,3.977567,coverage_outage_rate,0.2624,0.1861,"gamma,hidden_dim,learning_rate,target_update_interval,tau",4000,4000,4000,99.3333,55209.6667,60340,53148,52141,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,3.794233333333333,2026-09-07 21:41:51.659903,2026-09-07 22:03:12.859996,0 days 00:21:21.200093,0.958493564427131,256,0.0016967533607196547,4,0.0017240892195821533,0.1022,11.3283,3.794233333333333,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0724,2.5109,0.0177,2.0504,0,0,7996,7996,7996,596022.0,616033,609667,562366,5,0,1.255467,2.0504,0.467933,0.020433,3.794233,coverage_outage_rate,0.2624,0.234,"gamma,hidden_dim,learning_rate,target_update_interval,tau",4000,4000,4000,175.6667,63287.3333,63058,61300,65504,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,4.846229999999999,2026-09-07 22:03:12.860046,2026-09-07 22:25:53.622266,0 days 00:22:40.762220,0.9616857859414087,256,0.000160712385120399,2,0.0029967309097101583,0.4387,15.7036,4.846229999999999,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0444,2.7922,0.0166,3.1061,0,0,7994,7994,7996,596022.0,616033,609667,562366,5,0,1.396083,3.106067,0.256333,0.087747,4.84623,coverage_outage_rate,0.2624,0.1282,"gamma,hidden_dim,learning_rate,target_update_interval,tau",4000,4000,4000,52.3333,59241.6667,60520,62121,55084,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,3.91461,2026-09-07 22:25:53.622320,2026-09-07 22:48:39.180492,0 days 00:22:45.558172,0.9568209649474916,128,0.0007896186801026692,2,0.0012151617026673375,0.2101,12.7316,3.91461,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0549,2.2929,0.017,2.3373,0,0,7996,7996,7990,596022.0,616033,609667,562366,5,0,1.14645,2.337333,0.3888,0.042027,3.91461,coverage_outage_rate,0.2624,0.1944,"gamma,hidden_dim,learning_rate,target_update_interval,tau",4000,4000,4000,125.6667,60610.0,53763,57135,70932,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,3.717983333333333,2026-09-07 22:48:39.180554,2026-09-07 23:13:05.032964,0 days 00:24:25.852410,0.9548815293937911,256,0.00044684675025045853,2,0.004407984038169242,0.3412,14.4348,3.717983333333333,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0519,2.2222,0.0195,2.2299,0,0,7996,7996,7996,596022.0,616033,609667,562366,5,0,1.111117,2.2299,0.308733,0.068233,3.717983,coverage_outage_rate,0.2624,0.1544,"gamma,hidden_dim,learning_rate,target_update_interval,tau",4000,4000,4000,91.3333,69639.6667,71502,72557,64860,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,5.216516666666667,2026-09-07 23:13:05.033012,2026-09-07 23:35:03.269249,0 days 00:21:58.236237,0.957394178221021,64,0.000642033033629786,2,0.01825823043920025,0.3677,14.7793,5.216516666666667,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0426,3.5984,0.0115,3.0582,0,0,7996,7994,7992,596022.0,616033,609667,562366,5,0,1.799183,3.0582,0.2856,0.073533,5.216517,coverage_outage_rate,0.2624,0.1428,"gamma,hidden_dim,learning_rate,target_update_interval,tau",4000,4000,4000,48.6667,41059.6667,42973,41446,38760,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,5.463033333333333,2026-09-07 23:35:03.269302,2026-09-07 23:57:15.847124,0 days 00:22:12.577822,0.9518090915564215,128,0.0001947558230629544,4,0.0026501137707458976,0.4313,15.6073,5.463033333333333,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0385,3.206,0.0143,3.5136,0,0,7996,7996,7994,596022.0,616033,609667,562366,5,0,1.603,3.513633,0.260133,0.086267,5.463033,coverage_outage_rate,0.2624,0.1301,"gamma,hidden_dim,learning_rate,target_update_interval,tau",4000,4000,4000,46.0,50934.0,52227,52662,47913,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,5.819683333333334,2026-09-07 23:57:15.847184,2026-09-08 00:20:09.286794,0 days 00:22:53.439610,0.9820878792301616,256,0.00016149614799999194,1,0.001250237795080112,0.4383,15.6986,5.819683333333334,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0381,3.2215,0.0134,3.8677,0,0,7996,7994,7994,596022.0,616033,609667,562366,5,0,1.61075,3.867733,0.253533,0.087667,5.819683,coverage_outage_rate,0.2624,0.1268,"gamma,hidden_dim,learning_rate,target_update_interval,tau",4000,4000,4000,42.0,47880.0,48838,49103,45699,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,3.5945699999999996,2026-09-08 00:20:09.286856,2026-09-08 00:43:52.633035,0 days 00:23:43.346179,0.9808508138674378,128,0.001193526270851053,4,0.0012483440997339652,0.1274,11.6562,3.5945699999999996,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.053,2.106,0.0168,2.066,0,0,7996,7996,7996,596022.0,616033,609667,562366,5,0,1.052983,2.066033,0.450067,0.025487,3.59457,coverage_outage_rate,0.2624,0.225,"gamma,hidden_dim,learning_rate,target_update_interval,tau",4000,4000,4000,188.3333,59836.3333,70845,48439,60225,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,4.223913333333333,2026-09-08 00:43:52.633087,2026-09-08 01:09:52.053806,0 days 00:25:59.420719,0.9630073328810699,64,0.0002879775265707035,2,0.008896916672592672,0.4099,15.3284,4.223913333333333,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0478,2.3036,0.0205,2.7125,0,0,7996,7994,7996,596022.0,616033,609667,562366,5,0,1.1518,2.712467,0.277667,0.08198,4.223913,coverage_outage_rate,0.2624,0.1388,"gamma,hidden_dim,learning_rate,target_update_interval,tau",4000,4000,4000,67.0,73268.6667,73608,76518,69680,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
