number,value,datetime_start,datetime_complete,duration,params_epsilon_decay,params_gamma,params_hidden_dim,params_lr_actor,params_lr_critic,params_num_res_blocks,params_tau,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_max_cbr,user_attrs_mean_aoi,user_attrs_mean_cbr,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_searched_hparams,user_attrs_n_update_failures,user_attrs_obj_term_aoi,user_attrs_obj_term_error,user_attrs_obj_term_loss,user_attrs_obj_term_power,user_attrs_obj_terms_sum,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_searched_hparam_keys,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_abandoned,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,29.595489999999998,2026-09-07 21:58:44.042306,2026-09-07 22:26:54.303293,0 days 00:28:10.260987,0.9901955526958102,0.9562397808134481,128,0.0007661100707771367,0.0001700037298921101,1,0.0011900590783184247,0.2774,13.6062,29.595489999999998,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0933,9.5678,0.0296,24.1634,0,0,7976,7986,7982,596022.0,616033,609667,562366,7,0,4.783917,24.163367,0.592733,0.055473,29.59549,coverage_outage_rate,0.2624,0.2964,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,num_res_blocks,tau",4000,4000,4000,332.6667,105653.6667,210892,33036,73033,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,32.82933666666667,2026-09-07 22:26:54.303348,2026-09-07 22:49:30.944495,0 days 00:22:36.641147,0.9913251916761944,0.9621696897183815,64,0.00018559980846490597,0.00018659959624904942,3,0.004816414530907085,0.1723,12.2396,32.82933666666667,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0358,11.6419,0.0041,26.5147,0,0,7988,7982,7972,596022.0,616033,609667,562366,7,0,5.82095,26.514733,0.4592,0.034453,32.829337,coverage_outage_rate,0.2624,0.2296,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,num_res_blocks,tau",4000,4000,4000,45.6667,14513.0,12213,19322,12004,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,34.92633333333334,2026-09-07 22:49:30.944549,2026-09-07 23:17:25.588187,0 days 00:27:54.643638,0.9906179901333602,0.9705693775365445,256,0.0014447746112718689,0.00019721610970574026,2,0.005898602410432692,0.0977,11.2699,34.92633333333334,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0978,11.3891,0.031,28.4855,0,0,7962,7978,7962,596022.0,616033,609667,562366,7,0,5.694533,28.485533,0.726733,0.019533,34.926333,coverage_outage_rate,0.2624,0.3634,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,num_res_blocks,tau",4000,4000,4000,397.3333,110664.3333,118184,101159,112650,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,28.425939999999997,2026-09-07 23:17:25.588242,2026-09-07 23:48:53.621300,0 days 00:31:28.033058,0.9986385438197485,0.9773693210604862,128,0.00028180680291847244,0.00013940346079873228,2,0.0037381058681917956,0.0992,11.2898,28.425939999999997,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0758,9.8596,0.0226,22.9017,0,0,7956,7978,7972,596022.0,616033,609667,562366,7,0,4.9298,22.9017,0.5746,0.01984,28.42594,coverage_outage_rate,0.2624,0.2873,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,num_res_blocks,tau",4000,4000,4000,253.3333,80826.3333,204893,22357,15229,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,36.13069333333333,2026-09-07 23:48:53.621355,2026-09-08 00:26:58.370054,0 days 00:38:04.748699,0.9956800497987054,0.957394178221021,128,0.000586412916969653,0.000642033033629786,2,0.01825823043920025,0.1173,11.525,36.13069333333333,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0885,12.1397,0.0184,29.3927,0,0,7988,7986,7960,596022.0,616033,609667,562366,7,0,6.069833,29.392733,0.644667,0.02346,36.130693,coverage_outage_rate,0.2624,0.3223,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,num_res_blocks,tau",4000,4000,4000,229.3333,65569.3333,64360,12111,120237,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,25.61452,2026-09-08 00:26:58.370114,2026-09-08 00:56:07.976380,0 days 00:29:09.606266,0.9951556127900034,0.9655470915875792,64,0.00011662890273931399,0.0003023795012558478,1,0.0022544116997360495,0.1083,11.4076,25.61452,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0732,9.4087,0.017,20.263,0,0,7970,7976,7982,596022.0,616033,609667,562366,7,0,4.704367,20.262967,0.625533,0.021653,25.61452,coverage_outage_rate,0.2624,0.3128,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,num_res_blocks,tau",4000,4000,4000,304.3333,60608.6667,14965,134500,32361,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,30.268536666666666,2026-09-08 00:56:07.976437,2026-09-08 01:50:55.493758,0 days 00:54:47.517321,0.9973270682935165,0.9579486272613669,128,0.002869139536545374,0.0013826083091896758,1,0.0010166803740022873,0.0331,10.4306,30.268536666666666,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1053,9.8748,0.0374,24.6391,0,0,7964,7986,7954,596022.0,616033,609667,562366,7,0,4.937383,24.639067,0.685467,0.00662,30.268537,coverage_outage_rate,0.2624,0.3427,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,num_res_blocks,tau",4000,4000,4000,423.0,133508.0,120019,158102,122403,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,35.13977666666667,2026-09-08 01:50:55.493829,2026-09-08 02:48:22.036036,0 days 00:57:26.542207,0.9960567959778746,0.9632359209941059,128,0.0018832519048593583,0.0008330803890301997,3,0.001209737992703384,0.0698,10.9072,35.13977666666667,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0918,10.9588,0.034,28.9321,0,0,7992,7980,7990,596022.0,616033,609667,562366,7,0,5.479417,28.932067,0.714333,0.01396,35.139777,coverage_outage_rate,0.2624,0.3572,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,num_res_blocks,tau",4000,4000,4000,404.6667,121239.3333,124001,109010,130707,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,42.430416666666666,2026-09-08 02:48:22.036089,2026-09-08 03:19:47.997804,0 days 00:31:25.961715,0.9902414817040689,0.9724510879027798,64,0.001131225105716033,0.0013297554090738672,2,0.01007050911290015,0.0795,11.0333,42.430416666666666,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0635,14.2236,0.0133,34.6665,0,0,7966,7988,7980,596022.0,616033,609667,562366,7,0,7.111783,34.666533,0.6362,0.0159,42.430417,coverage_outage_rate,0.2624,0.3181,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,num_res_blocks,tau",4000,4000,4000,176.6667,47522.3333,11788,76046,54733,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,31.336343333333332,2026-09-08 03:19:47.997863,2026-09-08 03:47:44.522307,0 days 00:27:56.524444,0.9907313091433735,0.9863026589570437,256,0.0002913009501549591,0.0005639239991667561,2,0.00211026340546017,0.1128,11.4666,31.336343333333332,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0556,11.1618,0.0064,25.1847,0,0,7948,7974,7970,596022.0,616033,609667,562366,7,0,5.580917,25.184667,0.5482,0.02256,31.336343,coverage_outage_rate,0.2624,0.2741,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,num_res_blocks,tau",4000,4000,4000,78.6667,22679.0,18857,36642,12538,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
