number,value,datetime_start,datetime_complete,duration,params_gamma,params_hidden_dim,params_learning_rate,params_policy_delay,params_target_noise_clip,params_target_policy_noise,params_tau,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_max_cbr,user_attrs_mean_aoi,user_attrs_mean_cbr,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_searched_hparams,user_attrs_n_update_failures,user_attrs_obj_term_aoi,user_attrs_obj_term_error,user_attrs_obj_term_loss,user_attrs_obj_term_power,user_attrs_obj_terms_sum,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_searched_hparam_keys,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_abandoned,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,11.699316666666666,2026-09-07 16:30:49.152123,2026-09-07 16:49:07.544401,0 days 00:18:18.392278,0.9562407456176975,128,0.0007661100707771367,3,0.20617534828874073,0.2416145155592091,0.001595708469414836,0.2248,12.9227,11.699316666666666,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0616,5.0604,0.0127,8.7084,0,0,7958,7962,7958,596022.0,616033,609667,562366,7,0,2.530217,8.7084,0.415733,0.044967,11.699317,coverage_outage_rate,0.2624,0.2079,"gamma,hidden_dim,learning_rate,policy_delay,target_noise_clip,target_policy_noise,tau",4000,4000,4000,83.0,45376.0,42081,13797,80250,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,7.872773333333334,2026-09-07 16:49:07.544480,2026-09-07 17:13:49.301948,0 days 00:24:41.757468,0.9573361803941374,64,0.00018559980846490597,2,0.24184815819561256,0.22237057894447587,0.002487873441981443,0.3479,14.5221,7.872773333333334,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1374,2.5641,0.0629,5.9613,0,0,7960,7968,7968,596022.0,616033,609667,562366,7,0,1.282067,5.961333,0.5598,0.069573,7.872773,coverage_outage_rate,0.2624,0.2799,"gamma,hidden_dim,learning_rate,policy_delay,target_noise_clip,target_policy_noise,tau",4000,4000,4000,520.6667,224577.0,263799,256203,153729,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,10.546986666666667,2026-09-07 17:13:49.302012,2026-09-07 17:34:27.396829,0 days 00:20:38.094817,0.9579869512863344,256,0.0014447746112718689,4,0.21951547789558387,0.1341048247374583,0.004666963767236925,0.0249,10.3242,10.546986666666667,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1034,4.1087,0.0419,7.7445,0,0,7970,7970,7968,596022.0,616033,609667,562366,7,0,2.054367,7.7445,0.743133,0.004987,10.546987,coverage_outage_rate,0.2624,0.3716,"gamma,hidden_dim,learning_rate,policy_delay,target_noise_clip,target_policy_noise,tau",4000,4000,4000,601.3333,149497.0,161013,23953,263525,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,12.63079,2026-09-07 17:34:27.396885,2026-09-07 17:54:49.884438,0 days 00:20:22.487553,0.9539068845602553,128,0.00028180680291847244,4,0.47279612062363463,0.10687770422304368,0.007766184280392887,0.5749,17.4733,12.63079,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1079,5.1174,0.0309,9.5776,0,0,7974,7978,7960,596022.0,616033,609667,562366,7,0,2.558683,9.5776,0.379533,0.114973,12.63079,coverage_outage_rate,0.2624,0.1898,"gamma,hidden_dim,learning_rate,policy_delay,target_noise_clip,target_policy_noise,tau",4000,4000,4000,224.3333,110266.3333,198742,31726,100331,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,9.744660000000001,2026-09-07 17:54:49.884494,2026-09-07 18:15:04.151203,0 days 00:20:14.266709,0.9718684111737311,128,0.000586412916969653,2,0.3793699936433256,0.27896547008552974,0.0017398074711291722,0.056,10.7274,9.744660000000001,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1064,4.3275,0.0288,7.0212,0,0,7978,7970,7962,596022.0,616033,609667,562366,7,0,2.163767,7.021233,0.548467,0.011193,9.74466,coverage_outage_rate,0.2624,0.2742,"gamma,hidden_dim,learning_rate,policy_delay,target_noise_clip,target_policy_noise,tau",4000,4000,4000,261.0,102811.0,53757,187839,66837,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,8.589973333333333,2026-09-07 18:15:04.151283,2026-09-07 18:38:05.610974,0 days 00:23:01.459691,0.9630132132305306,64,0.00011662890273931399,3,0.3628088249474746,0.15618690193747614,0.003203913722293046,0.0415,10.5398,8.589973333333333,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1393,3.1701,0.0597,6.2434,0,0,7960,7976,7968,596022.0,616033,609667,562366,7,0,1.585033,6.243367,0.753267,0.008307,8.589973,coverage_outage_rate,0.2624,0.3766,"gamma,hidden_dim,learning_rate,policy_delay,target_noise_clip,target_policy_noise,tau",4000,4000,4000,814.3333,212990.6667,206942,238393,193637,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,10.660033333333333,2026-09-07 18:38:05.611031,2026-09-07 18:57:25.317702,0 days 00:19:19.706671,0.9808897907718663,128,0.002869139536545374,3,0.4313811040057837,0.24580143360819745,0.0018135730867783408,0.0298,10.3881,10.660033333333333,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0881,4.4922,0.0235,7.7969,0,0,7964,7974,7956,596022.0,616033,609667,562366,7,0,2.2461,7.7969,0.611067,0.005967,10.660033,coverage_outage_rate,0.2624,0.3055,"gamma,hidden_dim,learning_rate,policy_delay,target_noise_clip,target_policy_noise,tau",4000,4000,4000,330.6667,83713.3333,176513,44958,29669,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,11.629823333333334,2026-09-07 18:57:25.317758,2026-09-07 19:17:57.884218,0 days 00:20:32.566460,0.9749319250731023,128,0.0018832519048593583,4,0.39126724140656394,0.24592123566761281,0.002694686557241768,0.0387,10.5033,11.629823333333334,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1075,4.384,0.0359,8.742,0,0,7974,7968,7976,596022.0,616033,609667,562366,7,0,2.192017,8.742,0.688067,0.00774,11.629823,coverage_outage_rate,0.2624,0.344,"gamma,hidden_dim,learning_rate,policy_delay,target_noise_clip,target_policy_noise,tau",4000,4000,4000,594.3333,128155.0,267049,47031,70385,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,10.834756666666665,2026-09-07 19:17:57.884282,2026-09-07 19:36:48.758385,0 days 00:18:50.874103,0.9804314019446759,64,0.001131225105716033,2,0.20762573802322856,0.18550820367170992,0.005373267600451111,0.0552,10.7175,10.834756666666665,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0956,5.0484,0.0194,7.7438,0,0,7978,7976,7966,596022.0,616033,609667,562366,7,0,2.524217,7.743833,0.555667,0.01104,10.834757,coverage_outage_rate,0.2624,0.2778,"gamma,hidden_dim,learning_rate,policy_delay,target_noise_clip,target_policy_noise,tau",4000,4000,4000,167.6667,69229.0,26303,123969,57415,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,15.97563,2026-09-07 19:36:48.758438,2026-09-07 19:56:56.337413,0 days 00:20:07.578975,0.9703428276465881,256,0.0002913009501549591,4,0.22309397294863792,0.1457596330983245,0.015162513677579235,0.0449,10.5838,15.97563,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1251,6.1787,0.0339,12.1646,0,0,7978,7974,7970,596022.0,616033,609667,562366,7,0,3.08935,12.164633,0.712667,0.00898,15.97563,coverage_outage_rate,0.2624,0.3563,"gamma,hidden_dim,learning_rate,policy_delay,target_noise_clip,target_policy_noise,tau",4000,4000,4000,394.3333,121008.3333,117518,102846,142661,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
