number,value,datetime_start,datetime_complete,duration,params_epsilon_decay,params_gamma,params_hidden_dim,params_lr_actor,params_lr_critic,params_lr_q,params_tau,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_max_cbr,user_attrs_mean_aoi,user_attrs_mean_cbr,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_searched_hparams,user_attrs_n_update_failures,user_attrs_obj_term_aoi,user_attrs_obj_term_error,user_attrs_obj_term_loss,user_attrs_obj_term_power,user_attrs_obj_terms_sum,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_searched_hparam_keys,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_abandoned,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,22.990723333333335,2026-09-08 04:13:49.363057,2026-09-08 04:37:17.341935,0 days 00:23:27.978878,0.9957105926115605,0.952323344486728,128,0.0001700037298921101,0.00016998978382700775,0.0007661100707771367,0.013394334706750489,0.6565,18.535,22.990723333333335,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0683,8.3923,0.0146,18.3309,0,0,7972,7954,7968,596022.0,616033,609667,562366,7,0,4.19615,18.330933,0.332333,0.131307,22.990723,coverage_outage_rate,0.2624,0.1662,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,lr_q,tau",4000,4000,4000,98.3333,51967.6667,39636,107969,8298,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,17.101979999999998,2026-09-08 04:37:17.341992,2026-09-08 05:02:10.557211,0 days 00:24:53.215219,0.9949851861005062,0.9573361803941374,256,0.00020589728197687926,0.00018559980846490597,0.0016967533607196547,0.002487873441981443,0.1186,11.541,17.101979999999998,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1116,6.8185,0.0273,12.96,0,0,7968,7956,7972,596022.0,616033,609667,562366,7,0,3.409267,12.96,0.709,0.023713,17.10198,coverage_outage_rate,0.2624,0.3545,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,lr_q,tau",4000,4000,4000,325.6667,97517.6667,149774,73407,69372,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,16.89928,2026-09-08 05:02:10.557266,2026-09-08 05:23:39.915929,0 days 00:21:29.358663,0.9918969009305044,0.9682427993686814,256,0.00027010527749605503,0.0003476649150592621,0.000160712385120399,0.01050842133869177,0.0671,10.8718,16.89928,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0986,7.2426,0.0123,12.6453,0,0,7976,7974,7974,596022.0,616033,609667,562366,7,0,3.6213,12.6453,0.619267,0.013413,16.89928,coverage_outage_rate,0.2624,0.3096,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,lr_q,tau",4000,4000,4000,119.3333,44012.0,40807,43594,47635,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,31.47780666666667,2026-09-08 05:23:39.915986,2026-09-08 05:45:01.771211,0 days 00:21:21.855225,0.9976797748071065,0.9879554214901333,128,0.0001786013788939711,0.00012476394272569445,0.0007896186801026692,0.018043311207136262,0.242,13.1463,31.47780666666667,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1165,10.6409,0.025,25.4975,0,0,7980,7962,7956,596022.0,616033,609667,562366,7,0,5.320433,25.4975,0.611467,0.048407,31.477807,coverage_outage_rate,0.2624,0.3057,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,lr_q,tau",4000,4000,4000,214.6667,89082.6667,59631,114290,93327,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,14.36576,2026-09-08 05:45:01.771276,2026-09-08 06:03:02.125418,0 days 00:18:00.354142,0.9924584098252002,0.9513755408446087,256,0.00015144860262751404,0.0005388108577817234,0.00044684675025045853,0.015242391728466372,0.4406,15.7282,14.36576,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0329,7.1103,0.0028,10.461,0,0,7972,7960,7966,596022.0,616033,609667,562366,7,0,3.555167,10.461,0.261467,0.088127,14.36576,coverage_outage_rate,0.2624,0.1307,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,lr_q,tau",4000,4000,4000,15.3333,10046.3333,14008,7870,8261,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,13.342260000000001,2026-09-08 06:03:02.125473,2026-09-08 06:19:08.429821,0 days 00:16:06.304348,0.9985008598290627,0.9810053129344446,64,0.00018752209455786411,0.0027051668818999287,0.000642033033629786,0.01668461938629347,0.1671,12.1722,13.342260000000001,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0213,6.5596,0.003,9.6266,0,0,7962,7978,7976,596022.0,616033,609667,562366,7,0,3.2798,9.626633,0.4024,0.033427,13.34226,coverage_outage_rate,0.2624,0.2012,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,lr_q,tau",4000,4000,4000,29.3333,10589.0,10828,11719,9220,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,13.551073333333333,2026-09-08 06:19:08.429872,2026-09-08 06:37:36.583162,0 days 00:18:28.153290,0.9978730063369434,0.9655470915875792,128,0.00011662890273931399,0.0003023795012558478,0.0001947558230629544,0.0022544116997360495,0.3364,14.3729,13.551073333333333,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0721,6.3155,0.012,9.829,0,0,7958,7964,7978,596022.0,616033,609667,562366,7,0,3.157767,9.829033,0.497,0.067273,13.551073,coverage_outage_rate,0.2624,0.2485,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,lr_q,tau",4000,4000,4000,109.6667,42712.0,62017,43839,22280,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,15.69316,2026-09-08 06:37:36.583217,2026-09-08 06:58:23.150115,0 days 00:20:46.566898,0.9918877989745747,0.9894754774640206,256,0.0015308837415731389,0.00012886065671894017,0.00016149614799999194,0.010109125982108304,0.0673,10.8746,15.69316,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1292,5.1377,0.0519,12.3529,0,0,7966,7966,7964,596022.0,616033,609667,562366,7,0,2.568833,12.352933,0.757933,0.01346,15.69316,coverage_outage_rate,0.2624,0.379,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,lr_q,tau",4000,4000,4000,693.0,185166.6667,201522,276924,77054,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,10.90143,2026-09-08 06:58:23.150168,2026-09-08 07:19:01.168436,0 days 00:20:38.018268,0.9981994825458181,0.9643386291417708,128,0.0013780336485752,0.00012863908101989929,0.001193526270851053,0.0014149761574941428,0.0311,10.4041,10.90143,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.1422,3.3397,0.0677,8.3583,0,0,7978,7956,7974,596022.0,616033,609667,562366,7,0,1.66985,8.3583,0.867067,0.006213,10.90143,coverage_outage_rate,0.2624,0.4335,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,lr_q,tau",4000,4000,4000,1061.3333,241655.3333,283473,196234,245259,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,16.47867666666667,2026-09-08 07:19:01.168492,2026-09-08 07:33:16.944819,0 days 00:14:15.776327,0.9944860417890385,0.9755022988542085,64,0.0003022283475646735,0.001195960383019184,0.0002879775265707035,0.014265611436377936,0.3791,14.929,16.47867666666667,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0336,7.5406,0.0034,12.2657,0,0,7966,7970,7960,596022.0,616033,609667,562366,7,0,3.770317,12.265667,0.366867,0.075827,16.478677,coverage_outage_rate,0.2624,0.1834,"epsilon_decay,gamma,hidden_dim,lr_actor,lr_critic,lr_q,tau",4000,4000,4000,28.0,12247.6667,10576,14107,12060,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
