number,value,datetime_start,datetime_complete,duration,params_epsilon_decay,params_gamma,params_hidden_dim,params_lr,params_per_alpha,params_target_update_freq,user_attrs_avg_power_norm,user_attrs_avg_tx_power_dbm,user_attrs_composite_score,user_attrs_coverage_outage_rate,user_attrs_diverged,user_attrs_diverged_seed1001,user_attrs_diverged_seed1002,user_attrs_diverged_seed1003,user_attrs_divergence_at_env_step,user_attrs_divergence_at_grad_update,user_attrs_divergence_kind,user_attrs_divergence_pseudo_episode,user_attrs_divergence_reason,user_attrs_divergence_rule,user_attrs_divergence_seed,user_attrs_max_cbr,user_attrs_mean_aoi,user_attrs_mean_cbr,user_attrs_mean_error,user_attrs_n_diverged_seeds,user_attrs_n_failed_seeds,user_attrs_n_grad_updates_seed1001,user_attrs_n_grad_updates_seed1002,user_attrs_n_grad_updates_seed1003,user_attrs_n_observations,user_attrs_n_observations_seed1001,user_attrs_n_observations_seed1002,user_attrs_n_observations_seed1003,user_attrs_n_searched_hparams,user_attrs_n_update_failures,user_attrs_obj_term_aoi,user_attrs_obj_term_error,user_attrs_obj_term_loss,user_attrs_obj_term_power,user_attrs_obj_terms_sum,user_attrs_outage_metric,user_attrs_outage_rate,user_attrs_packet_loss_rate,user_attrs_searched_hparam_keys,user_attrs_steps_completed_seed1001,user_attrs_steps_completed_seed1002,user_attrs_steps_completed_seed1003,user_attrs_tx_abandoned,user_attrs_tx_attempts,user_attrs_tx_attempts_seed1001,user_attrs_tx_attempts_seed1002,user_attrs_tx_attempts_seed1003,user_attrs_w1,user_attrs_w2,user_attrs_w3,user_attrs_w4,state,w1,w2,w3,w4
0,20.456683333333334,2026-09-07 16:30:57.306011,2026-09-07 16:48:33.742657,0 days 00:17:36.436646,0.9957105926115605,0.9562407456176975,128,0.0007661100707771367,0.6832290311184182,1000,0.225,12.9254,20.456683333333334,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0642,8.7126,0.0028,15.6691,0,0,7994,7998,7972,596022.0,616033,609667,562366,6,0,4.356283,15.669067,0.386333,0.045,20.456683,coverage_outage_rate,0.2624,0.1932,"epsilon_decay,gamma,hidden_dim,lr,per_alpha,target_update_freq",4000,4000,4000,25.6667,10017.6667,10188,9156,10709,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
1,18.580830000000002,2026-09-07 16:48:33.742732,2026-09-07 17:06:28.482379,0 days 00:17:54.739647,0.9941034776771002,0.957272998688284,128,0.00020589728197687926,0.5164916560792168,1000,0.2537,13.2983,18.580830000000002,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0609,7.8252,0.0032,14.2268,0,0,7972,7988,7934,596022.0,616033,609667,562366,6,0,3.912617,14.2268,0.390667,0.050747,18.58083,coverage_outage_rate,0.2624,0.1953,"epsilon_decay,gamma,hidden_dim,lr,per_alpha,target_update_freq",4000,4000,4000,28.0,11349.0,10424,13752,9871,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
2,18.249013333333334,2026-09-07 17:06:28.482445,2026-09-07 17:23:12.181985,0 days 00:16:43.699540,0.9956279384041894,0.9682427993686814,64,0.0003476649150592621,0.4185801650879991,200,0.2502,13.2529,18.249013333333334,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0717,7.5377,0.0031,14.0598,0,0,7998,7970,7842,596022.0,616033,609667,562366,6,0,3.768867,14.059767,0.370333,0.050047,18.249013,coverage_outage_rate,0.2624,0.1852,"epsilon_decay,gamma,hidden_dim,lr,per_alpha,target_update_freq",4000,4000,4000,29.3333,10899.3333,12478,8450,11770,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
3,31.625836666666668,2026-09-07 17:23:12.182042,2026-09-07 17:39:31.796199,0 days 00:16:19.614157,0.9965002137518655,0.9886252813229823,64,0.00252126790477792,0.5760609974958406,200,0.3124,14.0615,31.625836666666668,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0717,11.5456,0.0026,25.4003,0,0,7988,7994,7842,596022.0,616033,609667,562366,6,0,5.772783,25.4003,0.390267,0.062487,31.625837,coverage_outage_rate,0.2624,0.1951,"epsilon_decay,gamma,hidden_dim,lr,per_alpha,target_update_freq",4000,4000,4000,30.3333,9434.3333,10719,9650,7934,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
4,23.29605666666667,2026-09-07 17:39:31.796249,2026-09-07 17:57:34.375443,0 days 00:18:02.579194,0.9951937476537612,0.9603511992640006,128,0.0022038218939289885,0.4739417822102108,200,0.3177,14.1302,23.29605666666667,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.065,9.6621,0.0026,18.0758,0,0,7988,7880,7988,596022.0,616033,609667,562366,6,0,4.83105,18.0758,0.325667,0.06354,23.296057,coverage_outage_rate,0.2624,0.1628,"epsilon_decay,gamma,hidden_dim,lr,per_alpha,target_update_freq",4000,4000,4000,15.6667,9169.6667,9558,9863,8088,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
5,23.935463333333335,2026-09-07 17:57:34.375496,2026-09-07 18:13:57.829402,0 days 00:16:23.453906,0.9904296592446501,0.9739159991524434,64,0.0020978213384576817,0.5301321323053058,200,0.2879,13.7423,23.935463333333335,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0821,9.3653,0.0026,18.851,0,0,7994,7988,7972,596022.0,616033,609667,562366,6,0,4.68265,18.851033,0.3442,0.05758,23.935463,coverage_outage_rate,0.2624,0.1721,"epsilon_decay,gamma,hidden_dim,lr,per_alpha,target_update_freq",4000,4000,4000,18.6667,9278.0,9130,9816,8888,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
6,18.341983333333335,2026-09-07 18:13:57.829457,2026-09-07 18:33:14.286102,0 days 00:19:16.456645,0.9907082311149579,0.9612373803874952,256,0.0003364867144187955,0.7947547746402069,1000,0.2462,13.2006,18.341983333333335,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0579,8.4815,0.0029,13.6702,0,0,7998,7972,7934,596022.0,616033,609667,562366,6,0,4.24075,13.6702,0.3818,0.049233,18.341983,coverage_outage_rate,0.2624,0.1909,"epsilon_decay,gamma,hidden_dim,lr,per_alpha,target_update_freq",4000,4000,4000,32.6667,10329.6667,10414,10379,10196,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
7,33.80125666666667,2026-09-07 18:33:14.286155,2026-09-07 18:49:45.704433,0 days 00:16:31.418278,0.9934054244211706,0.9782742937539046,64,0.0016015312171361203,0.4463476238100519,500,0.3122,14.0586,33.80125666666667,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0743,11.9775,0.0022,27.4047,0,0,7988,7988,7988,596022.0,616033,609667,562366,6,0,5.98875,27.404733,0.345333,0.06244,33.801257,coverage_outage_rate,0.2624,0.1727,"epsilon_decay,gamma,hidden_dim,lr,per_alpha,target_update_freq",4000,4000,4000,16.3333,7885.3333,8041,7324,8291,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
8,23.587483333333335,2026-09-07 18:49:45.704489,2026-09-07 19:06:31.983358,0 days 00:16:46.278869,0.9984285210544751,0.9624392928686265,64,0.00012413189635294234,0.5888859700647797,500,0.292,13.7956,23.587483333333335,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0773,8.5515,0.0037,18.8619,0,0,7988,7880,7998,596022.0,616033,609667,562366,6,0,4.27575,18.861933,0.3914,0.0584,23.587483,coverage_outage_rate,0.2624,0.1957,"epsilon_decay,gamma,hidden_dim,lr,per_alpha,target_update_freq",4000,4000,4000,28.6667,13374.6667,15502,10125,14497,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
9,37.60240666666667,2026-09-07 19:06:31.983414,2026-09-07 19:26:16.940378,0 days 00:19:44.956964,0.9902414817040689,0.9808386871981825,256,0.0006746437142284312,0.4431565707973218,500,0.2645,13.4391,37.60240666666667,0.2624,False,False,False,False,-1,-1,,-1,,,-1,0.0616,12.9245,0.0025,30.6887,0,0,7958,7988,7924,596022.0,616033,609667,562366,6,0,6.462233,30.688733,0.398533,0.052907,37.602407,coverage_outage_rate,0.2624,0.1993,"epsilon_decay,gamma,hidden_dim,lr,per_alpha,target_update_freq",4000,4000,4000,27.0,8831.6667,6517,9757,10221,0.5,0.2,0.2,0.1,COMPLETE,0.5,0.2,0.2,0.1
