episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates,wiring_task_decomposed,wiring_task_decomposed_n,wiring_global_critic_cooperative,wiring_global_critic_cooperative_n
1,2000,5.0,-0.165026,-1.218074,-0.165026,,,,0,False,,1.1769,0.2750045037828386,34,34,34,1,9.6703,7.3811,529,529,ok,,12.0915,45.2,6.278,0.0532,37.4371,508.7276,31.5519,38.8284,15.7193,0.008796,0.6566,0.4047,470,25,0,0.284595,298623,1049291,17.6489,445,0,39427,84,0.000264,0.0056,34,1.0,34,1.0,34
2,4000,10.0,-1.759096,-0.363668,-1.759096,,,,0,False,,1.0639,0.8394595588906668,1863,1897,1863,94,0.1394,0.2067,34383,34370,ok,,0.3318,3.5,0.3063,0.236,0.0439,4.7244,0.0114,0.0551,13.9126,1.180764,0.9853,0.748,44672,10541,63,0.279292,618618,2214947,0.0414,34131,0,105117,189,0.025052,0.04816,1863,1.0,1863,1.0,1863
3,6000,15.0,-1.401852,-0.305712,-1.401852,,,,0,False,,2.0009,1.5505984127157717,1916,3813,1916,190,0.1381,0.2181,36175,36162,ok,,0.3438,3.6,0.3178,0.3055,0.0445,5.4748,0.0124,0.0524,10.4911,0.263592,0.9861,0.6204,51620,15771,103,0.265014,868431,3276931,0.0411,35849,0,114656,223,0.028958,0.05152,1916,1.0,1916,1.0,1916
4,8000,20.0,-1.304244,-0.305782,-1.304244,,,,0,False,,3.4764,2.763290249858983,3227,7040,3227,352,0.138,0.2345,59350,59318,ok,,0.3603,5.7,0.3346,0.3746,0.0485,10.4077,0.012,0.0659,10.495,0.480039,0.9475,0.4476,93948,35192,249,0.252254,1076752,4268518,0.0439,58756,0,197863,345,0.052688,0.10192,3227,1.0,3227,1.0,3227
5,10000,25.0,-0.268968,-1.596584,-0.268968,,,,0,False,,4.8654,3.4044586637755856,340,7380,340,369,7.276,5.936,4693,4693,ok,,17.3794,46.3,5.0985,0.4234,44.2668,484.7064,45.7402,42.9481,10.5124,0.038644,0.8705,0.579,7527,3187,26,0.256937,1385448,5392164,16.3644,4340,0,282749,327,0.004221,0.0896,340,1.0,340,1.0,340
6,12000,30.0,-0.370018,-0.486888,-0.370018,,,,0,False,,3.5938,3.777619779109955,1211,8591,1211,429,1.5341,1.3158,20644,20644,ok,,10.7345,65.3,1.1554,0.3639,25.7449,489.5422,24.1008,27.4216,10.4902,0.161497,0.7543,0.4189,31692,11532,116,0.278104,1674013,6019369,2.1819,20160,0,291726,368,0.017749,0.08736,1211,1.0,1211,1.0,1211
7,14000,35.0,-0.17709,-1.168149,-0.17709,,,,0,False,,5.2175,4.051607191562653,336,8927,336,446,7.6162,6.5963,4904,4902,ok,,11.5512,61.6,6.1038,0.3276,24.7535,517.9555,20.393,27.996,10.501,0.033946,0.7511,0.3688,6643,2176,36,0.296466,1862642,6282808,12.5458,4467,0,327633,401,0.003721,0.05936,336,1.0,336,1.0,336
8,16000,5.0,-0.13907,-0.376399,-0.13907,,,,0,False,,4.7812,4.467040419578552,116,9043,116,452,3.5258,2.7065,1635,1634,ok,,5.6583,43.7,2.1899,0.1994,9.4803,329.746,9.6692,9.4365,10.4991,0.009822,0.71,0.2649,1921,383,3,0.286063,294748,1030360,3.0432,1538,0,45696,94,0.001076,0.00672,116,1.0,116,1.0,116
9,18000,10.0,-0.083048,-0.387389,-0.083048,,,,0,False,,4.6988,4.458392024040222,154,9197,154,459,5.9804,4.6646,2134,2134,ok,,5.7349,35.5,3.9219,0.2251,4.6717,220.0703,3.5291,5.0033,10.4953,0.012813,0.835,0.2604,2510,565,7,0.27077,571862,2111981,4.5367,1945,0,101360,182,0.001406,0.01344,154,1.0,154,1.0,154
10,20000,15.0,-0.082543,-0.564745,-0.082543,-0.075329,-0.35501,20.0,4378,True,-0.075329,3.9535,4.045823305845261,164,9361,164,468,8.6207,6.8419,2177,2176,ok,,6.437,45.2,6.081,0.1741,6.8353,296.4851,5.3454,7.4414,10.5074,0.011874,0.8266,0.2376,2320,404,5,0.261891,840404,3208978,9.138,1916,0,150632,256,0.001299,0.00896,164,1.0,164,1.0,164
