episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,mean_loss,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr
1,2000,5.0,-0.047349,-0.128143,-0.047349,0.0014,161,161,8,3.0562,2.7064,1385,1384,5.3352,45.3,2.661,0.1645,10.5302,392.3761,5.3797,11.698,11.8489,0.0181,0.5056,0.1291,1568,258,0,0.284556,300340,1055468,3.0253,1310,0,38707,75,0.000882,0.01344
2,4000,10.0,-0.024213,-0.11341,-0.024213,0.0015,461,300,23,5.2276,4.6838,1843,1843,4.4483,45.3,4.7552,0.1196,6.4367,387.045,9.1074,5.7375,11.695,0.027941,0.6653,0.1045,1890,226,0,0.27452,606858,2210611,4.9495,1664,0,87856,179,0.001062,0.02576
3,6000,15.0,-0.011454,-0.175833,-0.011454,0.0021,702,241,35,19.7442,15.3515,1258,1258,14.6562,45.4,14.1129,0.122,35.2582,511.2081,46.7987,29.034,13.6025,0.018127,0.8091,0.489,1090,133,0,0.258095,844855,3273429,47.1223,957,0,193882,301,0.000611,0.05376
4,8000,20.0,-0.007281,-0.19537,-0.007281,0.0018,920,218,46,37.2411,26.8328,784,783,19.0647,45.5,30.4351,0.1514,63.326,458.552,79.5042,53.8133,10.9639,0.004409,0.9019,0.649,535,81,0,0.253073,1079899,4267141,139.2172,454,0,210349,330,0.0003,0.03248
5,10000,25.0,-0.007153,-0.19294,-0.007153,0.002,1184,264,59,36.0455,26.974,1016,1014,18.199,45.6,33.3888,0.1684,57.5273,500.5824,59.91,55.7727,10.2983,0.004246,0.8643,0.5934,766,129,0,0.248733,1331759,5354165,128.142,637,0,273925,378,0.000431,0.03472
6,12000,30.0,-0.007267,-0.188473,-0.007267,0.0018,1473,289,73,32.551,25.935,1092,1090,16.6707,45.7,28.3215,0.1743,35.2387,378.5904,30.7885,39.4526,10.4894,0.005407,0.9099,0.5397,912,159,0,0.287349,1744107,6069646,73.5732,753,0,283260,337,0.000511,0.07616
7,14000,35.0,-0.007506,-0.169518,-0.007506,0.0018,1778,305,88,27.6424,22.5855,1264,1264,15.2345,45.6,23.0648,0.2417,23.0861,344.2835,20.739,25.3275,10.1863,0.006366,0.8781,0.5735,1233,298,0,0.300652,1913418,6364224,55.5962,935,0,286222,329,0.00069,0.10528
8,16000,5.0,-0.007643,-0.112172,-0.007643,0.0017,1894,116,94,21.1594,14.6767,292,292,11.058,45.3,15.8142,0.1207,20.503,318.073,9.7365,22.7335,10.7471,0.001408,0.7911,0.3954,232,28,0,0.288268,298852,1036717,40.6147,204,0,42996,88,0.00013,0.00672
9,18000,10.0,-0.006916,-0.11865,-0.006916,0.0017,2050,156,102,24.3091,17.1561,551,551,12.2,45.4,17.9374,0.1127,23.1217,360.0664,21.9995,23.4182,10.2903,0.002352,0.8324,0.4046,417,47,0,0.275959,585137,2120375,54.4746,370,0,94763,181,0.000234,0.01344
10,20000,15.0,-0.006724,-0.115357,-0.006724,0.0017,2251,201,112,23.3665,17.1568,874,874,12.2539,45.3,17.3853,0.1081,18.6504,403.5835,13.6886,20.6368,10.1294,0.003487,0.8708,0.4041,703,76,0,0.265247,851753,3211165,45.9306,627,0,150410,247,0.000394,0.03136
11,22000,20.0,-0.007508,-0.166254,-0.007508,0.0018,2475,224,123,30.5176,22.1433,848,848,17.161,45.3,25.7729,0.0643,46.122,472.9682,52.3309,43.1598,12.193,0.006771,0.8613,0.5288,575,37,0,0.255925,1069483,4178887,103.6533,538,0,188099,310,0.000322,0.03472
12,24000,25.0,-0.007058,-0.139021,-0.007058,0.002,2764,289,138,25.3631,19.697,1347,1347,15.6765,45.6,19.9126,0.152,23.9918,367.0156,17.1998,29.2278,10.0988,0.005723,0.8883,0.5246,1184,180,1,0.251857,1334865,5300085,47.8458,1004,0,266125,342,0.000663,0.0504
13,26000,30.0,-0.005938,-0.116617,-0.005938,0.0017,3098,334,154,25.8778,19.638,1545,1545,15.9134,45.8,20.3292,0.1855,23.1162,341.1564,11.6932,32.5764,10.037,0.006545,0.8588,0.4615,1407,261,0,0.292157,1749001,5986517,46.9399,1146,0,304334,399,0.000788,0.07952
14,28000,35.0,-0.006362,-0.107174,-0.006362,0.0017,3475,377,173,20.86,16.8471,2031,2031,14.3481,45.4,15.9107,0.1823,14.6749,347.8573,5.9921,25.577,10.0798,0.009827,0.8562,0.4697,2008,366,0,0.291508,1839035,6308693,28.1203,1642,0,343605,388,0.001124,0.08848
15,30000,5.0,-0.006443,-0.086608,-0.006443,0.0016,3581,106,179,18.7988,13.4414,302,302,12.0953,45.3,12.1091,0.0517,19.8705,407.748,2.7187,23.3282,10.1681,0.001294,0.8267,0.2909,232,12,0,0.288108,305625,1060801,25.6867,220,0,40752,82,0.00013,0.00672
16,32000,10.0,-0.006594,-0.090332,-0.006594,0.0015,3732,151,186,18.928,13.699,577,575,11.0269,45.5,13.4914,0.0835,15.6486,333.3429,5.1748,18.6282,10.057,0.002164,0.8476,0.2806,455,38,0,0.279222,583733,2090573,25.056,417,0,79080,158,0.000255,0.0168
17,34000,15.0,-0.005991,-0.104738,-0.005991,0.0013,3961,229,198,22.5814,17.4824,1098,1098,13.8184,45.3,16.0176,0.1149,16.9794,325.8557,6.6468,21.7107,10.0698,0.004485,0.8904,0.4133,931,107,0,0.26183,893414,3412196,31.2197,824,0,192600,274,0.000521,0.03472
18,36000,20.0,-0.006068,-0.107635,-0.006068,0.0011,4208,247,210,24.3364,17.7371,1118,1117,13.351,45.5,18.1405,0.0872,15.8667,400.2688,9.842,19.1159,10.0646,0.004218,0.8678,0.3754,872,76,0,0.244333,1086540,4446960,40.2797,796,0,198726,321,0.000488,0.04816
19,38000,25.0,-0.005989,-0.113224,-0.005989,0.0013,4520,312,226,23.5985,18.9055,1504,1504,15.2372,45.8,18.5141,0.1518,15.7839,301.5578,10.0875,20.1943,10.0894,0.006656,0.8929,0.4374,1357,206,0,0.250556,1324500,5286233,36.1545,1151,0,285288,353,0.00076,0.05376
20,40000,30.0,-0.005987,-0.096709,-0.005987,0.0009,4884,364,244,20.1615,16.1525,1900,1900,13.8157,54.1,14.7391,0.1956,12.7579,408.2862,4.9189,18.9022,10.0921,0.008984,0.8688,0.3835,1881,368,1,0.280871,1712675,6097722,28.3833,1513,0,308196,386,0.001054,0.0672
21,42000,35.0,-0.006309,-0.11351,-0.006309,0.0011,5236,352,261,22.4707,17.993,1705,1705,15.2147,54.1,16.4974,0.1951,17.5291,335.625,12.8721,21.0799,10.0742,0.007827,0.8527,0.4694,1635,319,1,0.298926,1889257,6320160,34.9685,1316,0,307880,388,0.000916,0.05264
22,44000,5.0,-0.00728,-0.088669,-0.00728,0.001,5366,130,268,15.7773,12.179,439,439,12.5503,45.3,9.3177,0.145,12.1209,336.0595,8.0018,13.2549,10.1065,0.002024,0.8833,0.2719,407,59,0,0.288355,296233,1027321,19.5336,348,0,53749,91,0.000228,0.00672
23,46000,10.0,-0.005898,-0.082733,-0.005898,0.0008,5529,163,276,18.9166,14.0268,669,669,11.5753,45.4,12.4975,0.053,8.6168,292.5396,4.0154,10.0281,10.0739,0.002558,0.8639,0.3255,528,28,0,0.275622,613383,2225447,21.5422,500,0,94221,169,0.000296,0.01456
24,48000,15.0,-0.006128,-0.080127,-0.006128,0.0009,5720,191,286,16.9719,13.075,944,944,11.1688,45.7,11.3695,0.0765,7.902,307.6409,3.965,8.8015,10.1879,0.004034,0.8817,0.2632,784,60,0,0.268667,836330,3112883,18.9756,724,0,123985,220,0.000439,0.02352
25,50000,20.0,-0.006607,-0.094972,-0.006607,0.0007,5995,275,299,19.053,14.3755,1477,1476,11.6977,45.6,13.5013,0.1149,9.3475,294.8773,6.6375,10.8161,10.127,0.006588,0.8571,0.4599,1297,149,0,0.259545,1105101,4257836,25.3923,1148,0,213128,328,0.000726,0.06272
26,52000,25.0,-0.006111,-0.078591,-0.006111,0.0006,6364,369,318,16.5768,12.8615,2201,2201,12.1085,51.0,11.5045,0.1779,8.2872,340.047,4.0323,11.7912,10.0839,0.010898,0.8706,0.3665,2220,395,1,0.258908,1400077,5407614,17.8734,1825,0,284693,375,0.001243,0.04704
27,54000,30.0,-0.006449,-0.088884,-0.006449,0.0007,6751,387,337,17.2101,13.7819,2160,2157,12.6419,45.6,12.6729,0.1943,11.5837,333.2096,5.4895,16.6383,10.0769,0.010623,0.8599,0.3473,2198,427,2,0.291878,1787131,6122872,23.4957,1771,0,298832,386,0.001231,0.07168
28,56000,35.0,-0.006169,-0.084747,-0.006169,0.0006,7149,398,357,17.0475,13.7366,2040,2038,12.7474,45.5,12.4562,0.2069,11.9946,335.478,5.777,17.2627,10.0769,0.010285,0.8358,0.3186,2141,443,1,0.299522,1869816,6242668,21.2242,1698,0,281453,340,0.001199,0.0616
29,58000,5.0,-0.005639,-0.085499,-0.005639,0.0007,7256,107,362,20.8508,15.1611,262,262,11.1463,45.2,13.8495,0.0211,7.7506,282.2217,3.846,8.7908,10.2509,0.001086,0.8758,0.3191,190,4,0,0.28947,286033,988127,23.5139,186,0,39851,76,0.000106,0.00784
30,60000,10.0,-0.005523,-0.076747,-0.005523,0.0007,7427,171,371,19.995,13.8965,680,680,11.4807,45.8,14.2799,0.0718,11.1854,368.5049,2.95,13.7669,10.1034,0.002656,0.8573,0.3006,543,39,0,0.277396,626591,2258833,25.2359,504,0,94868,176,0.000305,0.02352
31,62000,15.0,-0.005625,-0.087055,-0.005625,0.0007,7652,225,382,20.8063,15.4776,1033,1032,12.8442,45.5,14.8258,0.0593,17.0974,389.0523,6.5332,22.1656,10.1123,0.003829,0.8555,0.2522,810,48,0,0.26359,875334,3320821,28.2728,762,0,160324,271,0.000454,0.02464
32,64000,20.0,-0.006569,-0.094399,-0.006569,0.0005,7967,315,398,18.7343,14.3703,1685,1684,12.4224,45.5,13.3329,0.1069,16.9392,402.1444,7.7976,22.6468,10.1417,0.007325,0.86,0.317,1497,160,0,0.246425,1030372,4181281,30.3981,1337,0,243126,348,0.000839,0.0336
33,66000,25.0,-0.006458,-0.095294,-0.006458,0.0007,8300,333,415,19.0344,14.7565,1798,1798,12.784,45.9,14.1664,0.1639,12.4452,404.3721,5.6198,17.966,10.1129,0.008514,0.8816,0.3099,1727,283,0,0.254496,1352072,5312747,27.172,1444,0,266532,354,0.000967,0.0504
34,68000,30.0,-0.006325,-0.085966,-0.006325,0.0006,8693,393,434,16.9581,13.5907,2084,2083,12.3406,45.7,12.5445,0.2295,8.2573,314.4994,5.4541,10.7416,10.0713,0.010561,0.8586,0.4555,2248,516,4,0.276424,1654110,5983964,18.409,1732,0,284628,348,0.001259,0.06384
35,70000,35.0,-0.006618,-0.093757,-0.006618,0.0008,9083,390,454,17.4755,14.1665,2185,2184,12.722,45.4,12.9492,0.1878,12.2288,353.738,7.9137,16.2615,10.0702,0.010562,0.8375,0.372,2220,417,1,0.294028,1884431,6409020,24.4455,1803,0,310985,380,0.001244,0.0616
36,72000,5.0,-0.005525,-0.081681,-0.005525,0.0007,9209,126,460,21.2022,14.7844,346,346,11.0507,45.5,14.3577,0.0654,10.4327,441.5563,7.2585,11.269,10.1667,0.00133,0.8411,0.1914,260,17,0,0.285455,332371,1164357,26.7086,243,0,51322,103,0.000146,0.00672
37,74000,10.0,-0.005881,-0.080166,-0.005881,0.0007,9372,163,468,18.4115,13.6308,633,633,10.8842,45.5,12.4688,0.078,8.7026,298.9114,2.7349,9.8883,10.1096,0.002402,0.8639,0.2227,513,40,0,0.270145,585000,2165503,19.4058,473,0,86636,160,0.000288,0.0224
38,76000,15.0,-0.006292,-0.083123,-0.006292,0.0007,9597,225,479,17.7887,13.2107,1087,1085,11.2453,45.4,12.2058,0.0676,12.1573,369.7549,6.0741,14.1733,10.0576,0.004288,0.8449,0.2522,903,61,0,0.263482,852205,3234399,19.9175,842,0,144018,244,0.000506,0.0224
39,78000,20.0,-0.006309,-0.084721,-0.006309,0.0006,9894,297,494,17.9841,13.4276,1679,1678,11.9102,45.3,12.5461,0.1416,10.9394,313.0175,4.3144,15.2024,10.0976,0.007579,0.8437,0.3657,1554,220,0,0.255238,1098962,4305636,23.4021,1334,0,226445,344,0.00087,0.03808
40,80000,25.0,-0.006614,-0.087374,-0.006614,0.0006,10267,373,513,16.9042,13.21,2251,2250,12.6391,45.6,11.659,0.1543,10.5831,325.9444,4.5679,15.4371,10.0916,0.010485,0.8611,0.4312,2177,336,0,0.244015,1317148,5397817,20.1268,1841,0,298848,410,0.001219,0.07392
41,82000,30.0,-0.005803,-0.093608,-0.005803,0.0005,10628,361,531,19.3772,16.1297,1876,1875,14.8929,45.5,14.7794,0.1695,13.3539,424.9329,9.3735,16.9527,10.2307,0.009163,0.8912,0.3778,1841,312,0,0.278091,1704202,6128226,25.5976,1529,0,303760,347,0.001031,0.05936
42,84000,35.0,-0.006487,-0.096387,-0.006487,0.0006,11007,379,550,18.9087,14.858,2087,2086,13.6567,45.7,14.2853,0.1743,15.1472,401.0964,6.3076,22.6803,10.2255,0.010703,0.8349,0.3206,2037,355,0,0.29335,1873759,6387446,24.8888,1682,0,311392,404,0.001141,0.06832
43,86000,5.0,-0.008102,-0.088568,-0.008102,0.0006,11138,131,556,14.1218,10.9323,473,473,10.5358,45.2,8.8971,0.0735,5.8658,295.4422,2.4199,6.7663,10.5827,0.002329,0.8653,0.2426,408,30,0,0.283663,321645,1133898,10.8805,378,0,52015,95,0.000229,0.00896
44,88000,10.0,-0.007014,-0.081389,-0.007014,0.0005,11325,187,566,16.0076,11.6039,869,869,9.1553,45.4,10.2472,0.0499,5.3767,308.0476,4.3314,5.6056,10.12,0.003577,0.8982,0.3282,722,36,0,0.275925,597023,2163716,13.9438,686,0,101388,182,0.000404,0.0112
45,90000,15.0,-0.006187,-0.077371,-0.006187,0.0005,11561,236,578,17.1678,12.5053,1159,1159,10.1927,45.5,11.402,0.0699,7.9449,282.1939,3.5407,9.3539,10.0713,0.004742,0.8778,0.264,973,68,0,0.264275,876607,3317023,18.2923,905,0,145677,254,0.000545,0.028
46,92000,20.0,-0.006074,-0.084458,-0.006074,0.0006,11877,316,593,17.8575,13.9046,1918,1916,12.1758,45.4,12.9365,0.1302,9.475,389.9083,5.6138,12.4619,10.1986,0.009717,0.8481,0.2763,1767,230,0,0.255799,1135427,4438747,22.0708,1537,0,267747,381,0.00099,0.05488
