Episode,Global_Step,REMO-DQN,wo_R1,wo_R2,wo_R3
1,2000,-926260.4455966464,-925138.4455966464,-865929.2455966464,-921260.4455966464
2,4000,-932810.5608737986,-931691.5608737986,-872335.7608737985,-927810.5608737986
3,6000,-921051.9789662432,-919953.7789662431,-704571.1789662432,-916051.9789662432
4,8000,-939204.3574661048,-938069.3574661048,-880715.7574661048,-934204.3574661048
5,10000,-966093.5416089478,-964959.7416089476,-915637.5416089478,-961093.5416089478
6,12000,-929492.9550920152,-928390.7550920153,-892238.5550920152,-924492.9550920152
7,14000,-919974.4261669616,-918876.2261669616,-887507.4261669616,-914974.4261669616
8,16000,-941208.058882538,-940069.858882538,-714230.858882538,-936208.058882538
9,18000,-917788.3518527676,-916689.5518527676,-880923.7518527677,-912788.3518527676
10,20000,-1011350.9019772004,-1010185.3019772004,-901875.9019772004,-1006350.9019772004
11,22000,-875639.7690067391,-874535.7690067391,-668315.169006739,-870639.7690067391
12,24000,-896338.145160241,-895238.5451602411,-864538.5451602411,-891338.145160241
13,26000,-874965.7774905281,-873863.977490528,-843848.1774905281,-869965.7774905281
14,28000,-917833.3301226884,-916736.7301226883,-885007.7301226885,-912833.3301226884
15,30000,-943580.5719143652,-942442.1719143651,-894337.5719143652,-938580.5719143652
16,32000,-1007777.519502744,-1006610.519502744,-911554.319502744,-1002777.519502744
17,34000,-1100941.9277031654,-1099780.9277031654,-1003907.3277031656,-1095941.9277031654
18,36000,-932905.6083236192,-931807.0083236191,-899395.0083236193,-927905.6083236192
19,38000,-922502.7468591898,-921402.54685919,-890059.7468591898,-917502.7468591898
20,40000,-970279.5683850512,-969147.9683850512,-920263.7683850512,-965279.5683850512
21,42000,-896767.4730384058,-895673.2730384058,-683624.0730384057,-891767.4730384058
22,44000,-943333.499280993,-942237.2992809932,-910759.899280993,-938333.499280993
23,46000,-960427.861775499,-959338.261775499,-921769.4617754988,-955427.861775499
24,48000,-867506.7908676716,-866405.5908676716,-654891.9908676716,-862506.7908676716
25,50000,-1011658.6903824336,-1010492.2903824336,-915380.0903824336,-1006658.6903824336
26,52000,-956073.4450110908,-954936.8450110907,-898119.6450110908,-951073.4450110908
27,54000,-890795.4593910328,-889694.6593910328,-858149.6593910328,-885795.4593910328
28,56000,-904375.4712798444,-903279.0712798444,-870653.4712798444,-899375.4712798444
29,58000,-959374.9653937916,-958206.7653937916,-703501.1653937916,-954374.9653937916
30,60000,-947924.703485234,-946830.703485234,-916357.703485234,-942924.703485234
31,62000,-958885.4514130916,-957793.4514130916,-746049.0514130916,-953885.4514130916
32,64000,-902724.6417281412,-901627.0417281413,-869627.2417281412,-897724.6417281412
33,66000,-946363.6639798807,-945269.2639798808,-736321.2639798807,-941363.6639798807
34,68000,-891818.8064381094,-890716.6064381094,-853653.6064381094,-886818.8064381094
35,70000,-962192.2646278222,-961055.4646278222,-911520.8646278222,-957192.2646278222
36,72000,-997537.3084364852,-996403.3084364852,-947756.1084364852,-992537.3084364852
37,74000,-958333.557646949,-957198.957646949,-908203.1576469488,-953333.557646949
38,76000,-905445.9172891591,-904346.5172891592,-692709.3172891592,-900445.9172891591
39,78000,-930636.0407411052,-929542.2407411052,-891037.8407411053,-925636.0407411052
40,80000,-938493.7639687776,-937355.1639687776,-712661.1639687776,-933493.7639687776
41,82000,-931762.8192736648,-930624.2192736648,-882067.6192736649,-926762.8192736648
42,84000,-922380.3128763929,-921285.9128763928,-890094.1128763929,-917380.3128763929
43,86000,-1059841.844877726,-1058677.444877726,-963381.444877726,-1054841.844877726
44,88000,-1066839.9407473062,-1065676.9407473062,-969955.3407473062,-1061839.9407473062
45,90000,-938328.2855778546,-937235.2855778546,-905684.0855778548,-933328.2855778546
46,92000,-1031287.9630987614,-1030123.5630987614,-934692.7630987614,-1026287.9630987614
47,94000,-963821.098628255,-962684.898628255,-735682.2986282549,-958821.098628255
48,96000,-981843.7420747596,-980676.7420747596,-885466.5420747595,-976843.7420747596
49,98000,-1010907.5360498214,-1009741.1360498214,-914417.7360498214,-1005907.5360498214
50,100000,-944324.3805032222,-943233.9805032222,-910539.1805032224,-939324.3805032222
51,102000,-904985.2495440792,-903883.2495440792,-866800.4495440791,-899985.2495440792
52,104000,-904104.6722822628,-903008.4722822628,-871845.0722822628,-899104.6722822628
53,106000,-885867.5797566442,-884768.9797566442,-671588.5797566442,-880867.5797566442
54,108000,-951901.8798670182,-950805.4798670182,-739644.8798670182,-946901.8798670182
55,110000,-938770.31548258,-937676.71548258,-905459.11548258,-933770.31548258
56,112000,-927468.202317078,-926370.402317078,-714474.802317078,-922468.202317078
57,114000,-913628.36308702,-912531.36308702,-876255.56308702,-908628.36308702
58,116000,-899809.0875556368,-898669.6875556367,-849910.0875556368,-894809.0875556368
59,118000,-896948.5790824548,-895849.3790824548,-864484.5790824548,-891948.5790824548
60,120000,-870595.7927703613,-869494.3927703613,-838970.7927703613,-865595.7927703613
61,122000,-941505.0847560848,-940365.2847560848,-714520.2847560848,-936505.0847560848
62,124000,-898281.6703800658,-897183.4703800658,-866046.2703800658,-893281.6703800658
63,126000,-959355.7220003596,-958265.9220003596,-747794.7220003596,-954355.7220003596
64,128000,-927973.3831056393,-926877.3831056393,-712484.1831056393,-922973.3831056393
65,130000,-964310.0561886632,-963217.2561886632,-750778.2561886632,-959310.0561886632
66,132000,-992698.7631996272,-991531.5631996272,-883678.1631996272,-987698.7631996272
67,134000,-890897.7571590946,-889798.5571590946,-853212.7571590946,-885897.7571590946
68,136000,-881011.523747746,-879909.3237477461,-844744.923747746,-876011.523747746
69,138000,-884639.3088581729,-883533.9088581728,-674121.9088581728,-879639.3088581729
70,140000,-941072.4001487864,-939934.2001487864,-890893.0001487863,-936072.4001487864
71,142000,-1059662.470606764,-1058497.470606764,-950463.470606764,-1054662.470606764
72,144000,-915055.4868202852,-913959.4868202852,-882829.2868202853,-910055.4868202852
73,146000,-859723.4146196345,-858623.6146196345,-826940.6146196345,-854723.4146196345
74,148000,-959114.8697474278,-957975.8697474278,-901417.2697474278,-954114.8697474278
75,150000,-918439.263645998,-917336.863645998,-704372.263645998,-913439.263645998
76,152000,-894469.2041716039,-893370.8041716039,-855969.8041716039,-889469.2041716039
77,154000,-853079.5884064961,-851974.9884064961,-640423.388406496,-848079.5884064961
78,156000,-880012.0585086903,-878908.8585086904,-842048.0585086903,-875012.0585086903
79,158000,-855484.9544941408,-854379.3544941408,-642778.5544941408,-850484.9544941408
80,160000,-850665.0950059118,-849562.2950059117,-819196.2950059117,-845665.0950059118
81,162000,-936870.5453385812,-935773.9453385812,-904438.1453385812,-931870.5453385812
82,164000,-864566.2824921838,-863462.0824921839,-826125.6824921839,-859566.2824921838
83,166000,-928984.1703142652,-927846.7703142652,-869970.7703142652,-923984.1703142652
84,168000,-912688.1474660118,-911590.947466012,-875680.1474660118,-907688.1474660118
85,170000,-937822.6033045092,-936683.0033045092,-880745.8033045091,-932822.6033045092
86,172000,-868888.2761979796,-867787.8761979796,-830334.4761979795,-863888.2761979796
87,174000,-922321.3258655168,-921182.7258655168,-864367.5258655167,-917321.3258655168
88,176000,-924496.5008542392,-923360.1008542392,-865676.9008542392,-919496.5008542392
89,178000,-851435.1028769348,-850330.1028769348,-637566.1028769348,-846435.1028769348
90,180000,-1060602.120733722,-1059437.120733722,-964315.9207337222,-1055602.120733722
91,182000,-874966.1226545695,-873868.7226545694,-662250.5226545695,-869966.1226545695
92,184000,-919068.9304518818,-917972.5304518818,-708081.7304518819,-914068.9304518818
93,186000,-925151.3772629777,-924054.5772629776,-711823.7772629777,-920151.3772629777
94,188000,-916214.6089928574,-915117.4089928574,-701852.8089928573,-911214.6089928574
95,190000,-937457.1827032444,-936288.5827032444,-682642.9827032443,-932457.1827032444
96,192000,-904657.7964777316,-903555.7964777316,-866301.1964777316,-899657.7964777316
97,194000,-931696.2752075144,-930598.8752075144,-893046.4752075144,-926696.2752075144
98,196000,-978325.7229472102,-977158.92294721,-882026.9229472101,-973325.7229472102
99,198000,-1003921.8329904656,-1002754.2329904656,-907799.6329904656,-998921.8329904656
100,200000,-901655.5818144488,-900557.7818144488,-862513.7818144488,-896655.5818144488
