Episode,Global_Step,REMO-DQN,w/o ResNet,w/o MoE,w/o Dueling,w/o R1,w/o R2,w/o R3
1,2000,-926260.4455966464,-926138.0610143694,-926247.1562111074,-926291.1903550978,-925138.4455966464,-865929.2455966464,-921260.4455966464
2,4000,-932810.5608737986,-932811.0241716217,-908018.6476479358,-1014833.5043889728,-931691.5608737986,-872335.7608737985,-927810.5608737986
3,6000,-921051.9789662432,-919259.7035661442,-1027751.9171351132,-1009367.429436851,-919953.7789662433,-704571.1789662432,-916051.9789662432
4,8000,-939204.3574661048,-896787.8619265971,-998781.7541833308,-896790.1715006223,-938069.3574661048,-880715.7574661048,-934204.3574661048
5,10000,-966093.5416089478,-919772.0576890904,-1012044.3266433248,-1029241.1368229452,-964959.7416089477,-915637.5416089478,-961093.5416089478
6,12000,-929492.9550920152,-1036349.4373033711,-927331.001145502,-929505.7914669078,-928390.7550920153,-892238.5550920152,-924492.9550920152
7,14000,-919974.4261669616,-918066.6863681816,-918063.4510133069,-973021.3882855668,-918876.2261669616,-887507.4261669616,-914974.4261669616
8,16000,-941208.058882538,-896261.0753007398,-941202.1912317108,-963561.0987607175,-940069.858882538,-714230.858882538,-936208.058882538
9,18000,-917788.3518527676,-1027416.7649100544,-965340.2921288478,-920068.5807856906,-916689.5518527676,-880923.7518527677,-912788.3518527676
10,20000,-1011350.9019772004,-905605.4678838226,-1011388.1910653628,-1011378.2858227236,-1010185.3019772004,-901875.9019772004,-1006350.9019772004
11,22000,-875639.7690067391,-918269.2388647028,-918269.4127888904,-919380.0555969202,-874535.7690067391,-668315.169006739,-870639.7690067391
12,24000,-896338.145160241,-896341.5837550135,-942160.7449320444,-941877.6232766014,-895238.5451602411,-864538.5451602411,-891338.145160241
13,26000,-874965.7774905281,-877770.598998466,-874971.1105243872,-920409.0193107142,-873863.977490528,-843848.1774905281,-869965.7774905281
14,28000,-917833.3301226884,-919415.6315190564,-919418.7629391165,-919418.694728811,-916736.7301226885,-885007.7301226885,-912833.3301226884
15,30000,-943580.5719143652,-900540.7764568585,-901173.6593791824,-901196.25979448,-942442.1719143651,-894337.5719143652,-938580.5719143652
16,32000,-1007777.519502744,-946856.1164759104,-901238.7943160706,-932033.459535614,-1006610.519502744,-911554.3195027439,-1002777.519502744
17,34000,-1100941.9277031654,-1030422.1070290284,-983936.0048110863,-1080764.0782231132,-1099780.9277031654,-1003907.3277031655,-1095941.9277031654
18,36000,-932905.6083236192,-978559.5360682146,-1032023.1182100668,-978557.8150745456,-931807.0083236193,-899395.0083236193,-927905.6083236192
19,38000,-922502.7468591898,-920589.194699858,-922507.0463297656,-920588.4117138904,-921402.5468591899,-890059.7468591898,-917502.7468591898
20,40000,-970279.5683850512,-1035031.1251909632,-970268.8648446896,-1026993.6393296744,-969147.9683850512,-920263.7683850512,-965279.5683850512
21,42000,-896767.4730384058,-896751.6865117983,-898874.0158014667,-944024.0874882012,-895673.2730384058,-683624.0730384057,-891767.4730384058
22,44000,-943333.499280993,-1055084.4039870205,-997985.0735477626,-949459.812476568,-942237.2992809931,-910759.899280993,-938333.499280993
23,46000,-960427.861775499,-960427.0696611428,-1011795.1587167298,-1075073.074642692,-959338.261775499,-921769.4617754989,-955427.861775499
24,48000,-867506.7908676716,-867492.9884746342,-909860.7218179512,-872657.0835829772,-866405.5908676716,-654891.9908676716,-862506.7908676716
25,50000,-1011658.6903824336,-903980.1383047207,-903989.5713978416,-903986.9655389544,-1010492.2903824336,-915380.0903824336,-1006658.6903824336
26,52000,-956073.4450110908,-956078.4526724992,-909604.9622124314,-912092.7438230256,-954936.8450110909,-898119.6450110908,-951073.4450110908
27,54000,-890795.4593910328,-934009.6642465934,-890800.0549220969,-892054.6604184092,-889694.6593910328,-858149.6593910328,-885795.4593910328
28,56000,-904375.4712798444,-906063.729791352,-950104.6857324346,-904569.3366789672,-903279.0712798444,-870653.4712798444,-899375.4712798444
29,58000,-959374.9653937916,-902460.8924820648,-862333.3570831353,-897673.7066158924,-958206.7653937916,-703501.1653937916,-954374.9653937916
30,60000,-947924.703485234,-947909.6277285472,-998369.2787899696,-947918.3270015646,-946830.703485234,-916357.703485234,-942924.703485234
31,62000,-958885.4514130916,-1010370.905441154,-1004085.8878292984,-961385.4960361233,-957793.4514130916,-746049.0514130916,-953885.4514130916
32,64000,-902724.6417281412,-902709.2432775326,-1008916.3781098071,-906473.8572096118,-901627.0417281413,-869627.2417281412,-897724.6417281412
33,66000,-946363.6639798807,-946360.5541581291,-946361.3982142116,-958598.1993270068,-945269.2639798807,-736321.2639798807,-941363.6639798807
34,68000,-891818.8064381094,-993463.2930444618,-891822.3304707748,-961342.802200372,-890716.6064381094,-853653.6064381094,-886818.8064381094
35,70000,-962192.2646278222,-962183.4533414209,-916600.478520788,-957546.8465371776,-961055.4646278222,-911520.8646278222,-957192.2646278222
36,72000,-997537.3084364852,-1063210.844490518,-1062868.8676582442,-1063217.7271637218,-996403.3084364852,-947756.1084364853,-992537.3084364852
37,74000,-958333.557646949,-958330.4362198632,-949217.4876954248,-911279.964752226,-957198.957646949,-908203.1576469489,-953333.557646949
38,76000,-905445.9172891591,-907774.7532528136,-907773.7063824496,-980929.7172304068,-904346.5172891591,-692709.3172891592,-900445.9172891591
39,78000,-930636.0407411052,-930634.5452614756,-937790.8784949012,-1040793.4559810044,-929542.2407411052,-891037.8407411053,-925636.0407411052
40,80000,-938493.7639687776,-997532.9071518033,-938498.9426865078,-893176.1299028195,-937355.1639687776,-712661.1639687776,-933493.7639687776
41,82000,-931762.8192736648,-931751.3472187473,-990558.6235754596,-889202.0209132539,-930624.2192736649,-882067.6192736649,-926762.8192736648
42,84000,-922380.3128763929,-925050.2171484052,-955182.4527037712,-922399.7536377086,-921285.9128763928,-890094.1128763929,-917380.3128763929
43,86000,-1059841.844877726,-994305.1769975444,-994305.9840138156,-994311.6004078093,-1058677.444877726,-963381.4448777259,-1054841.844877726
44,88000,-1066839.9407473062,-948479.5512026576,-948483.0674104524,-950693.3575156038,-1065676.9407473062,-969955.3407473062,-1061839.9407473062
45,90000,-938328.2855778546,-940352.9481827876,-938334.24368677,-987768.9474142136,-937235.2855778546,-905684.0855778547,-933328.2855778546
46,92000,-1031287.9630987614,-967884.6460097382,-921220.9398539928,-967883.9411012356,-1030123.5630987614,-934692.7630987614,-1026287.9630987614
47,94000,-963821.098628255,-916617.1587820804,-918917.4475868212,-1025899.722399153,-962684.898628255,-735682.2986282549,-958821.098628255
48,96000,-981843.7420747596,-879763.9505025164,-981840.414759964,-879765.123020031,-980676.7420747596,-885466.5420747595,-976843.7420747596
49,98000,-1010907.5360498214,-902311.4868655222,-950109.7883609273,-932545.3290695028,-1009741.1360498214,-914417.7360498214,-1005907.5360498214
50,100000,-944324.3805032222,-993731.472647855,-992709.4316213824,-1060185.4377396023,-943233.9805032222,-910539.1805032223,-939324.3805032222
51,102000,-904985.2495440792,-902760.0454801256,-902761.470936798,-948129.1864671428,-903883.2495440792,-866800.4495440791,-899985.2495440792
