Time,REMO-DQN,Fixed 10Hz,ReactDCC,AdaptDCC,MoEDQN,MAPPO,PPO,SAC,DDPG,TD3,DuelingDQN,DoubleDQN,VanillaDQN,QLearning,SARSA,ActorCritic,DecisionTransformer
0,0.0994,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0822,0.0721,0.0825,0.0822,0.0823,0.0228,0.0823,0.0823,0.0822,0.0584,0.0427,0.073,0.0447
1,0.0745,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0668,0.0873,0.068,0.0666,0.0625,0.0285,0.067,0.0669,0.0669,0.0726,0.0424,0.0882,0.0548
2,0.0833,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0788,0.0873,0.0811,0.0798,0.0772,0.0285,0.0802,0.0801,0.0802,0.0726,0.0424,0.0882,0.0548
3,0.0833,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0797,0.0721,0.073,0.073,0.073,0.0228,0.0798,0.0797,0.0796,0.0584,0.0427,0.073,0.0447
4,0.0726,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0676,0.0873,0.0882,0.0882,0.0882,0.0285,0.0676,0.0676,0.0674,0.0726,0.0424,0.0882,0.0548
5,0.0831,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0797,0.0806,0.0796,0.0737,0.0428,0.0893,0.0556
6,0.0971,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
7,0.068,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
8,0.0815,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
9,0.0736,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
10,0.08,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
11,0.0955,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
12,0.0686,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
13,0.0726,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
