Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean
1,2000,-927936.7586665251,301.422,0.0399,79.64
2,4000,-933849.2764178539,302.707,0.0413,78.81
3,6000,-945468.7135951809,308.735,0.0422,78.6
4,8000,-920385.4697804883,308.792,0.042,78.59
5,10000,-945612.121913181,307.961,0.0432,78.43
6,12000,-952516.3247898386,293.87,0.0412,78.72
7,14000,-942394.11355494,298.784,0.0434,78.13
8,16000,-918601.2039863059,301.706,0.0417,78.04
9,18000,-939513.086133316,291.506,0.043,77.72
10,20000,-924176.5788308048,298.676,0.044,77.31
11,22000,-893220.880325592,285.31,0.0415,78.27
12,24000,-914463.9014503916,289.242,0.0438,77.4
13,26000,-892965.9891824945,281.394,0.0429,77.63
14,28000,-935387.5901023422,288.406,0.0456,77.43
15,30000,-913507.6731354916,281.26,0.0444,77.79
16,32000,-917351.5073737074,282.438,0.0447,77.26
17,34000,-997087.8546188852,294.36,0.0514,77.01
18,36000,-947230.717685281,285.431,0.0462,77.87
19,38000,-937824.1467436285,283.18,0.0448,78.12
20,40000,-941333.2520018653,293.612,0.0475,77.38
21,42000,-915505.1038136282,292.263,0.046,77.92
22,44000,-964542.2191143093,288.074,0.0445,78.65
23,46000,-984870.6742947839,291.218,0.0468,78.53
24,48000,-886795.3306907375,291.742,0.0422,78.91
25,50000,-928482.8824203655,290.515,0.0424,79.52
26,52000,-934799.0603583044,294.597,0.0418,79.65
27,54000,-914669.224232728,295.317,0.0409,80.12
28,56000,-932360.2159753295,304.444,0.0419,80.06
29,58000,-886547.8108839468,295.952,0.038,80.57
30,60000,-979883.5071514923,299.653,0.0417,80.45
31,62000,-992860.7450883699,301.092,0.0422,80.55
32,64000,-932032.2355799254,304.092,0.0403,80.43
33,66000,-981223.604271225,304.522,0.0403,80.89
34,68000,-920912.0450727723,305.989,0.0381,81.09
35,70000,-941370.2437766698,297.09,0.0404,81.0
36,72000,-975339.9355044973,291.791,0.042,80.79
37,74000,-936899.3579700249,292.962,0.0417,81.19
38,76000,-929420.2316523144,285.605,0.0403,81.46
39,78000,-954513.8650905956,291.0,0.0433,81.12
40,80000,-914925.713858241,278.931,0.0407,81.77
41,82000,-907658.571157837,274.336,0.0408,81.67
42,84000,-944109.875462277,271.503,0.0436,81.6
43,86000,-965927.776744306,268.918,0.0449,81.77
44,88000,-968498.5155232407,273.314,0.0474,81.15
45,90000,-956391.0067546052,262.077,0.0461,81.62
46,92000,-935400.7485115745,261.818,0.0468,81.92
47,94000,-931272.985235019,248.627,0.0451,82.17
48,96000,-890237.1860014598,244.655,0.0451,82.38
49,98000,-914406.5787792065,244.88,0.0465,82.42
50,100000,-953368.2467767635,243.497,0.051,82.22
51,102000,-911761.1555864613,233.667,0.0462,82.94
52,104000,-911973.4371873282,229.751,0.0484,82.8
53,106000,-892719.9218270481,230.97,0.0477,83.0
54,108000,-955833.512159078,224.501,0.0502,83.16
55,110000,-941768.2969002782,223.135,0.0519,83.36
56,112000,-929528.7287979332,224.146,0.0503,83.61
57,114000,-917063.1032449317,211.986,0.05,83.93
58,116000,-860686.4101513678,214.534,0.0472,84.48
59,118000,-899380.0735674581,210.81,0.0493,84.44
60,120000,-873171.9971454475,204.463,0.048,84.54
61,122000,-898129.9747701398,201.419,0.0483,85.04
62,124000,-900309.2263193658,204.631,0.05,85.11
63,126000,-959052.6279629152,207.189,0.0552,84.77
64,128000,-927523.2808786999,203.534,0.0523,85.08
65,130000,-966152.1647168527,205.301,0.0528,85.6
66,132000,-889039.490338876,198.311,0.0493,85.72
67,134000,-892442.7198747296,198.659,0.0497,85.85
68,136000,-883031.5644348088,191.03,0.0479,86.13
69,138000,-883967.4879294138,196.297,0.0477,86.27
70,140000,-896942.0221229665,201.382,0.0493,85.89
71,142000,-947117.0703999684,200.79,0.0524,85.87
72,144000,-916397.1622481945,198.495,0.0514,85.89
73,146000,-860856.9095491668,201.789,0.0495,85.68
74,148000,-914112.4969582162,196.72,0.0493,85.73
75,150000,-917863.6560349595,198.482,0.0491,85.51
76,152000,-895645.0273480159,206.939,0.0503,84.79
77,154000,-854521.7210445853,200.38,0.0469,85.18
78,156000,-878971.8998743213,204.372,0.049,84.73
79,158000,-854640.9923978894,208.208,0.0476,84.44
80,160000,-851432.5783489322,207.828,0.0483,83.6
81,162000,-937840.4131990796,212.961,0.0513,83.27
82,164000,-863445.3502383889,217.806,0.0485,82.62
83,166000,-885006.5576368405,225.399,0.0502,82.16
84,168000,-913446.4903998441,215.708,0.0511,81.63
85,170000,-893901.2290212692,216.077,0.0485,81.84
86,172000,-869340.5054945803,227.534,0.0496,81.42
87,174000,-878136.5210865418,224.518,0.0493,80.99
88,176000,-881155.8330626994,233.971,0.0502,81.14
89,178000,-849767.4510424259,222.822,0.0483,81.58
90,180000,-947778.4095979527,222.076,0.0524,81.96
91,182000,-875066.6893804289,219.217,0.0513,81.89
92,184000,-919086.901137873,220.323,0.0518,82.29
93,186000,-925140.8656420326,214.592,0.0517,82.58
94,188000,-916163.1680954546,217.094,0.0514,83.01
95,190000,-841575.461740548,209.111,0.0472,83.52
96,192000,-902240.9141234931,209.988,0.0501,83.8
97,194000,-929471.3016394589,210.562,0.0524,83.66
98,196000,-875424.8570163877,211.22,0.0503,83.8
99,198000,-897235.6882020938,203.946,0.05,84.02
100,200000,-899734.9787897432,213.193,0.052,83.87
