Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1,2000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
2,4000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
3,6000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
4,8000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
5,10000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
6,12000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
7,14000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
8,16000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
9,18000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
10,20000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
11,22000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
12,24000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
13,26000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
14,28000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
15,30000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
16,32000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
17,34000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
18,36000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
19,38000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
20,40000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
21,42000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
22,44000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
23,46000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
24,48000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
25,50000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
26,52000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
27,54000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
28,56000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
29,58000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
30,60000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
31,62000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
32,64000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
33,66000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
34,68000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
35,70000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
36,72000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
37,74000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
38,76000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
39,78000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
40,80000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
41,82000,-978000.0,145.545,0.0882,91.75,0.0,0.0,50
42,84000,-978000.0,146.729,0.0893,91.65,0.0,0.0,100
43,86000,-978000.0,138.324,0.073,92.98,0.0,0.0,30
