Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean
1,2000,-926191.2651434895,302.28,0.0391,80.09
2,4000,-931492.7590166274,294.889,0.041,80.17
3,6000,-942790.4142456707,307.356,0.0421,78.64
4,8000,-911783.5873713249,327.477,0.044,73.85
5,10000,-939841.2229300116,306.843,0.0439,77.49
6,12000,-942215.674316834,256.475,0.0437,80.82
7,14000,-929975.3093833625,260.009,0.0467,79.5
8,16000,-906869.4799940992,235.481,0.0451,83.86
9,18000,-928985.6357775902,225.443,0.0459,84.06
10,20000,-913418.4991733623,220.228,0.0472,86.53
11,22000,-885864.3914294606,221.929,0.0434,85.65
12,24000,-905534.578999061,199.498,0.0462,89.31
13,26000,-885207.1554442585,195.579,0.0445,89.74
14,28000,-928391.4270173077,209.872,0.0471,88.61
15,30000,-908555.7365269894,208.131,0.0454,87.94
16,32000,-910983.3849095652,213.139,0.046,86.71
17,34000,-988059.0375603925,208.111,0.0532,89.48
18,36000,-938927.9070042553,220.109,0.0483,86.24
19,38000,-929221.5883224515,217.312,0.0471,86.3
20,40000,-931478.4656450105,223.419,0.0502,85.54
21,42000,-906843.2510672526,199.707,0.0484,90.23
22,44000,-953463.6958522,204.876,0.0476,89.04
23,46000,-998328.2889780934,269.746,0.04,87.1
24,48000,-874985.4276044797,195.618,0.0461,90.53
25,50000,-912961.2778700804,196.133,0.0474,90.04
26,52000,-920444.4771596494,221.421,0.0464,86.48
27,54000,-898493.8569522843,194.99,0.0463,90.75
28,56000,-914065.7123202258,218.598,0.0476,87.16
29,58000,-868851.0785148819,215.143,0.0443,86.6
30,60000,-958472.3234830266,202.913,0.0486,88.24
31,62000,-970175.6661751883,197.18,0.0493,89.86
32,64000,-910413.6358443772,215.383,0.0479,86.85
33,66000,-957459.1269254874,195.315,0.048,90.39
34,68000,-898451.100687301,217.273,0.0461,86.4
35,70000,-922969.6503894574,198.621,0.0479,90.24
36,72000,-958078.9996413476,218.682,0.0487,85.75
37,74000,-920218.4374160471,199.417,0.0485,90.35
38,76000,-915465.5030363993,218.76,0.046,86.48
39,78000,-940617.2758164017,202.945,0.0489,90.22
40,80000,-902956.4229612041,219.935,0.0457,86.38
41,82000,-896649.9958399414,217.156,0.0454,86.38
42,84000,-933288.9782888241,215.546,0.048,86.62
43,86000,-955856.9569499589,198.393,0.0489,90.18
44,88000,-959478.962805398,226.775,0.051,85.59
45,90000,-948860.6041396175,220.417,0.0491,85.86
46,92000,-929456.9377543525,226.007,0.0492,85.9
47,94000,-926720.9679503681,216.375,0.047,86.0
48,96000,-887315.5656258024,218.023,0.0463,86.05
49,98000,-912834.2957175019,220.849,0.0471,86.06
50,100000,-953039.2981068168,225.278,0.0511,85.59
51,102000,-911298.6451061969,193.601,0.0464,90.79
52,104000,-914145.9286329076,217.97,0.0474,86.15
53,106000,-895911.886198653,201.146,0.0463,90.08
54,108000,-960331.478167395,220.434,0.0484,85.97
55,110000,-947215.7342291359,222.174,0.0497,85.96
56,112000,-935474.2489609572,225.491,0.0478,86.03
57,114000,-923534.9717768166,216.899,0.0472,86.09
58,116000,-866914.2179782997,221.227,0.0444,86.43
59,118000,-906464.1634000296,220.166,0.0462,86.21
60,120000,-880656.3028725111,215.692,0.0447,86.2
61,122000,-905725.2037672568,213.859,0.045,86.43
62,124000,-908313.2509623469,218.427,0.0464,86.34
63,126000,-968120.8922755588,222.441,0.0515,85.82
64,128000,-936268.3909992885,195.462,0.0486,90.31
65,130000,-975290.150593087,199.364,0.049,90.55
66,132000,-897289.7846470382,210.197,0.0457,87.21
67,134000,-900830.2493117901,194.642,0.0461,90.55
68,136000,-891242.6811821893,187.444,0.0444,90.75
69,138000,-891950.2277437703,192.419,0.0442,90.92
70,140000,-905299.9727400705,197.211,0.0457,90.56
71,142000,-956262.335911692,197.038,0.0486,90.52
72,144000,-925188.9139454415,194.327,0.0477,90.57
73,146000,-868834.8285294505,196.979,0.0459,90.59
74,148000,-922653.5408427742,191.585,0.0456,90.81
75,150000,-926122.3875430867,190.705,0.0456,90.98
76,152000,-904144.7937445695,198.451,0.0465,90.26
77,154000,-862449.8848963083,191.766,0.0433,90.88
78,156000,-886289.7470587728,192.586,0.0457,90.8
79,158000,-861523.2719599622,193.93,0.0445,90.96
80,160000,-859418.3409902339,191.091,0.0447,90.76
81,162000,-945902.6190559693,194.236,0.0479,90.69
82,164000,-870606.7373712952,194.971,0.0453,90.59
83,166000,-893847.9819649797,206.223,0.0463,89.78
84,168000,-922458.761294776,193.256,0.0472,90.02
85,170000,-902630.6336890678,190.377,0.0447,90.75
86,172000,-878112.007798304,203.433,0.0456,89.75
87,174000,-886079.4073200263,193.573,0.0459,90.43
88,176000,-889076.3916501452,203.068,0.0467,90.53
89,178000,-857308.9385172562,192.598,0.0449,90.89
90,180000,-957538.238656904,195.807,0.0483,90.75
91,182000,-884566.1620724126,196.462,0.047,90.33
92,184000,-929067.7171743436,204.871,0.0475,89.03
93,186000,-935207.7333603905,199.003,0.0474,89.54
94,188000,-925800.9682964899,219.514,0.0473,86.46
95,190000,-850172.8261289538,211.572,0.0433,86.94
96,192000,-912257.4403846277,201.375,0.0457,89.58
97,194000,-938544.9147958562,195.609,0.0485,90.47
98,196000,-883763.0141235936,195.758,0.0466,90.61
99,198000,-906427.6596441948,206.768,0.0461,87.32
100,200000,-908821.0504087579,216.023,0.048,87.13
