Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1,2000,-926771.477685616,1124.659,0.0447,40.81,0.0,0.0,30
2,4000,-933450.0651191546,1127.422,0.0548,40.93,0.0,0.0,50
3,6000,-945207.7311716396,1127.422,0.0548,40.93,0.0,0.0,50
4,8000,-919389.9850828028,1124.659,0.0447,40.81,0.0,0.0,30
5,10000,-941839.5084795444,1127.422,0.0548,40.93,0.0,0.0,50
6,12000,-951592.0054137432,1123.067,0.0556,41.52,0.0,0.0,100
7,14000,-946645.9205680222,1124.659,0.0447,40.81,0.0,0.0,30
8,16000,-923779.9554428104,1127.422,0.0548,40.93,0.0,0.0,50
9,18000,-945668.6956900128,1124.659,0.0447,40.81,0.0,0.0,30
10,20000,-933939.358895634,1127.422,0.0548,40.93,0.0,0.0,50
11,22000,-900104.4899550641,1123.067,0.0556,41.52,0.0,0.0,100
12,24000,-928711.1929822224,1124.659,0.0447,40.81,0.0,0.0,30
13,26000,-904463.481218508,1124.659,0.0447,40.81,0.0,0.0,30
14,28000,-947486.7784444344,1123.067,0.0556,41.52,0.0,0.0,100
15,30000,-925349.2123843587,1124.659,0.0447,40.81,0.0,0.0,30
16,32000,-930961.213630105,1123.067,0.0556,41.52,0.0,0.0,100
17,34000,-1017192.8160793486,1124.659,0.0447,40.81,0.0,0.0,30
18,36000,-961142.5202001408,1127.422,0.0548,40.93,0.0,0.0,50
19,38000,-948770.8151141952,1127.422,0.0548,40.93,0.0,0.0,50
20,40000,-948490.2700450316,1123.067,0.0556,41.52,0.0,0.0,100
21,42000,-921726.1866537728,1127.422,0.0548,40.93,0.0,0.0,50
22,44000,-971178.2734287684,1127.422,0.0548,40.93,0.0,0.0,50
23,46000,-991475.9111087332,1127.422,0.0548,40.93,0.0,0.0,50
24,48000,-894531.8004192221,1124.659,0.0447,40.81,0.0,0.0,30
25,50000,-937561.4620040698,1124.659,0.0447,40.81,0.0,0.0,30
26,52000,-941207.9190031284,1123.067,0.0556,41.52,0.0,0.0,100
27,54000,-924080.1581935104,1123.067,0.0556,41.52,0.0,0.0,100
28,56000,-942161.8173098397,1124.659,0.0447,40.81,0.0,0.0,30
29,58000,-894105.3823861704,1127.422,0.0548,40.93,0.0,0.0,50
30,60000,-988626.7894521924,1124.659,0.0447,40.81,0.0,0.0,30
31,62000,-1001771.4915480705,1127.422,0.0548,40.93,0.0,0.0,50
32,64000,-940170.49791811,1123.067,0.0556,41.52,0.0,0.0,100
33,66000,-989167.0686697708,1127.422,0.0548,40.93,0.0,0.0,50
34,68000,-927090.6897134244,1127.422,0.0548,40.93,0.0,0.0,50
35,70000,-954452.313385363,1127.422,0.0548,40.93,0.0,0.0,50
36,72000,-989536.5635691788,1124.659,0.0447,40.81,0.0,0.0,30
37,74000,-951114.6118298694,1124.659,0.0447,40.81,0.0,0.0,30
38,76000,-944074.825910562,1127.422,0.0548,40.93,0.0,0.0,50
39,78000,-970684.3967440508,1123.067,0.0556,41.52,0.0,0.0,100
40,80000,-931103.0611153204,1124.659,0.0447,40.81,0.0,0.0,30
41,82000,-924107.9246935088,1127.422,0.0548,40.93,0.0,0.0,50
42,84000,-963843.2519642798,1123.067,0.0556,41.52,0.0,0.0,100
43,86000,-986681.9448323894,1124.659,0.0447,40.81,0.0,0.0,30
44,88000,-991751.741688622,1124.659,0.0447,40.81,0.0,0.0,30
45,90000,-979760.9465673434,1124.659,0.0447,40.81,0.0,0.0,30
46,92000,-959966.0684553746,1127.422,0.0548,40.93,0.0,0.0,50
47,94000,-956660.3533409236,1124.659,0.0447,40.81,0.0,0.0,30
48,96000,-916106.3673559944,1124.659,0.0447,40.81,0.0,0.0,30
49,98000,-942809.6419851742,1124.659,0.0447,40.81,0.0,0.0,30
50,100000,-985805.5491980038,1127.422,0.0548,40.93,0.0,0.0,50
51,102000,-941372.479978406,1127.422,0.0548,40.93,0.0,0.0,50
52,104000,-943891.6911847274,1123.067,0.0556,41.52,0.0,0.0,100
53,106000,-924784.0951066238,1123.067,0.0556,41.52,0.0,0.0,100
54,108000,-991621.5033936956,1127.422,0.0548,40.93,0.0,0.0,50
55,110000,-978910.6981737476,1124.659,0.0447,40.81,0.0,0.0,30
56,112000,-964924.1947262624,1127.422,0.0548,40.93,0.0,0.0,50
57,114000,-953545.7847435996,1127.422,0.0548,40.93,0.0,0.0,50
58,116000,-893613.4714929931,1124.659,0.0447,40.81,0.0,0.0,30
59,118000,-935091.6780178148,1123.067,0.0556,41.52,0.0,0.0,100
60,120000,-909001.5643505184,1124.659,0.0447,40.81,0.0,0.0,30
61,122000,-934651.1867323944,1123.067,0.0556,41.52,0.0,0.0,100
62,124000,-937207.3631942532,1124.659,0.0447,40.81,0.0,0.0,30
63,126000,-1000640.448773578,1123.067,0.0556,41.52,0.0,0.0,100
64,128000,-966798.7383378432,1123.067,0.0556,41.52,0.0,0.0,100
65,130000,-1007154.9813566564,1124.659,0.0447,40.81,0.0,0.0,30
66,132000,-926144.8163832084,1124.659,0.0447,40.81,0.0,0.0,30
67,134000,-929894.5100335816,1127.422,0.0548,40.93,0.0,0.0,50
68,136000,-919861.0917013702,1127.422,0.0548,40.93,0.0,0.0,50
69,138000,-919677.8579534718,1124.659,0.0447,40.81,0.0,0.0,30
70,140000,-934223.1404396133,1127.422,0.0548,40.93,0.0,0.0,50
71,142000,-987395.6739037518,1124.659,0.0447,40.81,0.0,0.0,30
72,144000,-955604.1644209188,1124.659,0.0447,40.81,0.0,0.0,30
73,146000,-896362.4035207223,1127.422,0.0548,40.93,0.0,0.0,50
74,148000,-952029.6029793448,1123.067,0.0556,41.52,0.0,0.0,100
75,150000,-954568.2717768312,1124.659,0.0447,40.81,0.0,0.0,30
76,152000,-933599.1077327592,1123.067,0.0556,41.52,0.0,0.0,100
77,154000,-889718.54615867,1127.422,0.0548,40.93,0.0,0.0,50
78,156000,-915462.7725005068,1123.067,0.0556,41.52,0.0,0.0,100
79,158000,-889009.5795470094,1124.659,0.0447,40.81,0.0,0.0,30
80,160000,-886014.1156220718,1123.067,0.0556,41.52,0.0,0.0,100
81,162000,-978623.4570979289,1124.659,0.0447,40.81,0.0,0.0,30
82,164000,-899358.9798550922,1127.422,0.0548,40.93,0.0,0.0,50
83,166000,-922692.807159575,1124.659,0.0447,40.81,0.0,0.0,30
84,168000,-954056.8480591164,1123.067,0.0556,41.52,0.0,0.0,100
85,170000,-931245.0789568456,1124.659,0.0447,40.81,0.0,0.0,30
86,172000,-906185.4190645124,1124.659,0.0447,40.81,0.0,0.0,30
87,174000,-915977.2445390784,1123.067,0.0556,41.52,0.0,0.0,100
88,176000,-918097.6569503328,1123.067,0.0556,41.52,0.0,0.0,100
89,178000,-884354.1869480866,1127.422,0.0548,40.93,0.0,0.0,50
90,180000,-988396.3698727876,1127.422,0.0548,40.93,0.0,0.0,50
91,182000,-913529.3142648936,1127.422,0.0548,40.93,0.0,0.0,50
92,184000,-959123.7653290912,1127.422,0.0548,40.93,0.0,0.0,50
93,186000,-965761.37940663,1123.067,0.0556,41.52,0.0,0.0,100
94,188000,-955312.4751573764,1123.067,0.0556,41.52,0.0,0.0,100
95,190000,-875923.3077257201,1124.659,0.0447,40.81,0.0,0.0,30
96,192000,-941215.0019460322,1124.659,0.0447,40.81,0.0,0.0,30
97,194000,-970662.9269274524,1124.659,0.0447,40.81,0.0,0.0,30
98,196000,-913170.480101196,1124.659,0.0447,40.81,0.0,0.0,30
99,198000,-937257.8437911364,1123.067,0.0556,41.52,0.0,0.0,100
100,200000,-939627.807467118,1123.067,0.0556,41.52,0.0,0.0,100
